ResourceID,brocade.id,card,order,Acquisition Number,Acquisition Number Type,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Volgnummer,Source Note,Warehouse Location (begin),Warehouse Location (end),Source Note Type,Source Note Language,Object Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
7a4bdb5c-ce87-5f2a-ba27-01b8f21b4b4d,tg:lhph:5405_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhph:5405_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/7a4bdb5c-ce87-5f2a-ba27-01b8f21b4b4d,object identifier,,,,,,,,,,
7a4bdb5c-ce87-5f2a-ba27-01b8f21b4b4d,tg:lhph:5405_#1,e22_AcquisitionNumbers,1,196785/9,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7a4bdb5c-ce87-5f2a-ba27-01b8f21b4b4d,tg:lhph:5405_#1,e22_Acquisitions,1,,,tr:lh:7447,"dlod={""name"":""Schenking van Stella Pardon"",""ark"":""ark:/24970/x0/fdb75284-8c81-5e8a-9c7c-f9a7137115e4"",""uri"":""/repositories/11/accessions/796832"",""id"":""tr:lh:7447"",""date"":""1999-07-19"",""granter"":""Stella Pardon"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/fdb75284-8c81-5e8a-9c7c-f9a7137115e4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7a4bdb5c-ce87-5f2a-ba27-01b8f21b4b4d,tg:lhph:5405_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatph,74 x 106,,,,,,,,,,"74 x 106 - height, width, kenmerken.lhformatph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7a4bdb5c-ce87-5f2a-ba27-01b8f21b4b4d,tg:lhph:5405_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,74,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7a4bdb5c-ce87-5f2a-ba27-01b8f21b4b4d,tg:lhph:5405_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,106,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7a4bdb5c-ce87-5f2a-ba27-01b8f21b4b4d,tg:lhph:5405_#1,e22_Items,1,,,,,,,,,,,,,,,,,,lhph,tg:lhph:5405_#1,196785/9,Z 31 / P,7a4bdb5c-ce87-5f2a-ba27-01b8f21b4b4d,tr:lh:7447,,,,,,,,,,,,,,,,,,,,,,,
7a4bdb5c-ce87-5f2a-ba27-01b8f21b4b4d,tg:lhph:5405_#1,e22_ObjectTypes,1,,,,,,kenmerken.lhtypeph,ZP,,,,,,,,,,,,,,,,,,,,,,,,black-and-white photographs,,,,,,,,,,,,,,,
7a4bdb5c-ce87-5f2a-ba27-01b8f21b4b4d,tg:lhph:5405_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1964.0,permission required,,,,,,,,
7a4bdb5c-ce87-5f2a-ba27-01b8f21b4b4d,tg:lhph:5405_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y2BOZfPklMIGQleRPbBHPEY0,lhph,https://dams.antwerpen.be/iiif/Y2BOZfPklMIGQleRPbBHPEY0/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/Y2BOZfPklMIGQleRPbBHPEY0,DAMS Image,lhph,Foto
