ResourceID,brocade.id,card,order,Acquisition Number,Acquisition Number Type,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Volgnummer,Source Note,Warehouse Location (begin),Warehouse Location (end),Source Note Type,Source Note Language,Object Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
ff514fd6-c95b-58f5-aff7-763b1bd2ba7d,tg:lhph:6450_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhph:6450_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/ff514fd6-c95b-58f5-aff7-763b1bd2ba7d,object identifier,,,,,,,,,,
ff514fd6-c95b-58f5-aff7-763b1bd2ba7d,tg:lhph:6450_#1,e22_AcquisitionNumbers,1,101643/46,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ff514fd6-c95b-58f5-aff7-763b1bd2ba7d,tg:lhph:6450_#1,e22_Acquisitions,1,,,tr:lh:5149,"dlod={""name"":""Schenking van Pieter Frans Fransen"",""ark"":""ark:/24970/x0/8725ef5e-9c63-5ce6-a4c4-60ec79c6be9a"",""uri"":""/repositories/11/accessions/550946"",""id"":""tr:lh:5149"",""date"":""1976-03-23"",""granter"":""Pieter Frans Fransen"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/8725ef5e-9c63-5ce6-a4c4-60ec79c6be9a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ff514fd6-c95b-58f5-aff7-763b1bd2ba7d,tg:lhph:6450_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatph,118 x 174,,,,,,,,,,"118 x 174 - height, width, kenmerken.lhformatph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ff514fd6-c95b-58f5-aff7-763b1bd2ba7d,tg:lhph:6450_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,118,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ff514fd6-c95b-58f5-aff7-763b1bd2ba7d,tg:lhph:6450_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,174,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ff514fd6-c95b-58f5-aff7-763b1bd2ba7d,tg:lhph:6450_#1,e22_Items,1,,,,,,,,,,,,,,,,,,lhph,tg:lhph:6450_#1,101643/46,Y 952 / P,ff514fd6-c95b-58f5-aff7-763b1bd2ba7d,tr:lh:5149,,,,,,,,,,,,,,,,,,,,,,,
ff514fd6-c95b-58f5-aff7-763b1bd2ba7d,tg:lhph:6450_#1,e22_ObjectTypes,1,,,,,,kenmerken.lhtypeph,ZP,,,,,,,,,,,,,,,,,,,,,,,,black-and-white photographs,,,,,,,,,,,,,,,
ff514fd6-c95b-58f5-aff7-763b1bd2ba7d,tg:lhph:6450_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1959.0,permission required,,,,,,,,
ff514fd6-c95b-58f5-aff7-763b1bd2ba7d,tg:lhph:6450_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W2HWjkLClSeDcNFJZOzyDGBh,lhph,https://dams.antwerpen.be/iiif/W2HWjkLClSeDcNFJZOzyDGBh/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/W2HWjkLClSeDcNFJZOzyDGBh,DAMS Image,lhph,Foto
