ResourceID,brocade.id,card,order,Acquisition Number,Acquisition Number Type,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Volgnummer,Source Note,Warehouse Location (begin),Warehouse Location (end),Source Note Type,Source Note Language,Object Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
340b67c8-3318-5af7-9abd-f7a03b82d212,tg:lhph:36238_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhph:36238_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/340b67c8-3318-5af7-9abd-f7a03b82d212,object identifier,,,,,,,,,,
340b67c8-3318-5af7-9abd-f7a03b82d212,tg:lhph:36238_#1,e22_AcquisitionNumbers,1,16079/98,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340b67c8-3318-5af7-9abd-f7a03b82d212,tg:lhph:36238_#1,e22_Acquisitions,1,,,tr:lh:882,"dlod={""name"":""Nalatenschap van Domien Hillen"",""ark"":""ark:/24970/x0/f7bcbb40-1a19-5326-a6b3-8032bb8fbaf4"",""uri"":""/repositories/11/accessions/94377"",""id"":""tr:lh:882"",""date"":""1939-06-08"",""granter"":""John Pira"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/f7bcbb40-1a19-5326-a6b3-8032bb8fbaf4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340b67c8-3318-5af7-9abd-f7a03b82d212,tg:lhph:36238_#1,e22_Archives,1,,,,,,,,,,,isad:lh:93498,"dlod={""name"":""Foto's (verzameling)"",""ark"":""ark:/24970/x0/e98693bf-fb19-5cc2-9467-4d06b187795f"",""uri"":""/repositories/11/archival_objects/10004289"",""id"":""isad:lh:93498"",""nameWithContext"":[""Verzamelingen"",""Foto's""],""resourceName"":""Archief van Domien Hillen"",""resourceArk"":""ark:/24970/x0/62a32a06-be8f-5e56-b7cc-fe2ed195c62b"",""resourceURI"":""/repositories/11/resources/10003968"",""resourceID"":""isad:lh:93495"",""capacity"":""Foto's (verzameling)"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/e98693bf-fb19-5cc2-9467-4d06b187795f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340b67c8-3318-5af7-9abd-f7a03b82d212,tg:lhph:36238_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatph,140 x 88,,,,,,,,,,"140 x 88 - height, width, kenmerken.lhformatph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340b67c8-3318-5af7-9abd-f7a03b82d212,tg:lhph:36238_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,140,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340b67c8-3318-5af7-9abd-f7a03b82d212,tg:lhph:36238_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,88,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340b67c8-3318-5af7-9abd-f7a03b82d212,tg:lhph:36238_#1,e22_Items,1,,,,,,,,,,,,,,,,,,lhph,tg:lhph:36238_#1,16079/98,B 4165 / P,340b67c8-3318-5af7-9abd-f7a03b82d212,tr:lh:882,isad:lh:93498,,,,,,,,,,,,,,,,,,,,,,
340b67c8-3318-5af7-9abd-f7a03b82d212,tg:lhph:36238_#1,e22_ObjectTypes,1,,,,,,kenmerken.lhtypeph,ZP,,,,,,,,,,,,,,,,,,,,,,,,black-and-white photographs,,,,,,,,,,,,,,,
340b67c8-3318-5af7-9abd-f7a03b82d212,tg:lhph:36238_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1911.0,permission required,,,,,,,,
340b67c8-3318-5af7-9abd-f7a03b82d212,tg:lhph:36238_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v1XFMZKlJOMEKkSsTRkqb2RO,lhph,https://dams.antwerpen.be/iiif/v1XFMZKlJOMEKkSsTRkqb2RO/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/v1XFMZKlJOMEKkSsTRkqb2RO,DAMS Image,lhph,Foto
