ResourceID,brocade.id,card,order,Acquisition Number,Acquisition Number Type,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Volgnummer,Source Note,Warehouse Location (begin),Warehouse Location (end),Source Note Type,Source Note Language,Object Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
5e428413-b342-51b1-8af0-32f130a1c33b,tg:lhph:33430_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhph:33430_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/5e428413-b342-51b1-8af0-32f130a1c33b,object identifier,,,,,,,,,,
5e428413-b342-51b1-8af0-32f130a1c33b,tg:lhph:33430_#1,e22_AcquisitionNumbers,1,43682/1,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e428413-b342-51b1-8af0-32f130a1c33b,tg:lhph:33430_#1,e22_Acquisitions,1,,,tr:lh:2306,"dlod={""name"":""Aankoop bij Marcel de Backer"",""ark"":""ark:/24970/x0/d1f28a63-c01c-520b-bc10-767bfaaf5299"",""uri"":""/repositories/11/accessions/246745"",""id"":""tr:lh:2306"",""date"":""1951-12-03"",""granter"":""Marcel de Backer"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/d1f28a63-c01c-520b-bc10-767bfaaf5299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e428413-b342-51b1-8af0-32f130a1c33b,tg:lhph:33430_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatph,175 x 130,,,,,,,,,,"175 x 130 - height, width, kenmerken.lhformatph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e428413-b342-51b1-8af0-32f130a1c33b,tg:lhph:33430_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,175,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e428413-b342-51b1-8af0-32f130a1c33b,tg:lhph:33430_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,130,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e428413-b342-51b1-8af0-32f130a1c33b,tg:lhph:33430_#1,e22_Items,1,,,,,,,,,,,,,,,,,,lhph,tg:lhph:33430_#1,43682/1,K 393 / P,5e428413-b342-51b1-8af0-32f130a1c33b,tr:lh:2306,,,,,,,,,,,,,,,,,,,,,,,
5e428413-b342-51b1-8af0-32f130a1c33b,tg:lhph:33430_#1,e22_ObjectTypes,1,,,,,,kenmerken.lhtypeph,ZP,,,,,,,,,,,,,,,,,,,,,,,,black-and-white photographs,,,,,,,,,,,,,,,
5e428413-b342-51b1-8af0-32f130a1c33b,tg:lhph:33430_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950.0,permission required,,,,,,,,
5e428413-b342-51b1-8af0-32f130a1c33b,tg:lhph:33430_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e1iEBWkcnjOQPvIbrtiATU3F,lhph,https://dams.antwerpen.be/iiif/e1iEBWkcnjOQPvIbrtiATU3F/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/e1iEBWkcnjOQPvIbrtiATU3F,DAMS Image,lhph,Foto
