ResourceID,brocade.id,card,order,Acquisition Number,Acquisition Number Type,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Volgnummer,Source Note,Warehouse Location (begin),Warehouse Location (end),Source Note Type,Source Note Language,Object Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
e3635351-6619-59d3-be9e-937d753986cb,tg:lhph:31050_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhph:31050_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/e3635351-6619-59d3-be9e-937d753986cb,object identifier,,,,,,,,,,
e3635351-6619-59d3-be9e-937d753986cb,tg:lhph:31050_#1,e22_AcquisitionNumbers,1,82984/5,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e3635351-6619-59d3-be9e-937d753986cb,tg:lhph:31050_#1,e22_Acquisitions,1,,,tr:lh:4283,"dlod={""name"":""Aankoop bij Filip Tas"",""ark"":""ark:/24970/x0/8b90d98f-7cd9-5aff-952c-37c915744765"",""uri"":""/repositories/11/accessions/458284"",""id"":""tr:lh:4283"",""date"":""1970-01-21"",""granter"":""Filip Tas"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/8b90d98f-7cd9-5aff-952c-37c915744765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e3635351-6619-59d3-be9e-937d753986cb,tg:lhph:31050_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatph,230 x 170,,,,,,,,,,"230 x 170 - height, width, kenmerken.lhformatph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e3635351-6619-59d3-be9e-937d753986cb,tg:lhph:31050_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,230,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e3635351-6619-59d3-be9e-937d753986cb,tg:lhph:31050_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,170,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e3635351-6619-59d3-be9e-937d753986cb,tg:lhph:31050_#1,e22_Items,1,,,,,,,,,,,,,,,,,,lhph,tg:lhph:31050_#1,82984/5,G 605 / P,e3635351-6619-59d3-be9e-937d753986cb,tr:lh:4283,,,,,,,,,,,,,,,,,,,,,,,
e3635351-6619-59d3-be9e-937d753986cb,tg:lhph:31050_#1,e22_ObjectTypes,1,,,,,,kenmerken.lhtypeph,ZP,,,,,,,,,,,,,,,,,,,,,,,,black-and-white photographs,,,,,,,,,,,,,,,
e3635351-6619-59d3-be9e-937d753986cb,tg:lhph:31050_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1969.0,permission required,,,,,,,,
e3635351-6619-59d3-be9e-937d753986cb,tg:lhph:31050_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v1jThtNKXiBlVLHVcUekXMNd,lhph,https://dams.antwerpen.be/iiif/v1jThtNKXiBlVLHVcUekXMNd/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/v1jThtNKXiBlVLHVcUekXMNd,DAMS Image,lhph,Foto
