ResourceID,brocade.id,card,order,Acquisition Number,Acquisition Number Type,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Volgnummer,Source Note,Warehouse Location (begin),Warehouse Location (end),Source Note Type,Source Note Language,Object Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
97e3bc50-d0ff-59c6-881e-99b56b705fcc,tg:lhph:8301_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhph:8301_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/97e3bc50-d0ff-59c6-881e-99b56b705fcc,object identifier,,,,,,,,,,
97e3bc50-d0ff-59c6-881e-99b56b705fcc,tg:lhph:8301_#1,e22_AcquisitionNumbers,1,55431/5,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97e3bc50-d0ff-59c6-881e-99b56b705fcc,tg:lhph:8301_#1,e22_Acquisitions,1,,,tr:lh:2802,"dlod={""name"":""Schenking van Photo Halleux"",""ark"":""ark:/24970/x0/387743b2-8048-563d-ab77-11a310df4fd4"",""uri"":""/repositories/11/accessions/299817"",""id"":""tr:lh:2802"",""date"":""1957-02-12"",""granter"":""Photo Halleux"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/387743b2-8048-563d-ab77-11a310df4fd4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97e3bc50-d0ff-59c6-881e-99b56b705fcc,tg:lhph:8301_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatph,138 x 88,,,,,,,,,,"138 x 88 - height, width, kenmerken.lhformatph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97e3bc50-d0ff-59c6-881e-99b56b705fcc,tg:lhph:8301_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,138,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97e3bc50-d0ff-59c6-881e-99b56b705fcc,tg:lhph:8301_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,88,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97e3bc50-d0ff-59c6-881e-99b56b705fcc,tg:lhph:8301_#1,e22_Items,1,,,,,,,,,,,,,,,,,,lhph,tg:lhph:8301_#1,55431/5,B 70665 / P,97e3bc50-d0ff-59c6-881e-99b56b705fcc,tr:lh:2802,,,,,,,,,,,,,,,,,,,,,,,
97e3bc50-d0ff-59c6-881e-99b56b705fcc,tg:lhph:8301_#1,e22_ObjectTypes,1,,,,,,kenmerken.lhtypeph,SC,,,,,,,,,,,,,,,,,,,,,,,,sepia prints,,,,,,,,,,,,,,,
97e3bc50-d0ff-59c6-881e-99b56b705fcc,tg:lhph:8301_#1,e22_UsageRestrictions,,,,,,,default_restriction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,permission required,,,,,,,,
97e3bc50-d0ff-59c6-881e-99b56b705fcc,tg:lhph:8301_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nDuIHqeYKRBHUEYQPotgvAO4,lhph,https://dams.antwerpen.be/iiif/nDuIHqeYKRBHUEYQPotgvAO4/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/nDuIHqeYKRBHUEYQPotgvAO4,DAMS Image,lhph,Foto
