ResourceID,brocade.id,card,order,Acquisition Number,Acquisition Number Type,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Volgnummer,Source Note,Warehouse Location (begin),Warehouse Location (end),Source Note Type,Source Note Language,Object Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
9edfd12f-af35-5165-8f53-dd1b716ada5b,tg:lhph:29410_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhph:29410_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/9edfd12f-af35-5165-8f53-dd1b716ada5b,object identifier,,,,,,,,,,
9edfd12f-af35-5165-8f53-dd1b716ada5b,tg:lhph:29410_#1,e22_AcquisitionNumbers,1,14364/1,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9edfd12f-af35-5165-8f53-dd1b716ada5b,tg:lhph:29410_#1,e22_Acquisitions,1,,,tr:lh:758,"dlod={""name"":""Schenking van Jozef de Voght"",""ark"":""ark:/24970/x0/4a69f68e-2ae1-5c7e-8e56-95bb8f963e82"",""uri"":""/repositories/11/accessions/81109"",""id"":""tr:lh:758"",""date"":""1938-09-02"",""granter"":""Jozef de Voght"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/4a69f68e-2ae1-5c7e-8e56-95bb8f963e82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9edfd12f-af35-5165-8f53-dd1b716ada5b,tg:lhph:29410_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatph,147 x 95,,,,,,,,,,"147 x 95 - height, width, kenmerken.lhformatph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9edfd12f-af35-5165-8f53-dd1b716ada5b,tg:lhph:29410_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,147,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9edfd12f-af35-5165-8f53-dd1b716ada5b,tg:lhph:29410_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,95,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9edfd12f-af35-5165-8f53-dd1b716ada5b,tg:lhph:29410_#1,e22_Items,1,,,,,,,,,,,,,,,,,,lhph,tg:lhph:29410_#1,14364/1,V 735 / P,9edfd12f-af35-5165-8f53-dd1b716ada5b,tr:lh:758,,,,,,,,,,,,,,,,,,,,,,,
9edfd12f-af35-5165-8f53-dd1b716ada5b,tg:lhph:29410_#1,e22_ObjectTypes,1,,,,,,kenmerken.lhtypeph,ZP,,,,,,,,,,,,,,,,,,,,,,,,black-and-white photographs,,,,,,,,,,,,,,,
9edfd12f-af35-5165-8f53-dd1b716ada5b,tg:lhph:29410_#1,e22_UsageRestrictions,,,,,,,default_restriction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,permission required,,,,,,,,
9edfd12f-af35-5165-8f53-dd1b716ada5b,tg:lhph:29410_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TGZLOfabdesMqlHNfU8qZLVC,lhph,https://dams.antwerpen.be/iiif/TGZLOfabdesMqlHNfU8qZLVC/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/TGZLOfabdesMqlHNfU8qZLVC,DAMS Image,lhph,Foto
