ResourceID,brocade.id,card,order,Acquisition Number,Acquisition Number Type,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Volgnummer,Source Note,Warehouse Location (begin),Warehouse Location (end),Source Note Type,Source Note Language,Object Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
a1816031-7661-5a8f-8941-ef1222ca997e,tg:lhph:28427_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhph:28427_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/a1816031-7661-5a8f-8941-ef1222ca997e,object identifier,,,,,,,,,,
a1816031-7661-5a8f-8941-ef1222ca997e,tg:lhph:28427_#1,e22_AcquisitionNumbers,1,98627,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1816031-7661-5a8f-8941-ef1222ca997e,tg:lhph:28427_#1,e22_Acquisitions,1,,,tr:lh:4968,"dlod={""name"":""Schenking van Koninklijk Instituut voor het Kunstpatrimonium"",""ark"":""ark:/24970/x0/3e36ace3-30c6-51bc-9c8c-d316759b9fcb"",""uri"":""/repositories/11/accessions/531579"",""id"":""tr:lh:4968"",""date"":""1974-08-20"",""granter"":""Koninklijk Instituut voor het Kunstpatrimonium"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/3e36ace3-30c6-51bc-9c8c-d316759b9fcb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1816031-7661-5a8f-8941-ef1222ca997e,tg:lhph:28427_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatph,232 x 163,,,,,,,,,,"232 x 163 - height, width, kenmerken.lhformatph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1816031-7661-5a8f-8941-ef1222ca997e,tg:lhph:28427_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,232,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1816031-7661-5a8f-8941-ef1222ca997e,tg:lhph:28427_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,163,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1816031-7661-5a8f-8941-ef1222ca997e,tg:lhph:28427_#1,e22_Items,1,,,,,,,,,,,,,,,,,,lhph,tg:lhph:28427_#1,98627,V 595 / P,a1816031-7661-5a8f-8941-ef1222ca997e,tr:lh:4968,,,,,,,,,,,,,,,,,,,,,,,
a1816031-7661-5a8f-8941-ef1222ca997e,tg:lhph:28427_#1,e22_ObjectTypes,1,,,,,,kenmerken.lhtypeph,ZP,,,,,,,,,,,,,,,,,,,,,,,,black-and-white photographs,,,,,,,,,,,,,,,
a1816031-7661-5a8f-8941-ef1222ca997e,tg:lhph:28427_#1,e22_UsageRestrictions,,,,,,,default_restriction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,permission required,,,,,,,,
a1816031-7661-5a8f-8941-ef1222ca997e,tg:lhph:28427_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X2VjvBRPNTQWhotnmbrr9Ot7,lhph,https://dams.antwerpen.be/iiif/X2VjvBRPNTQWhotnmbrr9Ot7/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/X2VjvBRPNTQWhotnmbrr9Ot7,DAMS Image,lhph,Foto
