ResourceID,brocade.id,card,order,Acquisition Number,Acquisition Number Type,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Volgnummer,Source Note,Warehouse Location (begin),Warehouse Location (end),Source Note Type,Source Note Language,Object Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
5220b706-37f5-5080-80e9-b104eb226d03,tg:lhph:1171_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhph:1171_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/5220b706-37f5-5080-80e9-b104eb226d03,object identifier,,,,,,,,,,
5220b706-37f5-5080-80e9-b104eb226d03,tg:lhph:1171_#1,e22_AcquisitionNumbers,1,168027/2,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5220b706-37f5-5080-80e9-b104eb226d03,tg:lhph:1171_#1,e22_Acquisitions,1,,,tr:lh:6787,"dlod={""name"":""Nalatenschap van Emmanuel de Bom"",""ark"":""ark:/24970/x0/4816332c-e8d6-53e4-8581-b75d8780f8b7"",""uri"":""/repositories/11/accessions/726212"",""id"":""tr:lh:6787"",""date"":""1991-02-15"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/4816332c-e8d6-53e4-8581-b75d8780f8b7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5220b706-37f5-5080-80e9-b104eb226d03,tg:lhph:1171_#1,e22_Archives,1,,,,,,,,,,,isad:lh:184291,"dlod={""name"":""Foto's i.v.m. Emmanuel de Bom"",""ark"":""ark:/24970/x0/2b48cb50-ac37-5667-a9e5-20ac2f74e8b5"",""uri"":""/repositories/11/archival_objects/19719140"",""id"":""isad:lh:184291"",""nameWithContext"":[""Verzamelingen"",""Foto's""],""resourceName"":""Archief van Emmanuel de Bom"",""resourceArk"":""ark:/24970/x0/8de9b771-9a6d-5a9b-9aae-84e8cb0ef443"",""resourceURI"":""/repositories/11/resources/66343"",""resourceID"":""isad:lh:620"",""capacity"":""Foto's i.v.m. Emmanuel de Bom"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/2b48cb50-ac37-5667-a9e5-20ac2f74e8b5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5220b706-37f5-5080-80e9-b104eb226d03,tg:lhph:1171_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatph,39 x 45,,,,,,,,,,"39 x 45 - height, width, kenmerken.lhformatph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5220b706-37f5-5080-80e9-b104eb226d03,tg:lhph:1171_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,39,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5220b706-37f5-5080-80e9-b104eb226d03,tg:lhph:1171_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,45,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5220b706-37f5-5080-80e9-b104eb226d03,tg:lhph:1171_#1,e22_Items,1,,,,,,,,,,,,,,,,,,lhph,tg:lhph:1171_#1,168027/2,B 708 / P,5220b706-37f5-5080-80e9-b104eb226d03,tr:lh:6787,isad:lh:184291,,,,,,,,,,,,,,,,,,,,,,
5220b706-37f5-5080-80e9-b104eb226d03,tg:lhph:1171_#1,e22_ObjectTypes,1,,,,,,kenmerken.lhtypeph,SC,,,,,,,,,,,,,,,,,,,,,,,,sepia prints,,,,,,,,,,,,,,,
5220b706-37f5-5080-80e9-b104eb226d03,tg:lhph:1171_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1903.0,permission required,,,,,,,,
5220b706-37f5-5080-80e9-b104eb226d03,tg:lhph:1171_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L1XbXjTfKr9NEWUbTygphqtH,lhph,https://dams.antwerpen.be/iiif/L1XbXjTfKr9NEWUbTygphqtH/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/L1XbXjTfKr9NEWUbTygphqtH,DAMS Image,lhph,Foto
