ResourceID,brocade.id,card,order,Acquisition Number,Acquisition Number Type,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Volgnummer,Source Note,Warehouse Location (begin),Warehouse Location (end),Source Note Type,Source Note Language,Object Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
1f2a0974-4321-5df0-9d44-b25003c3a35e,tg:lhph:13466_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhph:13466_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/1f2a0974-4321-5df0-9d44-b25003c3a35e,object identifier,,,,,,,,,,
1f2a0974-4321-5df0-9d44-b25003c3a35e,tg:lhph:13466_#1,e22_AcquisitionNumbers,1,64108/6,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1f2a0974-4321-5df0-9d44-b25003c3a35e,tg:lhph:13466_#1,e22_Acquisitions,1,,,tr:lh:3216,"dlod={""name"":""Schenking van Karel Simons"",""ark"":""ark:/24970/x0/6fbc76f5-0f7e-5886-8f6b-891e0de5a144"",""uri"":""/repositories/11/accessions/344115"",""id"":""tr:lh:3216"",""date"":""1960-08-01"",""granter"":""Karel Simons"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/6fbc76f5-0f7e-5886-8f6b-891e0de5a144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1f2a0974-4321-5df0-9d44-b25003c3a35e,tg:lhph:13466_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatph,270 x 194,,,,,,,,,,"270 x 194 - height, width, kenmerken.lhformatph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1f2a0974-4321-5df0-9d44-b25003c3a35e,tg:lhph:13466_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,270,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1f2a0974-4321-5df0-9d44-b25003c3a35e,tg:lhph:13466_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,194,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1f2a0974-4321-5df0-9d44-b25003c3a35e,tg:lhph:13466_#1,e22_Items,1,,,,,,,,,,,,,,,,,,lhph,tg:lhph:13466_#1,64108/6,B 6612 / P,1f2a0974-4321-5df0-9d44-b25003c3a35e,tr:lh:3216,,,,,,,,,,,,,,,,,,,,,,,
1f2a0974-4321-5df0-9d44-b25003c3a35e,tg:lhph:13466_#1,e22_ObjectTypes,1,,,,,,kenmerken.lhtypeph,ZP,,,,,,,,,,,,,,,,,,,,,,,,black-and-white photographs,,,,,,,,,,,,,,,
1f2a0974-4321-5df0-9d44-b25003c3a35e,tg:lhph:13466_#1,e22_UsageRestrictions,,,,,,,default_restriction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,permission required,,,,,,,,
1f2a0974-4321-5df0-9d44-b25003c3a35e,tg:lhph:13466_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FKFPdEhFPfRZGNvQVuOs2AuR,lhph,https://dams.antwerpen.be/iiif/FKFPdEhFPfRZGNvQVuOs2AuR/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/FKFPdEhFPfRZGNvQVuOs2AuR,DAMS Image,lhph,Foto
