ResourceID,brocade.id,card,order,Acquisition Number,Acquisition Number Type,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Volgnummer,Source Note,Warehouse Location (begin),Warehouse Location (end),Source Note Type,Source Note Language,Object Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
ff872f79-6bed-55ec-919a-5a263efd10e9,tg:lhph:46963_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhph:46963_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/ff872f79-6bed-55ec-919a-5a263efd10e9,object identifier,,,,,,,,,,
ff872f79-6bed-55ec-919a-5a263efd10e9,tg:lhph:46963_#1,e22_AcquisitionNumbers,1,171137/2,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ff872f79-6bed-55ec-919a-5a263efd10e9,tg:lhph:46963_#1,e22_Acquisitions,1,,,tr:lh:6917,"dlod={""name"":""Verzameling theaterdocumentatie"",""ark"":""ark:/24970/x0/ae0099ab-deb2-596d-9296-0aea28d1e2f3"",""uri"":""/repositories/11/accessions/740122"",""id"":""tr:lh:6917"",""date"":""1995-05-15"",""granter"":""Demian"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/ae0099ab-deb2-596d-9296-0aea28d1e2f3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ff872f79-6bed-55ec-919a-5a263efd10e9,tg:lhph:46963_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatph,233 x 172,,,,,,,,,,"233 x 172 - height, width, kenmerken.lhformatph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ff872f79-6bed-55ec-919a-5a263efd10e9,tg:lhph:46963_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,233,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ff872f79-6bed-55ec-919a-5a263efd10e9,tg:lhph:46963_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,172,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ff872f79-6bed-55ec-919a-5a263efd10e9,tg:lhph:46963_#1,e22_Items,1,,,,,,,,,,,,,,,,,,lhph,tg:lhph:46963_#1,171137/2,E 2975 / P,ff872f79-6bed-55ec-919a-5a263efd10e9,tr:lh:6917,,,,,,,,,,,,,,,,,,,,,,,
ff872f79-6bed-55ec-919a-5a263efd10e9,tg:lhph:46963_#1,e22_ObjectTypes,1,,,,,,kenmerken.lhtypeph,ZP,,,,,,,,,,,,,,,,,,,,,,,,black-and-white photographs,,,,,,,,,,,,,,,
ff872f79-6bed-55ec-919a-5a263efd10e9,tg:lhph:46963_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1933.0,permission required,,,,,,,,
ff872f79-6bed-55ec-919a-5a263efd10e9,tg:lhph:46963_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOTdoWds9GMWPavNVn4xBP6w,lhph,https://dams.antwerpen.be/iiif/AOTdoWds9GMWPavNVn4xBP6w/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/AOTdoWds9GMWPavNVn4xBP6w,DAMS Image,lhph,Foto
