ResourceID,brocade.id,card,order,Acquisition Number,Acquisition Number Type,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Volgnummer,Source Note,Warehouse Location (begin),Warehouse Location (end),Source Note Type,Source Note Language,Object Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
5f37816b-eccb-580a-90db-537776b7528c,tg:lhph:35291_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhph:35291_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/5f37816b-eccb-580a-90db-537776b7528c,object identifier,,,,,,,,,,
5f37816b-eccb-580a-90db-537776b7528c,tg:lhph:35291_#1,e22_AcquisitionNumbers,1,74479/14,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f37816b-eccb-580a-90db-537776b7528c,tg:lhph:35291_#1,e22_Acquisitions,1,,,tr:lh:3899,"dlod={""name"":""Schenking van Yvonne de Man"",""ark"":""ark:/24970/x0/97d32f47-a0ad-532e-91fa-92a4fb292408"",""uri"":""/repositories/11/accessions/417196"",""id"":""tr:lh:3899"",""date"":""1966-08-25"",""granter"":""Yvonne de Man"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/97d32f47-a0ad-532e-91fa-92a4fb292408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f37816b-eccb-580a-90db-537776b7528c,tg:lhph:35291_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatph,107 x 90,,,,,,,,,,"107 x 90 - height, width, kenmerken.lhformatph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f37816b-eccb-580a-90db-537776b7528c,tg:lhph:35291_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,107,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f37816b-eccb-580a-90db-537776b7528c,tg:lhph:35291_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,90,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f37816b-eccb-580a-90db-537776b7528c,tg:lhph:35291_#1,e22_Items,1,,,,,,,,,,,,,,,,,,lhph,tg:lhph:35291_#1,74479/14,B 366 / P,5f37816b-eccb-580a-90db-537776b7528c,tr:lh:3899,,,,,,,,,,,,,,,,,,,,,,,
5f37816b-eccb-580a-90db-537776b7528c,tg:lhph:35291_#1,e22_ObjectTypes,1,,,,,,kenmerken.lhtypeph,SC,,,,,,,,,,,,,,,,,,,,,,,,sepia prints,,,,,,,,,,,,,,,
5f37816b-eccb-580a-90db-537776b7528c,tg:lhph:35291_#1,e22_UsageRestrictions,,,,,,,default_restriction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,permission required,,,,,,,,
5f37816b-eccb-580a-90db-537776b7528c,tg:lhph:35291_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O29OijZok7gfeTWD8T3llqeG,lhph,https://dams.antwerpen.be/iiif/O29OijZok7gfeTWD8T3llqeG/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/O29OijZok7gfeTWD8T3llqeG,DAMS Image,lhph,Foto
