ResourceID,brocade.id,card,order,Acquisition Number,Acquisition Number Type,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Volgnummer,Source Note,Warehouse Location (begin),Warehouse Location (end),Source Note Type,Source Note Language,Object Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
97f3c930-4a9e-5f9a-9f3a-c1226563f6ff,tg:lhph:14331_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhph:14331_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/97f3c930-4a9e-5f9a-9f3a-c1226563f6ff,object identifier,,,,,,,,,,
97f3c930-4a9e-5f9a-9f3a-c1226563f6ff,tg:lhph:14331_#1,e22_AcquisitionNumbers,1,75043/3,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97f3c930-4a9e-5f9a-9f3a-c1226563f6ff,tg:lhph:14331_#1,e22_Acquisitions,1,,,tr:lh:3939,"dlod={""name"":""Aankoop bij Adolf Distler"",""ark"":""ark:/24970/x0/7f10ad7a-8df3-5000-8710-92ab2f5041c8"",""uri"":""/repositories/11/accessions/421476"",""id"":""tr:lh:3939"",""date"":""1967-01-24"",""granter"":""Adolf Distler"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/7f10ad7a-8df3-5000-8710-92ab2f5041c8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97f3c930-4a9e-5f9a-9f3a-c1226563f6ff,tg:lhph:14331_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatph,115 x 167,,,,,,,,,,"115 x 167 - height, width, kenmerken.lhformatph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97f3c930-4a9e-5f9a-9f3a-c1226563f6ff,tg:lhph:14331_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,115,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97f3c930-4a9e-5f9a-9f3a-c1226563f6ff,tg:lhph:14331_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,167,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97f3c930-4a9e-5f9a-9f3a-c1226563f6ff,tg:lhph:14331_#1,e22_Items,1,,,,,,,,,,,,,,,,,,lhph,tg:lhph:14331_#1,75043/3,D 255 / P,97f3c930-4a9e-5f9a-9f3a-c1226563f6ff,tr:lh:3939,,,,,,,,,,,,,,,,,,,,,,,
97f3c930-4a9e-5f9a-9f3a-c1226563f6ff,tg:lhph:14331_#1,e22_ObjectTypes,1,,,,,,kenmerken.lhtypeph,ZP,,,,,,,,,,,,,,,,,,,,,,,,black-and-white photographs,,,,,,,,,,,,,,,
97f3c930-4a9e-5f9a-9f3a-c1226563f6ff,tg:lhph:14331_#1,e22_UsageRestrictions,,,,,,,default_restriction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,permission required,,,,,,,,
97f3c930-4a9e-5f9a-9f3a-c1226563f6ff,tg:lhph:14331_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s2KKSZbVfKvbUfpnjduQ7z6h,lhph,https://dams.antwerpen.be/iiif/s2KKSZbVfKvbUfpnjduQ7z6h/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/s2KKSZbVfKvbUfpnjduQ7z6h,DAMS Image,lhph,Foto
