ResourceID,brocade.id,card,order,Acquisition Number,Acquisition Number Type,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Volgnummer,Source Note,Warehouse Location (begin),Warehouse Location (end),Source Note Type,Source Note Language,Object Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
41a04531-1c07-5081-916b-a096dfdde2b0,tg:lhph:4778_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhph:4778_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/41a04531-1c07-5081-916b-a096dfdde2b0,object identifier,,,,,,,,,,
41a04531-1c07-5081-916b-a096dfdde2b0,tg:lhph:4778_#1,e22_AcquisitionNumbers,1,7234,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41a04531-1c07-5081-916b-a096dfdde2b0,tg:lhph:4778_#1,e22_Acquisitions,1,,,tr:lh:353,"dlod={""name"":""Schenking van Willem Benoy"",""ark"":""ark:/24970/x0/c68845ce-92f3-5995-b349-297c84676257"",""uri"":""/repositories/11/accessions/37774"",""id"":""tr:lh:353"",""date"":""1935-05-02"",""granter"":""Willem Benoy"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/c68845ce-92f3-5995-b349-297c84676257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41a04531-1c07-5081-916b-a096dfdde2b0,tg:lhph:4778_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatph,296 x 232,,,,,,,,,,"296 x 232 - height, width, kenmerken.lhformatph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41a04531-1c07-5081-916b-a096dfdde2b0,tg:lhph:4778_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,296,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41a04531-1c07-5081-916b-a096dfdde2b0,tg:lhph:4778_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,232,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41a04531-1c07-5081-916b-a096dfdde2b0,tg:lhph:4778_#1,e22_Items,1,,,,,,,,,,,,,,,,,,lhph,tg:lhph:4778_#1,7234,A 341 / P,41a04531-1c07-5081-916b-a096dfdde2b0,tr:lh:353,,,,,,,,,,,,,,,,,,,,,,,
41a04531-1c07-5081-916b-a096dfdde2b0,tg:lhph:4778_#1,e22_ObjectTypes,1,,,,,,kenmerken.lhtypeph,ZP,,,,,,,,,,,,,,,,,,,,,,,,black-and-white photographs,,,,,,,,,,,,,,,
41a04531-1c07-5081-916b-a096dfdde2b0,tg:lhph:4778_#1,e22_UsageRestrictions,,,,,,,default_restriction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,permission required,,,,,,,,
41a04531-1c07-5081-916b-a096dfdde2b0,tg:lhph:4778_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x2DHvMYneVTpcjMPdYKhDtQd,lhph,https://dams.antwerpen.be/iiif/x2DHvMYneVTpcjMPdYKhDtQd/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/x2DHvMYneVTpcjMPdYKhDtQd,DAMS Image,lhph,Foto
