ResourceID,brocade.id,card,order,Acquisition Number,Acquisition Number Type,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Volgnummer,Source Note,Warehouse Location (begin),Warehouse Location (end),Source Note Type,Source Note Language,Object Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
130f376a-be9d-580b-a56c-cdcabf40ab8f,tg:lhph:31100_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhph:31100_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/130f376a-be9d-580b-a56c-cdcabf40ab8f,object identifier,,,,,,,,,,
130f376a-be9d-580b-a56c-cdcabf40ab8f,tg:lhph:31100_#1,e22_AcquisitionNumbers,1,75048/3,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130f376a-be9d-580b-a56c-cdcabf40ab8f,tg:lhph:31100_#1,e22_Acquisitions,1,,,tr:lh:3939,"dlod={""name"":""Aankoop bij Adolf Distler"",""ark"":""ark:/24970/x0/7f10ad7a-8df3-5000-8710-92ab2f5041c8"",""uri"":""/repositories/11/accessions/421476"",""id"":""tr:lh:3939"",""date"":""1967-01-24"",""granter"":""Adolf Distler"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/7f10ad7a-8df3-5000-8710-92ab2f5041c8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130f376a-be9d-580b-a56c-cdcabf40ab8f,tg:lhph:31100_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatph,175 x 120,,,,,,,,,,"175 x 120 - height, width, kenmerken.lhformatph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130f376a-be9d-580b-a56c-cdcabf40ab8f,tg:lhph:31100_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,175,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130f376a-be9d-580b-a56c-cdcabf40ab8f,tg:lhph:31100_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,120,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130f376a-be9d-580b-a56c-cdcabf40ab8f,tg:lhph:31100_#1,e22_Items,1,,,,,,,,,,,,,,,,,,lhph,tg:lhph:31100_#1,75048/3,G 705 / P,130f376a-be9d-580b-a56c-cdcabf40ab8f,tr:lh:3939,,,,,,,,,,,,,,,,,,,,,,,
130f376a-be9d-580b-a56c-cdcabf40ab8f,tg:lhph:31100_#1,e22_ObjectTypes,1,,,,,,kenmerken.lhtypeph,ZP,,,,,,,,,,,,,,,,,,,,,,,,black-and-white photographs,,,,,,,,,,,,,,,
130f376a-be9d-580b-a56c-cdcabf40ab8f,tg:lhph:31100_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1927.0,permission required,,,,,,,,
130f376a-be9d-580b-a56c-cdcabf40ab8f,tg:lhph:31100_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G1KdVkUtYKScS9TFgFHj1MS2,lhph,https://dams.antwerpen.be/iiif/G1KdVkUtYKScS9TFgFHj1MS2/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/G1KdVkUtYKScS9TFgFHj1MS2,DAMS Image,lhph,Foto
