ResourceID,brocade.id,card,order,Acquisition Number,Acquisition Number Type,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Volgnummer,Source Note,Warehouse Location (begin),Warehouse Location (end),Source Note Type,Source Note Language,Object Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
f3859cdb-85b1-5c84-9f9e-2f3f4ca115db,tg:lhph:23284_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhph:23284_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/f3859cdb-85b1-5c84-9f9e-2f3f4ca115db,object identifier,,,,,,,,,,
f3859cdb-85b1-5c84-9f9e-2f3f4ca115db,tg:lhph:23284_#1,e22_AcquisitionNumbers,1,37306/7,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f3859cdb-85b1-5c84-9f9e-2f3f4ca115db,tg:lhph:23284_#1,e22_Acquisitions,1,,,tr:lh:2007,"dlod={""name"":""Archief van Pol de Mont"",""ark"":""ark:/24970/x0/97fdded6-239f-5db4-a342-c1a93eea067f"",""uri"":""/repositories/11/accessions/214752"",""id"":""tr:lh:2007"",""date"":""1949-01-03"",""granter"":""Georges Meir"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/97fdded6-239f-5db4-a342-c1a93eea067f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f3859cdb-85b1-5c84-9f9e-2f3f4ca115db,tg:lhph:23284_#1,e22_Archives,1,,,,,,,,,,,isad:lh:93469,"dlod={""name"":""Foto's i.v.m. Pol de Mont"",""ark"":""ark:/24970/x0/c74bceb1-1d72-5812-a14f-9e92a6d0d0ff"",""uri"":""/repositories/11/archival_objects/10001186"",""id"":""isad:lh:93469"",""nameWithContext"":[""Verzamelingen"",""Foto's""],""resourceName"":""Archief van Pol de Mont"",""resourceArk"":""ark:/24970/x0/82ac8c1a-5348-5a2d-b0e8-19b42f039559"",""resourceURI"":""/repositories/11/resources/19584"",""resourceID"":""isad:lh:183"",""capacity"":""Foto's i.v.m. Pol de Mont"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/c74bceb1-1d72-5812-a14f-9e92a6d0d0ff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f3859cdb-85b1-5c84-9f9e-2f3f4ca115db,tg:lhph:23284_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatph,118 x 132,,,,,,,,,,"118 x 132 - height, width, kenmerken.lhformatph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f3859cdb-85b1-5c84-9f9e-2f3f4ca115db,tg:lhph:23284_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,118,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f3859cdb-85b1-5c84-9f9e-2f3f4ca115db,tg:lhph:23284_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,132,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f3859cdb-85b1-5c84-9f9e-2f3f4ca115db,tg:lhph:23284_#1,e22_Items,1,,,,,,,,,,,,,,,,,,lhph,tg:lhph:23284_#1,37306/7,M 762 / P,f3859cdb-85b1-5c84-9f9e-2f3f4ca115db,tr:lh:2007,isad:lh:93469,,,,,,,,,,,,,,,,,,,,,,
f3859cdb-85b1-5c84-9f9e-2f3f4ca115db,tg:lhph:23284_#1,e22_ObjectTypes,1,,,,,,kenmerken.lhtypeph,ZP,,,,,,,,,,,,,,,,,,,,,,,,black-and-white photographs,,,,,,,,,,,,,,,
f3859cdb-85b1-5c84-9f9e-2f3f4ca115db,tg:lhph:23284_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1923.0,permission required,,,,,,,,
f3859cdb-85b1-5c84-9f9e-2f3f4ca115db,tg:lhph:23284_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x1URPSQIt6wMTWg9BCGYeWG0,lhph,https://dams.antwerpen.be/iiif/x1URPSQIt6wMTWg9BCGYeWG0/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/x1URPSQIt6wMTWg9BCGYeWG0,DAMS Image,lhph,Foto
