ResourceID,brocade.id,card,order,Acquisition Number,Acquisition Number Type,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,mpm_place_holder,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,adm.isadPartOf,Volgnummer,Source Note,Warehouse Location (begin),Warehouse Location (end),Source Note Type,Source Note Language,Object Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
801f3ca0-94c4-5d01-a17a-30490ff522b7,tg:lhph:25872_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhph:25872_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/801f3ca0-94c4-5d01-a17a-30490ff522b7,object identifier,,,,,,,,,,
801f3ca0-94c4-5d01-a17a-30490ff522b7,tg:lhph:25872_#1,e22_AcquisitionNumbers,1,73302/4,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801f3ca0-94c4-5d01-a17a-30490ff522b7,tg:lhph:25872_#1,e22_Acquisitions,1,,,tr:lh:3747,"dlod={""name"":""Aankoop bij Jos Polak"",""ark"":""ark:/24970/x0/ca135b9b-7193-59f8-ae5a-68a8f5c10fe4"",""uri"":""/repositories/11/accessions/400932"",""id"":""tr:lh:3747"",""date"":""1965-05-05"",""granter"":""Jos Polak"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/ca135b9b-7193-59f8-ae5a-68a8f5c10fe4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801f3ca0-94c4-5d01-a17a-30490ff522b7,tg:lhph:25872_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.lhformatph,230 x 175,,,,,,,,,,"230 x 175 - height, width, kenmerken.lhformatph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801f3ca0-94c4-5d01-a17a-30490ff522b7,tg:lhph:25872_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,230,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801f3ca0-94c4-5d01-a17a-30490ff522b7,tg:lhph:25872_#1,e22_Dimensions,,,,,,,kenmerken.lhformatph,,,,,,,,175,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801f3ca0-94c4-5d01-a17a-30490ff522b7,tg:lhph:25872_#1,e22_Items,1,,,,,,,,,,,,,,,,,,lhph,tg:lhph:25872_#1,73302/4,C 2453 / P,801f3ca0-94c4-5d01-a17a-30490ff522b7,tr:lh:3747,,,,,,,,,,,,,,,,,,,,,,,
801f3ca0-94c4-5d01-a17a-30490ff522b7,tg:lhph:25872_#1,e22_ObjectTypes,1,,,,,,kenmerken.lhtypeph,ZP,,,,,,,,,,,,,,,,,,,,,,,,black-and-white photographs,,,,,,,,,,,,,,,
801f3ca0-94c4-5d01-a17a-30490ff522b7,tg:lhph:25872_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1965.0,permission required,,,,,,,,
801f3ca0-94c4-5d01-a17a-30490ff522b7,tg:lhph:25872_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R2hUIPibZLMOZIoWSaJT6kO4,lhph,https://dams.antwerpen.be/iiif/R2hUIPibZLMOZIoWSaJT6kO4/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/R2hUIPibZLMOZIoWSaJT6kO4,DAMS Image,lhph,Foto
