ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,kenmerken.rubobjnrgr,isaad,Associated Archive,dataset,Associated Record Relation,Associated Brocade ID,Associated Record URL Type,Associated Record Note,related_uuid,Associated Record,Creation Actor Note,Creation Actor Role,museum,resource_model,ire.isaar.uuid,source_ire_type,au_code,g_code,Creation Actor Widget,Creation Actor Identifier,matched on,Start Date,Start Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation URL Prefix,External Relation URL,External Relation,External Relation URL Type,External Relation Note,External Relation Note Language,External Relation Note Type,Keyword,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Other Identifier,Other Identifier Type,Title,Title Type,Title Language,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,source_date,Copyright Revision Date,Copyright Type,Transactions
a48a64ef-2fc3-5c53-a3e7-c00e6c877ad5,tg:rubgr:5097,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rubenianum,tg:rubgr:5097,record identifiers,https://data.rubenianum.be//ark:/86530/a48a64ef-2fc3-5c53-a3e7-c00e6c877ad5,object identifier,Brieven,,,,
a48a64ef-2fc3-5c53-a3e7-c00e6c877ad5,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""2abc87b8-4fd9-4751-a834-32f6b6e1f5c7"", ""ontologyProperty"": """", ""resourceXresourceId"": ""509b3dae-459b-4c9b-b7c2-10a655574395"", ""inverseOntologyProperty"": """"}]"
a48a64ef-2fc3-5c53-a3e7-c00e6c877ad5,tg:rubgr:5097,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1956.0,2071,In Copyright,
a48a64ef-2fc3-5c53-a3e7-c00e6c877ad5,tg:rubgr:5097,e73_Correspondence,1,,,,,,,,,,,,,,,,"Karling, Sten",correspondents (correspondence writers),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a48a64ef-2fc3-5c53-a3e7-c00e6c877ad5,tg:rubgr:5097,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19560821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a48a64ef-2fc3-5c53-a3e7-c00e6c877ad5,tg:rubgr:5097,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,,,,1956-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a48a64ef-2fc3-5c53-a3e7-c00e6c877ad5,tg:rubgr:5097,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>[Briefhoofd Konsthistoriska Institutet, Stockholm] Korte inhoud: [Taal, Duits] Officiële uitnodiging om in de jury Stridbeck te zetelen. Uitnodiging om een lezing te geven aan de universitiet van Stockholm, Uppsala, Lund en Göteborg.</p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a48a64ef-2fc3-5c53-a3e7-c00e6c877ad5,tg:rubgr:5097,e73_Keywords,1,kenmerken.rubkeyword,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Karling, Sten",,,,,,,,,,,,,,,,,,,,,,,
a48a64ef-2fc3-5c53-a3e7-c00e6c877ad5,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN14/gr/000005097,referentienummer,False,,,,,,,,,,,,,,,,,,,,
a48a64ef-2fc3-5c53-a3e7-c00e6c877ad5,,e73_LegacyInformation,1,if.rawcontent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<record>
			<priref>7353</priref>
			<recipient>Grossmann, F.</recipient>
			<number>AFG_142_014</number>
			<date.precise>1956-08-21</date.precise>
			<content>[Briefhoofd Konsthistoriska Institutet, Stockholm] Korte inhoud: [Taal, Duits] Offici&#235;le uitnodiging om in de jury Stridbeck te zetelen. Uitnodiging om een lezing te geven aan de universitiet van Stockholm, Uppsala, Lund en G&#246;teborg.</content>
			<object.object_number>AFG_142</object.object_number>
			<object.object_name>Dossier</object.object_name>
			<class>AFG</class>
			<editorial_form>brief</editorial_form>
			<object.title>Stridbeck, Disputation, Sweden</object.title>
			<keyword>Karling, Sten</keyword>
			<sender>Karling, Sten</sender>
			<object.creator/>
			<input.date>2014-08-12</input.date>
			<edit.date>2014-08-12</edit.date>
			<input.name>Centrum</input.name>
			<edit.name>Centrum</edit.name>
			<edit.time>11:06:17</edit.time>
			<input.time>10:51:35</input.time>
			<input.source>archive</input.source>
			<edit.source>archive</edit.source>
		</record>
		
",commentaar gebruiker,False,,,,,,,,,,,,,,,,,,,,
