ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,kenmerken.rubobjnrgr,isaad,Associated Archive,dataset,Associated Record Relation,Associated Brocade ID,Associated Record URL Type,Associated Record Note,related_uuid,Associated Record,Creation Actor Note,Creation Actor Role,museum,resource_model,ire.isaar.uuid,source_ire_type,ire.isaar.id,place_au_code,Creation Actor Widget,Creation Actor Identifier,Start Date,Start Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation URL Prefix,External Relation URL,External Relation,External Relation URL Type,External Relation Note,External Relation Note Language,External Relation Note Type,Keyword,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Type.1,Other Identifier,Other Identifier Type,Title,Title Type,Title Language,Keeper,Object Number,Object Identifier,Record Type,source_date,Copyright Revision Date,Copyright Type,Transactions
f156d1f1-2fea-5b35-89fa-cc43bbd826d0,tg:rubgr:1281,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rubenianum,tg:rubgr:1281,https://data.rubenianum.be//ark:/86530/f156d1f1-2fea-5b35-89fa-cc43bbd826d0,Brieven,,,,
f156d1f1-2fea-5b35-89fa-cc43bbd826d0,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""e3c28929-4011-4844-b0d8-f02f2b4aafd7"", ""ontologyProperty"": """", ""resourceXresourceId"": ""2077b543-4df9-4fb0-b575-dbcd2279f416"", ""inverseOntologyProperty"": """"}]"
f156d1f1-2fea-5b35-89fa-cc43bbd826d0,tg:rubgr:1281,e73_CreationTimeSpans,,default_copyright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Copyright Undetermined,
f156d1f1-2fea-5b35-89fa-cc43bbd826d0,tg:rubgr:1281,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 zw/w prentbriefkaart: Pierre Bruegel l'Ancien (1528-1569) Le dénombrement à Bethléem. De volksoptelling van Bethleem [sic], 38. Musée de Bruxelles.",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f156d1f1-2fea-5b35-89fa-cc43bbd826d0,tg:rubgr:1281,e73_ExternalRelationsExtras,a::rub.34,ow.link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://rkd.nl/nl/explore/images/,261048,online catalogs,RKDimages,,,,,,,,,,,,,,,,,,,,,,,,,,
f156d1f1-2fea-5b35-89fa-cc43bbd826d0,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN14/gr/000001281,referentienummer,False,,,,,,,,,,,,,,,,,,,
f156d1f1-2fea-5b35-89fa-cc43bbd826d0,,e73_LegacyInformation,1,if.rawcontent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<record>
			<priref>5276</priref>
			<number>AFG_033_019</number>
			<content>1 zw/w prentbriefkaart: Pierre Bruegel l'Ancien (1528-1569) Le d&#233;nombrement &#224; Bethl&#233;em. De volksoptelling van Bethleem [sic], 38. Mus&#233;e de Bruxelles.</content>
			<object.object_number>AFG_033</object.object_number>
			<object.object_name>schilderij</object.object_name>
			<class>AFG</class>
			<editorial_form>Prentbriefkaart</editorial_form>
			<object.title>The Numbering at Bethlehem</object.title>
			<keyword>Brussel, Koninklijke Musea voor Schone Kunsten van Belgi&#235;</keyword>
			<object.creator>Bruegel, Pieter I</object.creator>
			<input.date>2014-05-21</input.date>
			<edit.date>2014-09-02</edit.date>
			<edit.date>2014-05-21</edit.date>
			<edit.date>2014-05-21</edit.date>
			<input.name>Centrum</input.name>
			<edit.name>Centrum</edit.name>
			<edit.name>Centrum</edit.name>
			<edit.name>Centrum</edit.name>
			<edit.time>11:47:18</edit.time>
			<edit.time>11:53:14</edit.time>
			<edit.time>11:53:05</edit.time>
			<input.time>11:52:11</input.time>
			<input.source>archive</input.source>
			<edit.source>archive</edit.source>
			<edit.source>archive</edit.source>
			<edit.source>archive</edit.source>
		</record>
		
",commentaar gebruiker,False,,,,,,,,,,,,,,,,,,,
f156d1f1-2fea-5b35-89fa-cc43bbd826d0,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:rubgr:1281,brocade id,False,,,,,,,,,,,,,,,,,,,
f156d1f1-2fea-5b35-89fa-cc43bbd826d0,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opacrubobj/tg:rubgr:1281/N,brocade url,False,,,,,,,,,,,,,,,,,,,
f156d1f1-2fea-5b35-89fa-cc43bbd826d0,tg:rubgr:1281,e73_MaterialRecords,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""49a74971-0652-54f5-aec1-c2c7f85a7474"", ""ontologyProperty"": """", ""resourceXresourceId"": ""5e56b026-2134-46a8-b894-11f288bc756f"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,
