ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,kenmerken.rubobjnrgr,isaad,Associated Archive,dataset,Associated Record Relation,Associated Brocade ID,Associated Record URL Type,Associated Record Note,related_uuid,Associated Record,Creation Actor Note,Creation Actor Role,museum,resource_model,ire.isaar.uuid,source_ire_type,au_code,g_code,Creation Actor Widget,Creation Actor Identifier,matched on,Start Date,Start Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation URL Prefix,External Relation URL,External Relation,External Relation URL Type,External Relation Note,External Relation Note Language,External Relation Note Type,Keyword,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Other Identifier,Other Identifier Type,Title,Title Type,Title Language,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,source_date,Copyright Revision Date,Copyright Type,Transactions
f283fea5-946a-5e93-92c3-7561978fb284,tg:rubgr:3306,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rubenianum,tg:rubgr:3306,record identifiers,https://data.rubenianum.be//ark:/86530/f283fea5-946a-5e93-92c3-7561978fb284,object identifier,Brieven,,,,
f283fea5-946a-5e93-92c3-7561978fb284,tg:rubgr:3306,e73_AssociatedRecords,1,,,,,,,,,rubgr_brief,relatie naar geheel,tg:rubgr:3305,Verwijzing naar Grossmann object,,27468b53-243a-5bf7-8f1d-cfb5106a9c0b,"[{""resourceId"": ""27468b53-243a-5bf7-8f1d-cfb5106a9c0b"", ""ontologyProperty"": """", ""resourceXresourceId"": ""bada64c1-3eb2-46a0-b6c0-98538d1b32f2"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f283fea5-946a-5e93-92c3-7561978fb284,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""4e0c48d1-b41d-472b-a884-1d0159fe5311"", ""ontologyProperty"": """", ""resourceXresourceId"": ""051952d8-a906-418d-ad9b-7739a37a4352"", ""inverseOntologyProperty"": """"}]"
f283fea5-946a-5e93-92c3-7561978fb284,tg:rubgr:3306,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1957.0,2072,In Copyright,
f283fea5-946a-5e93-92c3-7561978fb284,tg:rubgr:3306,e73_Correspondence,1,,,,,,,,,,,,,,,,"Grafe, I.",correspondents (correspondence writers),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f283fea5-946a-5e93-92c3-7561978fb284,tg:rubgr:3306,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19570311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f283fea5-946a-5e93-92c3-7561978fb284,tg:rubgr:3306,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,,,,1957-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f283fea5-946a-5e93-92c3-7561978fb284,tg:rubgr:3306,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>[Briefhoofd Phaidon]: Stuurt foto's van Jan Matsys, Venus in Landscape, Hamburg; 2 zw/w foto's van het geheel; 2 details [Stempel Kleinhempel].</p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f283fea5-946a-5e93-92c3-7561978fb284,tg:rubgr:3306,e73_Keywords,1,kenmerken.rubkeyword,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Grafe, I.",,,,,,,,,,,,,,,,,,,,,,,
f283fea5-946a-5e93-92c3-7561978fb284,tg:rubgr:3306,e73_Keywords,2,kenmerken.rubkeyword,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hamburg, Hamburger Kunsthalle",,,,,,,,,,,,,,,,,,,,,,,
f283fea5-946a-5e93-92c3-7561978fb284,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN14/gr/000003306,referentienummer,False,,,,,,,,,,,,,,,,,,,,
f283fea5-946a-5e93-92c3-7561978fb284,,e73_LegacyInformation,1,if.rawcontent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<record>
			<priref>5558</priref>
			<recipient>Grossmann, F.</recipient>
			<number>AFG_092_036</number>
			<part_of_reference>AFG_092_035</part_of_reference>
			<date.precise>1957-03-11</date.precise>
			<content>[Briefhoofd Phaidon]: Stuurt foto's van Jan Matsys, Venus in Landscape, Hamburg; 2 zw/w foto's van het geheel; 2 details [Stempel Kleinhempel].</content>
			<object.object_number>AFG_092</object.object_number>
			<object.object_name>Dossier</object.object_name>
			<part_of.title>[Briefomslag Phaidon]: Jan Massys, Hamburg.</part_of.title>
			<class>AFG</class>
			<editorial_form>brief</editorial_form>
			<editorial_form>foto</editorial_form>
			<object.title>Wrong or doubtful Attributions except Jan Brueghel. Copies after Lost Pictures &amp; after extant Works. Grossmann 242</object.title>
			<keyword>Massijs, Jan</keyword>
			<keyword>Grafe, I.</keyword>
			<keyword>Hamburg, Hamburger Kunsthalle</keyword>
			<sender>Grafe, I.</sender>
			<object.creator/>
			<input.date>2014-06-17</input.date>
			<edit.date>2014-06-17</edit.date>
			<input.name>Centrum</input.name>
			<edit.name>Centrum</edit.name>
			<edit.time>12:20:12</edit.time>
			<input.time>12:19:23</input.time>
			<input.source>archive</input.source>
			<edit.source>archive</edit.source>
		</record>
		
",commentaar gebruiker,False,,,,,,,,,,,,,,,,,,,,
f283fea5-946a-5e93-92c3-7561978fb284,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:rubgr:3306,brocade id,False,,,,,,,,,,,,,,,,,,,,
f283fea5-946a-5e93-92c3-7561978fb284,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opacrubobj/tg:rubgr:3306/N,brocade url,False,,,,,,,,,,,,,,,,,,,,
f283fea5-946a-5e93-92c3-7561978fb284,tg:rubgr:3306,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""5d9dbb17-4a1e-5161-95b0-7dc1d624d197"", ""ontologyProperty"": """", ""resourceXresourceId"": ""f1552ac8-cb8e-4584-b991-615863e954b6"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,
f283fea5-946a-5e93-92c3-7561978fb284,tg:rubgr:3306,e73_OtherIdentifiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AFG_092_036,repository numbers,,,,,,,,,,,,,
f283fea5-946a-5e93-92c3-7561978fb284,tg:rubgr:3306,e73_Titles,1,id.title/ti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AFG_092_036,titles proper,Dutch (language),,,,,,,,,,
f283fea5-946a-5e93-92c3-7561978fb284,tg:rubgr:3306,e73_Titles,,,au::111146,,,,,,,rubgr_brief,,,,,,,,recipients (people),rub,Brief,8e6df2a1-cc0f-5a41-b61d-ec8b6ea9e1e1,be,au::111146:1,au::111146g:1,"dlod={""suggest"":[""/agents/people/11892622"",""au::111146"",""au::111146:1"",""ark:/83110/x0/8e6df2a1-cc0f-5a41-b61d-ec8b6ea9e1e1"",""Fritz Grossmann"",""ark:/83110/x0/ae80d66c-7975-5060-9cf6-7c8efbdcbd63""],""name"":""Fritz Grossmann"",""ark"":""ark:/83110/x0/ae80d66c-7975-5060-9cf6-7c8efbdcbd63"",""uri"":""/agents/people/11892622"",""id"":""au::111146:1"",""resourceArk"":""ark:/83110/x0/8e6df2a1-cc0f-5a41-b61d-ec8b6ea9e1e1"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/8e6df2a1-cc0f-5a41-b61d-ec8b6ea9e1e1,au_code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f283fea5-946a-5e93-92c3-7561978fb284,tg:rubgr:3306,e73_Titles,,,au::12358,,,,,,,rubgr_brief,,,,,,,,,rub,Brief,3949d0c3-4d97-51e3-9508-2f8562701189,kw,au::12358:1,au::12358g:1,,,au_code,,,,,,,,,,,,,,,,,,,,,,keywords,,"dlod={""suggest"":[""/agents/people/1322306"",""au::12358"",""au::12358:1"",""ark:/83110/x0/3949d0c3-4d97-51e3-9508-2f8562701189"",""Jan Matsijs"",""ark:/83110/x0/14294563-9281-53f1-919a-8ca308920e5b""],""name"":""Jan Matsijs"",""ark"":""ark:/83110/x0/14294563-9281-53f1-919a-8ca308920e5b"",""uri"":""/agents/people/1322306"",""id"":""au::12358:1"",""resourceArk"":""ark:/83110/x0/3949d0c3-4d97-51e3-9508-2f8562701189"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/3949d0c3-4d97-51e3-9508-2f8562701189,,,,,,,,,,,,,,,
