ResourceID,brocade.id,museum,dataset,resource_model,card,ire.isaar.uuid,source_ire_type,Creation Actor Role,source_code,ire.isaar.id,place_au_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,order,source_field,Creation Place Note,Creation Place Note Type,Creation Place Note Language,Creation Place Widget,Start Date,Start Date Type,Creation Time Span Source Note,Depicted Item Role,Depicted Item Note,Depicted Item Widget,Depicted Item Identifier,Depicted Item Type,Description,Description Type,Description Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Type.1,Keeper,Object Number,Object Identifier,Record Type,source_date,Copyright Revision Date,Copyright Type,Transactions
020d937c-b7b1-5ae0-9241-74fd925008ba,tg:mpmph:98,,,,AA,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmph:98,https://data.museumplantinmoretus.be/ark:/11975/020d937c-b7b1-5ae0-9241-74fd925008ba,Foto's,,,,
020d937c-b7b1-5ae0-9241-74fd925008ba,tg:mpmph:98,,,,Places,,,,,,,,,,1,id/place.place,[Leiden],remarks,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020d937c-b7b1-5ae0-9241-74fd925008ba,,,,,e73_ChangeHistoryRelations,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""1bf7fb04-bac7-4e98-a091-cfe8666e6cf4"", ""ontologyProperty"": """", ""resourceXresourceId"": ""556dc605-1dc5-49ef-983c-1e8304bd0dce"", ""inverseOntologyProperty"": """"}]"
020d937c-b7b1-5ae0-9241-74fd925008ba,tg:mpmph:98,,,,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960,2075,In Copyright,
020d937c-b7b1-5ae0-9241-74fd925008ba,tg:mpmph:98,mpm,mpmph,Foto,e73_CreationActors,0a7be828-2e65-544a-be43-c17268c049de,av,originators (administrative),au::19884,au::19884:1,au::19884g:1,,"dlod={""suggest"":[""/agents/people/2127588"",""au::19884"",""au::19884:1"",""ark:/83110/x0/0a7be828-2e65-544a-be43-c17268c049de"",""Hendrik Vervliet""],""name"":""Hendrik Vervliet"",""ark"":""ark:/83110/x0/0a7be828-2e65-544a-be43-c17268c049de"",""uri"":""/agents/people/2127588"",""id"":""au::19884:1"",""isCapacity"":false}",ark:/83110/x0/0a7be828-2e65-544a-be43-c17268c049de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020d937c-b7b1-5ae0-9241-74fd925008ba,tg:mpmph:98,,,,e73_CreationTimeSpanSourceNotes,,,,,,,,,,0,id/date.exposure/so,,,,,,,19600000,,,,,,,,,,,,,,,,,,,,,,,,,
020d937c-b7b1-5ae0-9241-74fd925008ba,tg:mpmph:98,,,,e73_CreationTimeSpans,,,,,,,,,,,,,,,,1960,circa,,,,,,,,,,,,,,,,,,,,,,,,,,
020d937c-b7b1-5ae0-9241-74fd925008ba,tg:mpmph:98,,,,e73_Descriptions,,,,,,,,,,,id.desc,,,,,,,,,,,,,"*Specimen typorum Johannis Elsevirii, academiae Lugduno-Batavae typographi, quos in sua typographia habet* (Johannes Elzevier, Leiden 1658)",descriptive note,Nederlands,,,,,,,,,,,,,,,,,
020d937c-b7b1-5ae0-9241-74fd925008ba,,,,,e73_LegacyInformation,,,,,,,,,,0,id.objectNumber,,,,,,,,,,,,,,,,BE-ANN00/ph/000000087,referentienummer,False,,,,,,,,,,,,,,
020d937c-b7b1-5ae0-9241-74fd925008ba,,,,,e73_LegacyInformation,,,,,,,,,,1,brocade.id,,,,,,,,,,,,,,,,tg:mpmph:98,brocade id,False,,,,,,,,,,,,,,
020d937c-b7b1-5ae0-9241-74fd925008ba,,,,,e73_LegacyInformation,,,,,,,,,,1,brocade.url,,,,,,,,,,,,,,,,https://anet.be/record/opacmpmobj/tg:mpmph:98/N,brocade url,False,,,,,,,,,,,,,,
020d937c-b7b1-5ae0-9241-74fd925008ba,tg:mpmph:98,,,,e73_MaterialRecords,,,,,,,,,,1,materialRecords,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""fe30a6aa-d431-5847-9e14-02977c4b1be2"", ""ontologyProperty"": """", ""resourceXresourceId"": ""0fcfb489-5f41-4119-93c9-7dbe43b93688"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,
028e6a97-ddf1-5311-86ec-ef5b357a7a4b,tg:mpmph:56,,,,AA,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmph:56,https://data.museumplantinmoretus.be/ark:/11975/028e6a97-ddf1-5311-86ec-ef5b357a7a4b,Foto's,,,,
028e6a97-ddf1-5311-86ec-ef5b357a7a4b,,,,,e73_ChangeHistoryRelations,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""4b644f78-c7e9-456c-8541-b902ea6db8f4"", ""ontologyProperty"": """", ""resourceXresourceId"": ""d841dca3-6736-41da-98c8-f3a32852f049"", ""inverseOntologyProperty"": """"}]"
028e6a97-ddf1-5311-86ec-ef5b357a7a4b,tg:mpmph:56,,,,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960,2075,In Copyright,
028e6a97-ddf1-5311-86ec-ef5b357a7a4b,tg:mpmph:56,mpm,mpmph,Foto,e73_CreationActors,0a7be828-2e65-544a-be43-c17268c049de,av,originators (administrative),au::19884,au::19884:1,au::19884g:1,,"dlod={""suggest"":[""/agents/people/2127588"",""au::19884"",""au::19884:1"",""ark:/83110/x0/0a7be828-2e65-544a-be43-c17268c049de"",""Hendrik Vervliet""],""name"":""Hendrik Vervliet"",""ark"":""ark:/83110/x0/0a7be828-2e65-544a-be43-c17268c049de"",""uri"":""/agents/people/2127588"",""id"":""au::19884:1"",""isCapacity"":false}",ark:/83110/x0/0a7be828-2e65-544a-be43-c17268c049de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
028e6a97-ddf1-5311-86ec-ef5b357a7a4b,tg:mpmph:56,,,,e73_CreationTimeSpanSourceNotes,,,,,,,,,,0,id/date.exposure/so,,,,,,,19600000,,,,,,,,,,,,,,,,,,,,,,,,,
028e6a97-ddf1-5311-86ec-ef5b357a7a4b,tg:mpmph:56,,,,e73_CreationTimeSpans,,,,,,,,,,,,,,,,1960,circa,,,,,,,,,,,,,,,,,,,,,,,,,,
028e6a97-ddf1-5311-86ec-ef5b357a7a4b,tg:mpmph:56,,,,e73_Descriptions,,,,,,,,,,,id.desc,,,,,,,,,,,,,"Fragment van *Le nouveau testament de notre seigneur …* (Lyon, 1579, de Harsy)
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,
028e6a97-ddf1-5311-86ec-ef5b357a7a4b,,,,,e73_LegacyInformation,,,,,,,,,,0,id.objectNumber,,,,,,,,,,,,,,,,BE-ANN00/ph/000000045,referentienummer,False,,,,,,,,,,,,,,
028e6a97-ddf1-5311-86ec-ef5b357a7a4b,,,,,e73_LegacyInformation,,,,,,,,,,1,brocade.id,,,,,,,,,,,,,,,,tg:mpmph:56,brocade id,False,,,,,,,,,,,,,,
028e6a97-ddf1-5311-86ec-ef5b357a7a4b,,,,,e73_LegacyInformation,,,,,,,,,,1,brocade.url,,,,,,,,,,,,,,,,https://anet.be/record/opacmpmobj/tg:mpmph:56/N,brocade url,False,,,,,,,,,,,,,,
028e6a97-ddf1-5311-86ec-ef5b357a7a4b,tg:mpmph:56,,,,e73_MaterialRecords,,,,,,,,,,1,materialRecords,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""7633b204-c437-548d-aff4-16bd8cfd4ff3"", ""ontologyProperty"": """", ""resourceXresourceId"": ""3d64b648-d3fe-4bdc-acd9-15e7ded400f7"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,
037115d1-f4fd-5466-9669-a426c185e2ac,tg:mpmph:88,,,,AA,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmph:88,https://data.museumplantinmoretus.be/ark:/11975/037115d1-f4fd-5466-9669-a426c185e2ac,Foto's,,,,
037115d1-f4fd-5466-9669-a426c185e2ac,tg:mpmph:88,,,,Places,,,,,,,,,,1,id/place.place,[Haarlem?],remarks,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037115d1-f4fd-5466-9669-a426c185e2ac,,,,,e73_ChangeHistoryRelations,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""2f705274-e657-46cc-8287-3be08a40f211"", ""ontologyProperty"": """", ""resourceXresourceId"": ""9f5487e6-0fb5-4cdc-a393-2e5f470e4bd7"", ""inverseOntologyProperty"": """"}]"
037115d1-f4fd-5466-9669-a426c185e2ac,tg:mpmph:88,,,,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960,2075,In Copyright,
037115d1-f4fd-5466-9669-a426c185e2ac,tg:mpmph:88,mpm,mpmph,Foto,e73_CreationActors,0a7be828-2e65-544a-be43-c17268c049de,av,originators (administrative),au::19884,au::19884:1,au::19884g:1,,"dlod={""suggest"":[""/agents/people/2127588"",""au::19884"",""au::19884:1"",""ark:/83110/x0/0a7be828-2e65-544a-be43-c17268c049de"",""Hendrik Vervliet""],""name"":""Hendrik Vervliet"",""ark"":""ark:/83110/x0/0a7be828-2e65-544a-be43-c17268c049de"",""uri"":""/agents/people/2127588"",""id"":""au::19884:1"",""isCapacity"":false}",ark:/83110/x0/0a7be828-2e65-544a-be43-c17268c049de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037115d1-f4fd-5466-9669-a426c185e2ac,tg:mpmph:88,,,,e73_CreationTimeSpanSourceNotes,,,,,,,,,,0,id/date.exposure/so,,,,,,,19600000,,,,,,,,,,,,,,,,,,,,,,,,,
037115d1-f4fd-5466-9669-a426c185e2ac,tg:mpmph:88,,,,e73_CreationTimeSpans,,,,,,,,,,,,,,,,1960,circa,,,,,,,,,,,,,,,,,,,,,,,,,,
