ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
a74553b6-0fc9-520d-a0cc-b846cbccf6a9,tg:lhbr:247891,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:247891,https://data.letterenhuis.be/ark:/24970/a74553b6-0fc9-520d-a0cc-b846cbccf6a9,Brieven,,,,,
a74553b6-0fc9-520d-a0cc-b846cbccf6a9,tg:lhbr:247891,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1942.0,2057,In Copyright
a74553b6-0fc9-520d-a0cc-b846cbccf6a9,tg:lhbr:247891,e73_CreationActors,,,au::45862,,,,lhbr,0bb23fce-83ad-5572-8732-102a9657b62a,bs,,au::45862:1,au::45862g:1,,,,,lhbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/corporate_entities/4907234"",""au::45862"",""au::45862:1"",""ark:/83110/x0/0bb23fce-83ad-5572-8732-102a9657b62a"",""De Vrienden van het Museum voor Schone Kunsten [Gent]""],""name"":""De Vrienden van het Museum voor Schone Kunsten [Gent]"",""ark"":""ark:/83110/x0/0bb23fce-83ad-5572-8732-102a9657b62a"",""uri"":""/agents/corporate_entities/4907234"",""id"":""au::45862:1"",""isCapacity"":false}",ark:/83110/x0/0bb23fce-83ad-5572-8732-102a9657b62a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a74553b6-0fc9-520d-a0cc-b846cbccf6a9,tg:lhbr:247891,e73_CreationActors,,,au::4481,,,,lhbr,9f9ad815-9323-5752-9705-37c2d793dd73,co,,au::4481:1,au::4481g:1,,,,,lhbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/people/479467"",""au::4481"",""au::4481:1"",""ark:/83110/x0/9f9ad815-9323-5752-9705-37c2d793dd73"",""Arthur Henry Cornette""],""name"":""Arthur Henry Cornette"",""ark"":""ark:/83110/x0/9f9ad815-9323-5752-9705-37c2d793dd73"",""uri"":""/agents/people/479467"",""id"":""au::4481:1"",""isCapacity"":false}",ark:/83110/x0/9f9ad815-9323-5752-9705-37c2d793dd73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a74553b6-0fc9-520d-a0cc-b846cbccf6a9,tg:lhbr:247891,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19420711,,,,,,,,,,,,,,,,,,,,,,,,,,
a74553b6-0fc9-520d-a0cc-b846cbccf6a9,tg:lhbr:247891,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1942-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a74553b6-0fc9-520d-a0cc-b846cbccf6a9,tg:lhbr:247891,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,
a74553b6-0fc9-520d-a0cc-b846cbccf6a9,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000236797,referentienummer,False,,,,,,,,,,,,
a74553b6-0fc9-520d-a0cc-b846cbccf6a9,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:247891,brocade id,False,,,,,,,,,,,,
a74553b6-0fc9-520d-a0cc-b846cbccf6a9,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:247891/N,brocade url,False,,,,,,,,,,,,
a74553b6-0fc9-520d-a0cc-b846cbccf6a9,tg:lhbr:247891,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""12c0f7ce-6a8c-5b8b-84e3-69159ad5bf20"", ""ontologyProperty"": """", ""resourceXresourceId"": ""99a82331-e491-46f0-8893-3e7ccffaf519"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
