ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Creation Place Note,Creation Place Note Type,Creation Place Note Language,Creation Place Widget,Start Date,Start Date Type,End Date,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,source_date,Copyright Revision Date,Copyright Type,Transactions
b7f28f25-1ae4-55cf-b115-6078e96281fa,tg:mpmbr:621,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmbr:621,https://data.museumplantinmoretus.be/ark:/11975/b7f28f25-1ae4-55cf-b115-6078e96281fa,Brieven,,,,
b7f28f25-1ae4-55cf-b115-6078e96281fa,tg:mpmbr:621,Places,1,id/place.place,,,,,,,,,,au::100105,,,,,,,,,,,,,,"dlod={""name"":""Brussel (Brussel-Hoofdstad)"",""ark"":""ark:/83110/x0/99596b2b-2b42-50f2-8ec3-d578638b6d71"",""uri"":""/subjects/10711235"",""id"":""au::100105"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b7f28f25-1ae4-55cf-b115-6078e96281fa,tg:mpmbr:621,e73_AnnotationsImmaterial,1,note.mpmalg,"<p>Bevat 1 bijlage</p>
","<p>Bevat 1 bijlage</p>
",Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b7f28f25-1ae4-55cf-b115-6078e96281fa,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""a13faeb8-4ba9-4a30-b876-b16716def7a1"", ""ontologyProperty"": """", ""resourceXresourceId"": ""062f4291-08f0-4c0c-9db3-b54149557ebe"", ""inverseOntologyProperty"": """"}]"
b7f28f25-1ae4-55cf-b115-6078e96281fa,tg:mpmbr:621,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1640,1755,No Copyright - Public Domain Mark 1.0,
b7f28f25-1ae4-55cf-b115-6078e96281fa,tg:mpmbr:621,e73_CreationActors,,,au::106909,,,,mpm,e1f4eb1d-708e-52f6-8008-a937c1ed2fcd,bs,,au::106909:1,au::106909g:1,,,,,mpmbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/11439263"",""au::106909"",""au::106909:1"",""ark:/83110/x0/e1f4eb1d-708e-52f6-8008-a937c1ed2fcd"",""Balthasar II Moretus""],""name"":""Balthasar II Moretus"",""ark"":""ark:/83110/x0/e1f4eb1d-708e-52f6-8008-a937c1ed2fcd"",""uri"":""/agents/people/11439263"",""id"":""au::106909:1"",""isCapacity"":false}",ark:/83110/x0/e1f4eb1d-708e-52f6-8008-a937c1ed2fcd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b7f28f25-1ae4-55cf-b115-6078e96281fa,tg:mpmbr:621,e73_CreationActors,,,au::106908,,,,mpm,9f62622e-af8f-5120-8bb2-771de1268484,co,,au::106908:1,au::106908g:1,,,,,mpmbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/people/11439156"",""au::106908"",""au::106908:1"",""ark:/83110/x0/9f62622e-af8f-5120-8bb2-771de1268484"",""Balthasar I Moretus""],""name"":""Balthasar I Moretus"",""ark"":""ark:/83110/x0/9f62622e-af8f-5120-8bb2-771de1268484"",""uri"":""/agents/people/11439156"",""id"":""au::106908:1"",""isCapacity"":false}",ark:/83110/x0/9f62622e-af8f-5120-8bb2-771de1268484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b7f28f25-1ae4-55cf-b115-6078e96281fa,tg:mpmbr:621,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16401120,,,,,,,,,,,,,,,,,,,,,,,,,
b7f28f25-1ae4-55cf-b115-6078e96281fa,tg:mpmbr:621,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,,,1640-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b7f28f25-1ae4-55cf-b115-6078e96281fa,tg:mpmbr:621,e73_Languages,1,kenmerken.mpmlanguage,lat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latin (language),,,,,,,,,,,,,,
