ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
5dbbc273-fc1f-555f-987a-2c79a2cd8a9f,tg:lhbr:245807,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:245807,https://data.letterenhuis.be/ark:/24970/5dbbc273-fc1f-555f-987a-2c79a2cd8a9f,Brieven,,,,,
5dbbc273-fc1f-555f-987a-2c79a2cd8a9f,tg:lhbr:245807,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1946.0,2061,In Copyright
5dbbc273-fc1f-555f-987a-2c79a2cd8a9f,tg:lhbr:245807,e73_CreationActors,,,au::17091,,,,lhbr,cb7fbbca-e4fa-54c9-a0da-5ba7e6aa3e1c,bs,,au::17091:1,au::17091g:1,,,,,lhbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/1828737"",""au::17091"",""au::17091:1"",""ark:/83110/x0/cb7fbbca-e4fa-54c9-a0da-5ba7e6aa3e1c"",""Paul de Smaele""],""name"":""Paul de Smaele"",""ark"":""ark:/83110/x0/cb7fbbca-e4fa-54c9-a0da-5ba7e6aa3e1c"",""uri"":""/agents/people/1828737"",""id"":""au::17091:1"",""isCapacity"":false}",ark:/83110/x0/cb7fbbca-e4fa-54c9-a0da-5ba7e6aa3e1c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dbbc273-fc1f-555f-987a-2c79a2cd8a9f,tg:lhbr:245807,e73_CreationActors,,,au::6306,,,,lhbr,e8db4670-cad9-59d6-a330-5a5e4c88b746,co,,au::6306:1,au::6306g:1,,,,,lhbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/people/674742"",""au::6306"",""au::6306:1"",""ark:/83110/x0/e8db4670-cad9-59d6-a330-5a5e4c88b746"",""Willem Elsschot""],""name"":""Willem Elsschot"",""ark"":""ark:/83110/x0/e8db4670-cad9-59d6-a330-5a5e4c88b746"",""uri"":""/agents/people/674742"",""id"":""au::6306:1"",""isCapacity"":false}",ark:/83110/x0/e8db4670-cad9-59d6-a330-5a5e4c88b746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dbbc273-fc1f-555f-987a-2c79a2cd8a9f,tg:lhbr:245807,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19460607,,,,,,,,,,,,,,,,,,,,,,,,,,
5dbbc273-fc1f-555f-987a-2c79a2cd8a9f,tg:lhbr:245807,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1946-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dbbc273-fc1f-555f-987a-2c79a2cd8a9f,tg:lhbr:245807,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,
5dbbc273-fc1f-555f-987a-2c79a2cd8a9f,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000234746,referentienummer,False,,,,,,,,,,,,
5dbbc273-fc1f-555f-987a-2c79a2cd8a9f,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:245807,brocade id,False,,,,,,,,,,,,
5dbbc273-fc1f-555f-987a-2c79a2cd8a9f,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:245807/N,brocade url,False,,,,,,,,,,,,
5dbbc273-fc1f-555f-987a-2c79a2cd8a9f,tg:lhbr:245807,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""621401c1-7745-59b9-a511-fb3303e92156"", ""ontologyProperty"": """", ""resourceXresourceId"": ""6e5a9e33-3aad-4f84-b578-fa3c14c013b2"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
