ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
d83960c6-02eb-53b5-9e06-444abc468a32,tg:lhbr:204432,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:204432,https://data.letterenhuis.be/ark:/24970/d83960c6-02eb-53b5-9e06-444abc468a32,Brieven,,,,,
d83960c6-02eb-53b5-9e06-444abc468a32,tg:lhbr:204432,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1955.0,2070,In Copyright
d83960c6-02eb-53b5-9e06-444abc468a32,tg:lhbr:204432,e73_CreationActors,,,au::15791,,,,lhbr,ff59bafa-ae4d-50a6-b18d-e9aefe7d86c9,bs,,au::15791:1,au::15791g:1,,,,,lhbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/corporate_entities/1689637"",""au::15791"",""au::15791:1"",""ark:/83110/x0/ff59bafa-ae4d-50a6-b18d-e9aefe7d86c9"",""Rockoxhuis""],""name"":""Rockoxhuis"",""ark"":""ark:/83110/x0/ff59bafa-ae4d-50a6-b18d-e9aefe7d86c9"",""uri"":""/agents/corporate_entities/1689637"",""id"":""au::15791:1"",""isCapacity"":false}",ark:/83110/x0/ff59bafa-ae4d-50a6-b18d-e9aefe7d86c9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d83960c6-02eb-53b5-9e06-444abc468a32,tg:lhbr:204432,e73_CreationActors,,,au::17799,,,,lhbr,247e719e-494a-57ff-9807-6ae2f352503b,co,,au::17799:1,au::17799g:1,,,,,lhbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/people/1904493"",""au::17799"",""au::17799:1"",""ark:/83110/x0/247e719e-494a-57ff-9807-6ae2f352503b"",""Stijn Streuvels""],""name"":""Stijn Streuvels"",""ark"":""ark:/83110/x0/247e719e-494a-57ff-9807-6ae2f352503b"",""uri"":""/agents/people/1904493"",""id"":""au::17799:1"",""isCapacity"":false}",ark:/83110/x0/247e719e-494a-57ff-9807-6ae2f352503b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d83960c6-02eb-53b5-9e06-444abc468a32,tg:lhbr:204432,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19550500,,,,,,,,,,,,,,,,,,,,,,,,,,
d83960c6-02eb-53b5-9e06-444abc468a32,tg:lhbr:204432,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1955-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d83960c6-02eb-53b5-9e06-444abc468a32,tg:lhbr:204432,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,
d83960c6-02eb-53b5-9e06-444abc468a32,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000193970,referentienummer,False,,,,,,,,,,,,
d83960c6-02eb-53b5-9e06-444abc468a32,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:204432,brocade id,False,,,,,,,,,,,,
d83960c6-02eb-53b5-9e06-444abc468a32,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:204432/N,brocade url,False,,,,,,,,,,,,
d83960c6-02eb-53b5-9e06-444abc468a32,tg:lhbr:204432,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""9f75b16d-7781-5114-b483-c51da4ac0898"", ""ontologyProperty"": """", ""resourceXresourceId"": ""6695d521-50b7-4969-80f7-a8c1aca7ab54"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
