ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
40624f1c-e185-583a-a9c8-4a73000bde01,tg:lhbr:223052,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:223052,https://data.letterenhuis.be/ark:/24970/40624f1c-e185-583a-a9c8-4a73000bde01,Brieven,,,,,
40624f1c-e185-583a-a9c8-4a73000bde01,tg:lhbr:223052,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940.0,2055,In Copyright
40624f1c-e185-583a-a9c8-4a73000bde01,tg:lhbr:223052,e73_CreationActors,,,au::56128,,,,lhbr,97a88604-b63c-59b9-8081-e8660db79ee6,bs,,au::56128:1,au::56128g:1,,,,,lhbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/6005696"",""au::56128"",""au::56128:1"",""ark:/83110/x0/97a88604-b63c-59b9-8081-e8660db79ee6"",""Georges Lebrun""],""name"":""Georges Lebrun"",""ark"":""ark:/83110/x0/97a88604-b63c-59b9-8081-e8660db79ee6"",""uri"":""/agents/people/6005696"",""id"":""au::56128:1"",""isCapacity"":false}",ark:/83110/x0/97a88604-b63c-59b9-8081-e8660db79ee6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40624f1c-e185-583a-a9c8-4a73000bde01,tg:lhbr:223052,e73_CreationActors,,,au::16864,,,,lhbr,ec088980-6865-51bc-953c-71bb468e9977,co,,au::16864:1,au::16864g:1,,,,,lhbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/people/1804448"",""au::16864"",""au::16864:1"",""ark:/83110/x0/ec088980-6865-51bc-953c-71bb468e9977"",""Michel Seuphor""],""name"":""Michel Seuphor"",""ark"":""ark:/83110/x0/ec088980-6865-51bc-953c-71bb468e9977"",""uri"":""/agents/people/1804448"",""id"":""au::16864:1"",""isCapacity"":false}",ark:/83110/x0/ec088980-6865-51bc-953c-71bb468e9977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40624f1c-e185-583a-a9c8-4a73000bde01,tg:lhbr:223052,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19400818,,,,,,,,,,,,,,,,,,,,,,,,,,
40624f1c-e185-583a-a9c8-4a73000bde01,tg:lhbr:223052,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1940-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40624f1c-e185-583a-a9c8-4a73000bde01,tg:lhbr:223052,e73_Languages,1,kenmerken.lhlanguagehs,fre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,French (language),,,,,,,,,,,,,,,
40624f1c-e185-583a-a9c8-4a73000bde01,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000212316,referentienummer,False,,,,,,,,,,,,
40624f1c-e185-583a-a9c8-4a73000bde01,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:223052,brocade id,False,,,,,,,,,,,,
40624f1c-e185-583a-a9c8-4a73000bde01,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:223052/N,brocade url,False,,,,,,,,,,,,
40624f1c-e185-583a-a9c8-4a73000bde01,tg:lhbr:223052,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""83a2ea72-0824-5537-bd07-78d4ab606bb8"", ""ontologyProperty"": """", ""resourceXresourceId"": ""09574da5-eac7-4bc3-b1eb-50c2d2fb6f5e"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
