ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
93cb26ef-8a50-5cdc-89c4-b94829b6087f,tg:lhbr:153322,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:153322,https://data.letterenhuis.be/ark:/24970/93cb26ef-8a50-5cdc-89c4-b94829b6087f,Brieven,,,,,
93cb26ef-8a50-5cdc-89c4-b94829b6087f,tg:lhbr:153322,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1931.0,2046,In Copyright
93cb26ef-8a50-5cdc-89c4-b94829b6087f,tg:lhbr:153322,e73_CreationActors,,,au::42633:::VZV.1,,,,lhbr,e8b20d7a-dd77-5379-89e8-3f3641714dea,bs,,au::42633:1::VZV.1,au::42633g:1::VZV.1,,,,,lhbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/4561731"",""au::42633"",""au::42633:1"",""ark:/83110/x0/4d956db2-ff7d-525c-8bb2-f319522d2871"",""F. Verstrynge [Voorzitter van Verbond van het Vlaamsch Personeel der Openbare Besturen]""],""name"":""F. Verstrynge [Voorzitter van Verbond van het Vlaamsch Personeel der Openbare Besturen]"",""ark"":""ark:/83110/x0/4d956db2-ff7d-525c-8bb2-f319522d2871"",""uri"":""/agents/people/4561731"",""id"":""au::42633:1"",""capacity"":""Voorzitter van Verbond van het Vlaamsch Personeel der Openbare Besturen"",""isCapacity"":true,""relatorRaw"":""au::42633:1::VZV.1"",""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/4d956db2-ff7d-525c-8bb2-f319522d2871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93cb26ef-8a50-5cdc-89c4-b94829b6087f,tg:lhbr:153322,e73_CreationActors,,,au::7733,,,,lhbr,c675a24e-457d-5bc9-9c72-9640bb831c37,co,,au::7733:1,au::7733g:1,,,,,lhbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/people/827431"",""au::7733"",""au::7733:1"",""ark:/83110/x0/c675a24e-457d-5bc9-9c72-9640bb831c37"",""Jozef Goossenaerts""],""name"":""Jozef Goossenaerts"",""ark"":""ark:/83110/x0/c675a24e-457d-5bc9-9c72-9640bb831c37"",""uri"":""/agents/people/827431"",""id"":""au::7733:1"",""isCapacity"":false}",ark:/83110/x0/c675a24e-457d-5bc9-9c72-9640bb831c37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93cb26ef-8a50-5cdc-89c4-b94829b6087f,tg:lhbr:153322,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19311010,,,,,,,,,,,,,,,,,,,,,,,,,,
93cb26ef-8a50-5cdc-89c4-b94829b6087f,tg:lhbr:153322,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1931-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93cb26ef-8a50-5cdc-89c4-b94829b6087f,tg:lhbr:153322,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,
93cb26ef-8a50-5cdc-89c4-b94829b6087f,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000144640,referentienummer,False,,,,,,,,,,,,
93cb26ef-8a50-5cdc-89c4-b94829b6087f,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:153322,brocade id,False,,,,,,,,,,,,
93cb26ef-8a50-5cdc-89c4-b94829b6087f,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:153322/N,brocade url,False,,,,,,,,,,,,
93cb26ef-8a50-5cdc-89c4-b94829b6087f,tg:lhbr:153322,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""60fb31d2-d115-55e4-b872-87c6bbe598e1"", ""ontologyProperty"": """", ""resourceXresourceId"": ""4b1c1c15-fc1c-4be7-92e6-95ffa32228d1"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
