ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
25654266-b9e0-547a-921d-036ed4bc8020,tg:lhbr:139818,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:139818,https://data.letterenhuis.be/ark:/24970/25654266-b9e0-547a-921d-036ed4bc8020,Brieven,,,,,
25654266-b9e0-547a-921d-036ed4bc8020,tg:lhbr:139818,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1977.0,2092,In Copyright
25654266-b9e0-547a-921d-036ed4bc8020,tg:lhbr:139818,e73_CreationActors,,,au::17950:::RDV.1,,,,lhbr,6aca7c83-ed6c-52a4-8952-34fecbfa2d28,bs,,au::17950:1::RDV.1,au::17950g:1::RDV.1,,,,,lhbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/1920650"",""au::17950"",""au::17950:1"",""ark:/83110/x0/6356e076-fc66-5c53-a183-bccec7523567"",""Gilbert de Swert [Redacteur van De Nieuwe Maand]""],""name"":""Gilbert de Swert [Redacteur van De Nieuwe Maand]"",""ark"":""ark:/83110/x0/6356e076-fc66-5c53-a183-bccec7523567"",""uri"":""/agents/people/1920650"",""id"":""au::17950:1"",""capacity"":""Redacteur van De Nieuwe Maand"",""isCapacity"":true,""relatorRaw"":""au::17950:1::RDV.1"",""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/6356e076-fc66-5c53-a183-bccec7523567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25654266-b9e0-547a-921d-036ed4bc8020,tg:lhbr:139818,e73_CreationActors,,,au::9296:::HRV.1,,,,lhbr,f931fbd7-54ba-548e-ba67-35f436d31e19,co,,au::9296:1::HRV.1,au::9296g:1::HRV.1,,,,,lhbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/people/994672"",""au::9296"",""au::9296:1"",""ark:/83110/x0/2a4f759f-4b02-5c54-9a30-0f5afc60741b"",""Luc Huyse [Hoofdredacteur van De Nieuwe Maand]""],""name"":""Luc Huyse [Hoofdredacteur van De Nieuwe Maand]"",""ark"":""ark:/83110/x0/2a4f759f-4b02-5c54-9a30-0f5afc60741b"",""uri"":""/agents/people/994672"",""id"":""au::9296:1"",""capacity"":""Hoofdredacteur van De Nieuwe Maand"",""isCapacity"":true,""relatorRaw"":""au::9296:1::HRV.1"",""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/2a4f759f-4b02-5c54-9a30-0f5afc60741b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25654266-b9e0-547a-921d-036ed4bc8020,tg:lhbr:139818,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19770627,,,,,,,,,,,,,,,,,,,,,,,,,,
25654266-b9e0-547a-921d-036ed4bc8020,tg:lhbr:139818,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1977-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25654266-b9e0-547a-921d-036ed4bc8020,tg:lhbr:139818,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,
25654266-b9e0-547a-921d-036ed4bc8020,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000131704,referentienummer,False,,,,,,,,,,,,
25654266-b9e0-547a-921d-036ed4bc8020,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:139818,brocade id,False,,,,,,,,,,,,
25654266-b9e0-547a-921d-036ed4bc8020,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:139818/N,brocade url,False,,,,,,,,,,,,
25654266-b9e0-547a-921d-036ed4bc8020,tg:lhbr:139818,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""7d46ab92-37de-5936-9876-96e46d9ae7bd"", ""ontologyProperty"": """", ""resourceXresourceId"": ""1226b979-ab45-45b2-bb0c-6824490a0018"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
