ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
90ee67f0-8d97-5d01-a31f-fba5dcb05922,tg:lhbr:98431,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:98431,https://data.letterenhuis.be/ark:/24970/90ee67f0-8d97-5d01-a31f-fba5dcb05922,Brieven,,,,,
90ee67f0-8d97-5d01-a31f-fba5dcb05922,tg:lhbr:98431,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1911.0,2026,In Copyright
90ee67f0-8d97-5d01-a31f-fba5dcb05922,tg:lhbr:98431,e73_CreationActors,,,au::36819:::SEV.1,,,,lhbr,9a7e5270-2210-5fbc-848d-2abbe384b9b8,bs,,au::36819:1::SEV.1,au::36819g:1::SEV.1,,,,,lhbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/3939633"",""au::36819"",""au::36819:1"",""ark:/83110/x0/e9611f76-ed7e-5d99-98eb-cf736d684398"",""Alexandre Mercereau [Secretaris van Société du Salon d'Automne [Parijs (F)]]""],""name"":""Alexandre Mercereau [Secretaris van Société du Salon d'Automne [Parijs (F)]]"",""ark"":""ark:/83110/x0/e9611f76-ed7e-5d99-98eb-cf736d684398"",""uri"":""/agents/people/3939633"",""id"":""au::36819:1"",""capacity"":""Secretaris van Société du Salon d'Automne [Parijs (F)]"",""isCapacity"":true,""relatorRaw"":""au::36819:1::SEV.1"",""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/e9611f76-ed7e-5d99-98eb-cf736d684398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90ee67f0-8d97-5d01-a31f-fba5dcb05922,tg:lhbr:98431,e73_CreationActors,,,au::6197,,,,lhbr,32871d34-8676-5335-a486-a361b9025683,co,,au::6197:1,au::6197g:1,,,,,lhbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/people/663079"",""au::6197"",""au::6197:1"",""ark:/83110/x0/32871d34-8676-5335-a486-a361b9025683"",""Georges Eekhoud""],""name"":""Georges Eekhoud"",""ark"":""ark:/83110/x0/32871d34-8676-5335-a486-a361b9025683"",""uri"":""/agents/people/663079"",""id"":""au::6197:1"",""isCapacity"":false}",ark:/83110/x0/32871d34-8676-5335-a486-a361b9025683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90ee67f0-8d97-5d01-a31f-fba5dcb05922,tg:lhbr:98431,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19110825,,,,,,,,,,,,,,,,,,,,,,,,,,
90ee67f0-8d97-5d01-a31f-fba5dcb05922,tg:lhbr:98431,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1911-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90ee67f0-8d97-5d01-a31f-fba5dcb05922,tg:lhbr:98431,e73_Languages,1,kenmerken.lhlanguagehs,fre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,French (language),,,,,,,,,,,,,,,
90ee67f0-8d97-5d01-a31f-fba5dcb05922,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000092395,referentienummer,False,,,,,,,,,,,,
90ee67f0-8d97-5d01-a31f-fba5dcb05922,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:98431,brocade id,False,,,,,,,,,,,,
90ee67f0-8d97-5d01-a31f-fba5dcb05922,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:98431/N,brocade url,False,,,,,,,,,,,,
90ee67f0-8d97-5d01-a31f-fba5dcb05922,tg:lhbr:98431,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""63013b71-255f-5acd-8615-22180d2b1308"", ""ontologyProperty"": """", ""resourceXresourceId"": ""37e15c6b-c3ac-4c3a-8036-0e796912f8da"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
