ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
0b439a05-0f9a-58ae-bf38-18f3a8046ef5,tg:lhbr:192278,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:192278,https://data.letterenhuis.be/ark:/24970/0b439a05-0f9a-58ae-bf38-18f3a8046ef5,Brieven,,,,,
0b439a05-0f9a-58ae-bf38-18f3a8046ef5,tg:lhbr:192278,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1964.0,2079,In Copyright
0b439a05-0f9a-58ae-bf38-18f3a8046ef5,tg:lhbr:192278,e73_CreationActors,,,au::11478,,,,lhbr,54e172bd-083e-5054-b556-6d6a97beabb5,bs,,au::11478:1,au::11478g:1,,,,,lhbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/1228146"",""au::11478"",""au::11478:1"",""ark:/83110/x0/54e172bd-083e-5054-b556-6d6a97beabb5"",""Frans Leytens""],""name"":""Frans Leytens"",""ark"":""ark:/83110/x0/54e172bd-083e-5054-b556-6d6a97beabb5"",""uri"":""/agents/people/1228146"",""id"":""au::11478:1"",""isCapacity"":false}",ark:/83110/x0/54e172bd-083e-5054-b556-6d6a97beabb5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0b439a05-0f9a-58ae-bf38-18f3a8046ef5,tg:lhbr:192278,e73_CreationActors,,,au::7555,,,,lhbr,c526cbe4-717b-5c2c-9bfe-491f98d553c0,co,,au::7555:1,au::7555g:1,,,,,lhbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/people/808385"",""au::7555"",""au::7555:1"",""ark:/83110/x0/c526cbe4-717b-5c2c-9bfe-491f98d553c0"",""Maurice Gilliams""],""name"":""Maurice Gilliams"",""ark"":""ark:/83110/x0/c526cbe4-717b-5c2c-9bfe-491f98d553c0"",""uri"":""/agents/people/808385"",""id"":""au::7555:1"",""isCapacity"":false}",ark:/83110/x0/c526cbe4-717b-5c2c-9bfe-491f98d553c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0b439a05-0f9a-58ae-bf38-18f3a8046ef5,tg:lhbr:192278,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19641231,,,,,,,,,,,,,,,,,,,,,,,,,,
0b439a05-0f9a-58ae-bf38-18f3a8046ef5,tg:lhbr:192278,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1964-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0b439a05-0f9a-58ae-bf38-18f3a8046ef5,tg:lhbr:192278,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,
0b439a05-0f9a-58ae-bf38-18f3a8046ef5,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000181935,referentienummer,False,,,,,,,,,,,,
0b439a05-0f9a-58ae-bf38-18f3a8046ef5,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:192278,brocade id,False,,,,,,,,,,,,
0b439a05-0f9a-58ae-bf38-18f3a8046ef5,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:192278/N,brocade url,False,,,,,,,,,,,,
0b439a05-0f9a-58ae-bf38-18f3a8046ef5,tg:lhbr:192278,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""1eb417c9-b7f5-5358-bda0-72910674071c"", ""ontologyProperty"": """", ""resourceXresourceId"": ""da1c3002-eb27-4e27-9aa7-8fb33e380f43"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
