ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
57302ce7-431d-588f-8636-84b35676e53c,tg:lhbr:221576,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:221576,https://data.letterenhuis.be/ark:/24970/57302ce7-431d-588f-8636-84b35676e53c,Brieven,,,,,
57302ce7-431d-588f-8636-84b35676e53c,tg:lhbr:221576,e73_AnnotationsImmaterial,1,note.lhalg,"<p>Documentatie bijgevoegd.</p>
","<p>Documentatie bijgevoegd.</p>
",Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57302ce7-431d-588f-8636-84b35676e53c,tg:lhbr:221576,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1944.0,2059,In Copyright
57302ce7-431d-588f-8636-84b35676e53c,tg:lhbr:221576,e73_CreationActors,,,au::55853,,,,lhbr,559fef38-b754-5fe7-a841-958cd86fe7ec,bs,,au::55853:1,au::55853g:1,,,,,lhbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/5976271"",""au::55853"",""au::55853:1"",""ark:/83110/x0/559fef38-b754-5fe7-a841-958cd86fe7ec"",""Régis Jolivet""],""name"":""Régis Jolivet"",""ark"":""ark:/83110/x0/559fef38-b754-5fe7-a841-958cd86fe7ec"",""uri"":""/agents/people/5976271"",""id"":""au::55853:1"",""isCapacity"":false}",ark:/83110/x0/559fef38-b754-5fe7-a841-958cd86fe7ec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57302ce7-431d-588f-8636-84b35676e53c,tg:lhbr:221576,e73_CreationActors,,,au::16864,,,,lhbr,ec088980-6865-51bc-953c-71bb468e9977,co,,au::16864:1,au::16864g:1,,,,,lhbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/people/1804448"",""au::16864"",""au::16864:1"",""ark:/83110/x0/ec088980-6865-51bc-953c-71bb468e9977"",""Michel Seuphor""],""name"":""Michel Seuphor"",""ark"":""ark:/83110/x0/ec088980-6865-51bc-953c-71bb468e9977"",""uri"":""/agents/people/1804448"",""id"":""au::16864:1"",""isCapacity"":false}",ark:/83110/x0/ec088980-6865-51bc-953c-71bb468e9977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57302ce7-431d-588f-8636-84b35676e53c,tg:lhbr:221576,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19441214,,,,,,,,,,,,,,,,,,,,,,,,,,
57302ce7-431d-588f-8636-84b35676e53c,tg:lhbr:221576,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1944-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57302ce7-431d-588f-8636-84b35676e53c,tg:lhbr:221576,e73_Languages,1,kenmerken.lhlanguagehs,fre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,French (language),,,,,,,,,,,,,,,
57302ce7-431d-588f-8636-84b35676e53c,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000210870,referentienummer,False,,,,,,,,,,,,
57302ce7-431d-588f-8636-84b35676e53c,,e73_LegacyInformation,1,if.rawcontent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SA935 SA1086 SA1118,commentaar gebruiker,False,,,,,,,,,,,,
57302ce7-431d-588f-8636-84b35676e53c,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:221576,brocade id,False,,,,,,,,,,,,
57302ce7-431d-588f-8636-84b35676e53c,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:221576/N,brocade url,False,,,,,,,,,,,,
57302ce7-431d-588f-8636-84b35676e53c,tg:lhbr:221576,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""e8e4c6d4-07fa-5829-a805-0180edec33ec"", ""ontologyProperty"": """", ""resourceXresourceId"": ""fc11b22d-d07c-4a5b-ae3f-b0d78fe332ae"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
