ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
897ab632-6f64-5b41-b2ea-22e2ebe5834c,tg:lhbr:100525,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:100525,https://data.letterenhuis.be/ark:/24970/897ab632-6f64-5b41-b2ea-22e2ebe5834c,Brieven,,,,,
897ab632-6f64-5b41-b2ea-22e2ebe5834c,tg:lhbr:100525,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1916.0,2031,In Copyright
897ab632-6f64-5b41-b2ea-22e2ebe5834c,tg:lhbr:100525,e73_CreationActors,,,au::12947,,,,lhbr,b962cafb-a463-5a27-8c3f-c3c8e74933b2,bs,,au::12947:1,au::12947g:1,,,,,lhbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/1385329"",""au::12947"",""au::12947:1"",""ark:/83110/x0/b962cafb-a463-5a27-8c3f-c3c8e74933b2"",""Richard Minne""],""name"":""Richard Minne"",""ark"":""ark:/83110/x0/b962cafb-a463-5a27-8c3f-c3c8e74933b2"",""uri"":""/agents/people/1385329"",""id"":""au::12947:1"",""isCapacity"":false}",ark:/83110/x0/b962cafb-a463-5a27-8c3f-c3c8e74933b2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
897ab632-6f64-5b41-b2ea-22e2ebe5834c,tg:lhbr:100525,e73_CreationActors,,,au::15840,,,,lhbr,7c4447df-b8a4-58c0-a44d-a438c19593c2,co,,au::15840:1,au::15840g:1,,,,,lhbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/people/1694880"",""au::15840"",""au::15840:1"",""ark:/83110/x0/7c4447df-b8a4-58c0-a44d-a438c19593c2"",""Oscar Roelandts""],""name"":""Oscar Roelandts"",""ark"":""ark:/83110/x0/7c4447df-b8a4-58c0-a44d-a438c19593c2"",""uri"":""/agents/people/1694880"",""id"":""au::15840:1"",""isCapacity"":false}",ark:/83110/x0/7c4447df-b8a4-58c0-a44d-a438c19593c2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
897ab632-6f64-5b41-b2ea-22e2ebe5834c,tg:lhbr:100525,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19161226,,,,,,,,,,,,,,,,,,,,,,,,,,
897ab632-6f64-5b41-b2ea-22e2ebe5834c,tg:lhbr:100525,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1916-12-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
897ab632-6f64-5b41-b2ea-22e2ebe5834c,tg:lhbr:100525,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,
897ab632-6f64-5b41-b2ea-22e2ebe5834c,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000094400,referentienummer,False,,,,,,,,,,,,
897ab632-6f64-5b41-b2ea-22e2ebe5834c,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:100525,brocade id,False,,,,,,,,,,,,
897ab632-6f64-5b41-b2ea-22e2ebe5834c,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:100525/N,brocade url,False,,,,,,,,,,,,
897ab632-6f64-5b41-b2ea-22e2ebe5834c,tg:lhbr:100525,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""d9fba618-50da-58f6-aad0-92c0c7f54579"", ""ontologyProperty"": """", ""resourceXresourceId"": ""c959dfa6-c085-4487-a827-b898f13aa3b7"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
