ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
66dafb16-077e-5ed7-92b3-1b44de315e24,tg:lhbr:223458,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:223458,https://data.letterenhuis.be/ark:/24970/66dafb16-077e-5ed7-92b3-1b44de315e24,Brieven,,,,,
66dafb16-077e-5ed7-92b3-1b44de315e24,tg:lhbr:223458,e73_AnnotationsImmaterial,1,note.lhalg,"<p>Documentatie bijgevoegd.</p>
","<p>Documentatie bijgevoegd.</p>
",Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66dafb16-077e-5ed7-92b3-1b44de315e24,tg:lhbr:223458,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1966.0,2081,In Copyright
66dafb16-077e-5ed7-92b3-1b44de315e24,tg:lhbr:223458,e73_CreationActors,,,au::56211,,,,lhbr,e4a53077-fd5a-512d-9642-c6e95fc7272c,bs,,au::56211:1,au::56211g:1,,,,,lhbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/corporate_entities/6014577"",""au::56211"",""au::56211:1"",""ark:/83110/x0/e4a53077-fd5a-512d-9642-c6e95fc7272c"",""Maison de la Culture, Le Havre""],""name"":""Maison de la Culture, Le Havre"",""ark"":""ark:/83110/x0/e4a53077-fd5a-512d-9642-c6e95fc7272c"",""uri"":""/agents/corporate_entities/6014577"",""id"":""au::56211:1"",""isCapacity"":false}",ark:/83110/x0/e4a53077-fd5a-512d-9642-c6e95fc7272c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66dafb16-077e-5ed7-92b3-1b44de315e24,tg:lhbr:223458,e73_CreationActors,,,au::16864,,,,lhbr,ec088980-6865-51bc-953c-71bb468e9977,co,,au::16864:1,au::16864g:1,,,,,lhbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/people/1804448"",""au::16864"",""au::16864:1"",""ark:/83110/x0/ec088980-6865-51bc-953c-71bb468e9977"",""Michel Seuphor""],""name"":""Michel Seuphor"",""ark"":""ark:/83110/x0/ec088980-6865-51bc-953c-71bb468e9977"",""uri"":""/agents/people/1804448"",""id"":""au::16864:1"",""isCapacity"":false}",ark:/83110/x0/ec088980-6865-51bc-953c-71bb468e9977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66dafb16-077e-5ed7-92b3-1b44de315e24,tg:lhbr:223458,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19660727,,,,,,,,,,,,,,,,,,,,,,,,,,
66dafb16-077e-5ed7-92b3-1b44de315e24,tg:lhbr:223458,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1966-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66dafb16-077e-5ed7-92b3-1b44de315e24,tg:lhbr:223458,e73_Languages,1,kenmerken.lhlanguagehs,fre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,French (language),,,,,,,,,,,,,,,
66dafb16-077e-5ed7-92b3-1b44de315e24,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000212721,referentienummer,False,,,,,,,,,,,,
66dafb16-077e-5ed7-92b3-1b44de315e24,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:223458,brocade id,False,,,,,,,,,,,,
66dafb16-077e-5ed7-92b3-1b44de315e24,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:223458/N,brocade url,False,,,,,,,,,,,,
66dafb16-077e-5ed7-92b3-1b44de315e24,tg:lhbr:223458,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""95dff33f-f454-5a8c-94b6-713a5c80ab0d"", ""ontologyProperty"": """", ""resourceXresourceId"": ""0e58c3e7-75fe-4b97-8609-72ac67e440ff"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
