ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
dc224de0-34f7-5e75-bed4-4d81ad00fce9,tg:lhbr:27847,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:27847,https://data.letterenhuis.be/ark:/24970/dc224de0-34f7-5e75-bed4-4d81ad00fce9,Brieven,,,,,
dc224de0-34f7-5e75-bed4-4d81ad00fce9,tg:lhbr:27847,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1916.0,2031,In Copyright
dc224de0-34f7-5e75-bed4-4d81ad00fce9,tg:lhbr:27847,e73_CreationActors,,,au::3664,,,,lhbr,cb527b63-a6a8-56a5-bce5-1864758afb64,bs,,au::3664:1,au::3664g:1,,,,,lhbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/392048"",""au::3664"",""au::3664:1"",""ark:/83110/x0/cb527b63-a6a8-56a5-bce5-1864758afb64"",""Frans van Cauwelaert""],""name"":""Frans van Cauwelaert"",""ark"":""ark:/83110/x0/cb527b63-a6a8-56a5-bce5-1864758afb64"",""uri"":""/agents/people/392048"",""id"":""au::3664:1"",""isCapacity"":false}",ark:/83110/x0/cb527b63-a6a8-56a5-bce5-1864758afb64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dc224de0-34f7-5e75-bed4-4d81ad00fce9,tg:lhbr:27847,e73_CreationActors,,,au::26542,,,,lhbr,6dbb93a6-5d11-5251-84e9-62ead306cbe3,co,,au::26542:1,au::26542g:1,,,,,lhbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/people/2839994"",""au::26542"",""au::26542:1"",""ark:/83110/x0/6dbb93a6-5d11-5251-84e9-62ead306cbe3"",""A. Kellenaers""],""name"":""A. Kellenaers"",""ark"":""ark:/83110/x0/6dbb93a6-5d11-5251-84e9-62ead306cbe3"",""uri"":""/agents/people/2839994"",""id"":""au::26542:1"",""isCapacity"":false}",ark:/83110/x0/6dbb93a6-5d11-5251-84e9-62ead306cbe3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dc224de0-34f7-5e75-bed4-4d81ad00fce9,tg:lhbr:27847,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19160620,,,,,,,,,,,,,,,,,,,,,,,,,,
dc224de0-34f7-5e75-bed4-4d81ad00fce9,tg:lhbr:27847,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1916-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dc224de0-34f7-5e75-bed4-4d81ad00fce9,tg:lhbr:27847,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,
dc224de0-34f7-5e75-bed4-4d81ad00fce9,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000026790,referentienummer,False,,,,,,,,,,,,
dc224de0-34f7-5e75-bed4-4d81ad00fce9,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:27847,brocade id,False,,,,,,,,,,,,
dc224de0-34f7-5e75-bed4-4d81ad00fce9,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:27847/N,brocade url,False,,,,,,,,,,,,
dc224de0-34f7-5e75-bed4-4d81ad00fce9,tg:lhbr:27847,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""2b7c9b08-43fe-59d5-8692-22ed4336a721"", ""ontologyProperty"": """", ""resourceXresourceId"": ""f8c3d344-a68a-4f6e-a96e-2491ebb6d177"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
