ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
870e80c5-def5-55a8-b283-b2f2c48d602c,tg:lhbr:226757,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:226757,https://data.letterenhuis.be/ark:/24970/870e80c5-def5-55a8-b283-b2f2c48d602c,Brieven,,,,,
870e80c5-def5-55a8-b283-b2f2c48d602c,tg:lhbr:226757,e73_AnnotationsImmaterial,1,note.lhalg,"<p>Documentatie bijgevoegd.</p>
","<p>Documentatie bijgevoegd.</p>
",Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870e80c5-def5-55a8-b283-b2f2c48d602c,tg:lhbr:226757,e73_CreationActors,,,au::56533,,,,lhbr,ee26a798-01bc-5152-aac9-4b701d371b4c,bs,,au::56533:1,au::56533g:1,,,,,lhbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/6049031"",""au::56533"",""au::56533:1"",""ark:/83110/x0/ee26a798-01bc-5152-aac9-4b701d371b4c"",""Francis Picabia""],""name"":""Francis Picabia"",""ark"":""ark:/83110/x0/ee26a798-01bc-5152-aac9-4b701d371b4c"",""uri"":""/agents/people/6049031"",""id"":""au::56533:1"",""isCapacity"":false}",ark:/83110/x0/ee26a798-01bc-5152-aac9-4b701d371b4c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870e80c5-def5-55a8-b283-b2f2c48d602c,tg:lhbr:226757,e73_CreationActors,,,au::16864,,,,lhbr,ec088980-6865-51bc-953c-71bb468e9977,co,,au::16864:1,au::16864g:1,,,,,lhbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/people/1804448"",""au::16864"",""au::16864:1"",""ark:/83110/x0/ec088980-6865-51bc-953c-71bb468e9977"",""Michel Seuphor""],""name"":""Michel Seuphor"",""ark"":""ark:/83110/x0/ec088980-6865-51bc-953c-71bb468e9977"",""uri"":""/agents/people/1804448"",""id"":""au::16864:1"",""isCapacity"":false}",ark:/83110/x0/ec088980-6865-51bc-953c-71bb468e9977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870e80c5-def5-55a8-b283-b2f2c48d602c,tg:lhbr:226757,e73_CreationTimeSpans,,default_copyright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Copyright Undetermined
870e80c5-def5-55a8-b283-b2f2c48d602c,tg:lhbr:226757,e73_Languages,1,kenmerken.lhlanguagehs,fre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,French (language),,,,,,,,,,,,,,,
870e80c5-def5-55a8-b283-b2f2c48d602c,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000216005,referentienummer,False,,,,,,,,,,,,
870e80c5-def5-55a8-b283-b2f2c48d602c,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:226757,brocade id,False,,,,,,,,,,,,
870e80c5-def5-55a8-b283-b2f2c48d602c,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:226757/N,brocade url,False,,,,,,,,,,,,
870e80c5-def5-55a8-b283-b2f2c48d602c,tg:lhbr:226757,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""519dff22-682b-5995-a699-513e39d97a70"", ""ontologyProperty"": """", ""resourceXresourceId"": ""3e850717-5a07-41bc-b8f5-b6423fade294"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
