ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
a79e9f50-10ff-53d0-8baf-0d3c3bf3fc95,tg:lhbr:151917,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:151917,https://data.letterenhuis.be/ark:/24970/a79e9f50-10ff-53d0-8baf-0d3c3bf3fc95,Brieven,,,,,
a79e9f50-10ff-53d0-8baf-0d3c3bf3fc95,tg:lhbr:151917,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1895.0,2010,No Known Copyright
a79e9f50-10ff-53d0-8baf-0d3c3bf3fc95,tg:lhbr:151917,e73_CreationActors,,,au::19734,,,,lhbr,8439dfe3-863b-51ff-bbfb-20e5c78b016e,bs,,au::19734:1,au::19734g:1,,,,,lhbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/2111538"",""au::19734"",""au::19734:1"",""ark:/83110/x0/8439dfe3-863b-51ff-bbfb-20e5c78b016e"",""August Vermeylen""],""name"":""August Vermeylen"",""ark"":""ark:/83110/x0/8439dfe3-863b-51ff-bbfb-20e5c78b016e"",""uri"":""/agents/people/2111538"",""id"":""au::19734:1"",""isCapacity"":false}",ark:/83110/x0/8439dfe3-863b-51ff-bbfb-20e5c78b016e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a79e9f50-10ff-53d0-8baf-0d3c3bf3fc95,tg:lhbr:151917,e73_CreationActors,,,au::42514,,,,lhbr,75f474ba-4975-584f-a996-c503819bc31f,co,,au::42514:1,au::42514g:1,,,,,lhbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/people/4548998"",""au::42514"",""au::42514:1"",""ark:/83110/x0/75f474ba-4975-584f-a996-c503819bc31f"",""Elisabeth Vandenbranden-Vermeylen""],""name"":""Elisabeth Vandenbranden-Vermeylen"",""ark"":""ark:/83110/x0/75f474ba-4975-584f-a996-c503819bc31f"",""uri"":""/agents/people/4548998"",""id"":""au::42514:1"",""isCapacity"":false}",ark:/83110/x0/75f474ba-4975-584f-a996-c503819bc31f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a79e9f50-10ff-53d0-8baf-0d3c3bf3fc95,tg:lhbr:151917,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,18950531,,,,,,,,,,,,,,,,,,,,,,,,,,
a79e9f50-10ff-53d0-8baf-0d3c3bf3fc95,tg:lhbr:151917,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1895-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a79e9f50-10ff-53d0-8baf-0d3c3bf3fc95,tg:lhbr:151917,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,
a79e9f50-10ff-53d0-8baf-0d3c3bf3fc95,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000143322,referentienummer,False,,,,,,,,,,,,
a79e9f50-10ff-53d0-8baf-0d3c3bf3fc95,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:151917,brocade id,False,,,,,,,,,,,,
a79e9f50-10ff-53d0-8baf-0d3c3bf3fc95,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:151917/N,brocade url,False,,,,,,,,,,,,
a79e9f50-10ff-53d0-8baf-0d3c3bf3fc95,tg:lhbr:151917,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""90cd93d2-aeed-5334-806b-b1fcc031031d"", ""ontologyProperty"": """", ""resourceXresourceId"": ""21cbf8e3-9485-477f-830a-8b58d81f0c4e"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
