ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
ce91cb5c-b79f-5e3d-9fa7-3a194ff50b84,tg:lhbr:264806,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:264806,https://data.letterenhuis.be/ark:/24970/ce91cb5c-b79f-5e3d-9fa7-3a194ff50b84,Brieven,,,,,
ce91cb5c-b79f-5e3d-9fa7-3a194ff50b84,tg:lhbr:264806,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1917.0,2032,In Copyright
ce91cb5c-b79f-5e3d-9fa7-3a194ff50b84,tg:lhbr:264806,e73_CreationActors,,,au::14172,,,,lhbr,c4e8a2fe-f3a2-5376-9584-882826d378da,bs,,au::14172:1,au::14172g:1,,,,,lhbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/1516404"",""au::14172"",""au::14172:1"",""ark:/83110/x0/c4e8a2fe-f3a2-5376-9584-882826d378da"",""Tony van Os""],""name"":""Tony van Os"",""ark"":""ark:/83110/x0/c4e8a2fe-f3a2-5376-9584-882826d378da"",""uri"":""/agents/people/1516404"",""id"":""au::14172:1"",""isCapacity"":false}",ark:/83110/x0/c4e8a2fe-f3a2-5376-9584-882826d378da,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ce91cb5c-b79f-5e3d-9fa7-3a194ff50b84,tg:lhbr:264806,e73_CreationActors,,,au::2268,,,,lhbr,1fc62661-e5c9-5cdf-9e5e-71ae0c2a02f1,co,,au::2268:1,au::2268g:1,,,,,lhbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/people/242676"",""au::2268"",""au::2268:1"",""ark:/83110/x0/1fc62661-e5c9-5cdf-9e5e-71ae0c2a02f1"",""Emmanuel de Bom""],""name"":""Emmanuel de Bom"",""ark"":""ark:/83110/x0/1fc62661-e5c9-5cdf-9e5e-71ae0c2a02f1"",""uri"":""/agents/people/242676"",""id"":""au::2268:1"",""isCapacity"":false}",ark:/83110/x0/1fc62661-e5c9-5cdf-9e5e-71ae0c2a02f1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ce91cb5c-b79f-5e3d-9fa7-3a194ff50b84,tg:lhbr:264806,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19170511,,,,,,,,,,,,,,,,,,,,,,,,,,
ce91cb5c-b79f-5e3d-9fa7-3a194ff50b84,tg:lhbr:264806,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1917-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ce91cb5c-b79f-5e3d-9fa7-3a194ff50b84,tg:lhbr:264806,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tony van Os aan E. de Bom,descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,
ce91cb5c-b79f-5e3d-9fa7-3a194ff50b84,tg:lhbr:264806,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,
ce91cb5c-b79f-5e3d-9fa7-3a194ff50b84,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000253555,referentienummer,False,,,,,,,,,,,,
ce91cb5c-b79f-5e3d-9fa7-3a194ff50b84,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:264806,brocade id,False,,,,,,,,,,,,
ce91cb5c-b79f-5e3d-9fa7-3a194ff50b84,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:264806/N,brocade url,False,,,,,,,,,,,,
ce91cb5c-b79f-5e3d-9fa7-3a194ff50b84,tg:lhbr:264806,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""bdc92d62-aa7b-5b40-a5b7-923bdde862af"", ""ontologyProperty"": """", ""resourceXresourceId"": ""9384c90d-4b58-4542-910a-191cb3f449f2"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
