ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
d43d235c-63c7-5fce-be21-41b8880c679b,tg:lhbr:102520,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:102520,https://data.letterenhuis.be/ark:/24970/d43d235c-63c7-5fce-be21-41b8880c679b,Brieven,,,,,
d43d235c-63c7-5fce-be21-41b8880c679b,tg:lhbr:102520,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1939.0,2054,In Copyright
d43d235c-63c7-5fce-be21-41b8880c679b,tg:lhbr:102520,e73_CreationActors,,,au::28255:::SEV.1,,,,lhbr,5b6a5213-588c-5851-88ee-b238febb7ad5,bs,,au::28255:1::SEV.1,au::28255g:1::SEV.1,,,,,lhbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/3023285"",""au::28255"",""au::28255:1"",""ark:/83110/x0/7c3c29ba-73ce-5352-92e8-2d0b4b0d37b7"",""Staf Moons [Secretaris van Tijl [Kunst en Kultuurclub]]""],""name"":""Staf Moons [Secretaris van Tijl [Kunst en Kultuurclub]]"",""ark"":""ark:/83110/x0/7c3c29ba-73ce-5352-92e8-2d0b4b0d37b7"",""uri"":""/agents/people/3023285"",""id"":""au::28255:1"",""capacity"":""Secretaris van Tijl [Kunst en Kultuurclub]"",""isCapacity"":true,""relatorRaw"":""au::28255:1::SEV.1"",""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/7c3c29ba-73ce-5352-92e8-2d0b4b0d37b7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d43d235c-63c7-5fce-be21-41b8880c679b,tg:lhbr:102520,e73_CreationActors,,,au::13267,,,,lhbr,1f47955c-2a10-593c-9076-85734674c9be,co,,au::13267:1,au::13267g:1,,,,,lhbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/people/1419569"",""au::13267"",""au::13267:1"",""ark:/83110/x0/1f47955c-2a10-593c-9076-85734674c9be"",""Jozef Muls""],""name"":""Jozef Muls"",""ark"":""ark:/83110/x0/1f47955c-2a10-593c-9076-85734674c9be"",""uri"":""/agents/people/1419569"",""id"":""au::13267:1"",""isCapacity"":false}",ark:/83110/x0/1f47955c-2a10-593c-9076-85734674c9be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d43d235c-63c7-5fce-be21-41b8880c679b,tg:lhbr:102520,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19390324,,,,,,,,,,,,,,,,,,,,,,,,,,
d43d235c-63c7-5fce-be21-41b8880c679b,tg:lhbr:102520,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1939-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d43d235c-63c7-5fce-be21-41b8880c679b,tg:lhbr:102520,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,
d43d235c-63c7-5fce-be21-41b8880c679b,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000096345,referentienummer,False,,,,,,,,,,,,
d43d235c-63c7-5fce-be21-41b8880c679b,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:102520,brocade id,False,,,,,,,,,,,,
d43d235c-63c7-5fce-be21-41b8880c679b,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:102520/N,brocade url,False,,,,,,,,,,,,
d43d235c-63c7-5fce-be21-41b8880c679b,tg:lhbr:102520,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""48fd5a55-ac2a-5ab6-bf2a-4a518b0ddc96"", ""ontologyProperty"": """", ""resourceXresourceId"": ""ba388ec6-6be1-4d55-acab-c2350fd47a37"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
