ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
7dac65ab-ff67-58eb-b7c8-5a00928eafbe,tg:lhbr:123243,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:123243,https://data.letterenhuis.be/ark:/24970/7dac65ab-ff67-58eb-b7c8-5a00928eafbe,Brieven,,,,,
7dac65ab-ff67-58eb-b7c8-5a00928eafbe,tg:lhbr:123243,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950.0,2065,In Copyright
7dac65ab-ff67-58eb-b7c8-5a00928eafbe,tg:lhbr:123243,e73_CreationActors,,,au::15861,,,,lhbr,307a2869-a22c-5fac-aa20-8a299a79e57d,bs,,au::15861:1,au::15861g:1,,,,,lhbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/1697127"",""au::15861"",""au::15861:1"",""ark:/83110/x0/307a2869-a22c-5fac-aa20-8a299a79e57d"",""Leo Roels""],""name"":""Leo Roels"",""ark"":""ark:/83110/x0/307a2869-a22c-5fac-aa20-8a299a79e57d"",""uri"":""/agents/people/1697127"",""id"":""au::15861:1"",""isCapacity"":false}",ark:/83110/x0/307a2869-a22c-5fac-aa20-8a299a79e57d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7dac65ab-ff67-58eb-b7c8-5a00928eafbe,tg:lhbr:123243,e73_CreationActors,,,au::3178,,,,lhbr,3174e57f-96b5-5d2f-b00c-8650e7e1678d,co,,au::3178:1,au::3178g:1,,,,,lhbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/people/340046"",""au::3178"",""au::3178:1"",""ark:/83110/x0/3174e57f-96b5-5d2f-b00c-8650e7e1678d"",""Antoinette Buckinx-Luykx""],""name"":""Antoinette Buckinx-Luykx"",""ark"":""ark:/83110/x0/3174e57f-96b5-5d2f-b00c-8650e7e1678d"",""uri"":""/agents/people/340046"",""id"":""au::3178:1"",""isCapacity"":false}",ark:/83110/x0/3174e57f-96b5-5d2f-b00c-8650e7e1678d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7dac65ab-ff67-58eb-b7c8-5a00928eafbe,tg:lhbr:123243,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19501002,,,,,,,,,,,,,,,,,,,,,,,,,,
7dac65ab-ff67-58eb-b7c8-5a00928eafbe,tg:lhbr:123243,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1950-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7dac65ab-ff67-58eb-b7c8-5a00928eafbe,tg:lhbr:123243,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,
7dac65ab-ff67-58eb-b7c8-5a00928eafbe,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000115959,referentienummer,False,,,,,,,,,,,,
7dac65ab-ff67-58eb-b7c8-5a00928eafbe,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:123243,brocade id,False,,,,,,,,,,,,
7dac65ab-ff67-58eb-b7c8-5a00928eafbe,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:123243/N,brocade url,False,,,,,,,,,,,,
7dac65ab-ff67-58eb-b7c8-5a00928eafbe,tg:lhbr:123243,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""eb2c0845-dd67-5149-ac1b-493654007f6d"", ""ontologyProperty"": """", ""resourceXresourceId"": ""1b4cfed3-e30f-4b2a-babd-1d30212e6fca"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
