ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
94b9d2e9-e779-533b-8087-770f35e8bd54,tg:lhbr:93878,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:93878,https://data.letterenhuis.be/ark:/24970/94b9d2e9-e779-533b-8087-770f35e8bd54,Brieven,,,,,
94b9d2e9-e779-533b-8087-770f35e8bd54,tg:lhbr:93878,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1917.0,2032,In Copyright
94b9d2e9-e779-533b-8087-770f35e8bd54,tg:lhbr:93878,e73_CreationActors,,,au::11362:::SEV.1,,,,lhbr,5a920a32-84a6-5922-8f5c-09db83396e0f,bs,,au::11362:1::SEV.1,au::11362g:1::SEV.1,,,,,lhbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/1215734"",""au::11362"",""au::11362:1"",""ark:/83110/x0/e1cbc881-756b-5017-a86a-8698079476e8"",""Edward Léonard [Secretaris van Vlaamsche Kring]""],""name"":""Edward Léonard [Secretaris van Vlaamsche Kring]"",""ark"":""ark:/83110/x0/e1cbc881-756b-5017-a86a-8698079476e8"",""uri"":""/agents/people/1215734"",""id"":""au::11362:1"",""capacity"":""Secretaris van Vlaamsche Kring"",""isCapacity"":true,""relatorRaw"":""au::11362:1::SEV.1"",""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/e1cbc881-756b-5017-a86a-8698079476e8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94b9d2e9-e779-533b-8087-770f35e8bd54,tg:lhbr:93878,e73_CreationActors,,,au::36364,,,,lhbr,c1c0756a-d9ee-5705-bc5c-90f95da45142,co,,au::36364:1,au::36364g:1,,,,,lhbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/corporate_entities/3890948"",""au::36364"",""au::36364:1"",""ark:/83110/x0/c1c0756a-d9ee-5705-bc5c-90f95da45142"",""Lagere Meisjesschool [Oude God]""],""name"":""Lagere Meisjesschool [Oude God]"",""ark"":""ark:/83110/x0/c1c0756a-d9ee-5705-bc5c-90f95da45142"",""uri"":""/agents/corporate_entities/3890948"",""id"":""au::36364:1"",""isCapacity"":false}",ark:/83110/x0/c1c0756a-d9ee-5705-bc5c-90f95da45142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94b9d2e9-e779-533b-8087-770f35e8bd54,tg:lhbr:93878,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19171220,,,,,,,,,,,,,,,,,,,,,,,,,,
94b9d2e9-e779-533b-8087-770f35e8bd54,tg:lhbr:93878,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1917-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94b9d2e9-e779-533b-8087-770f35e8bd54,tg:lhbr:93878,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,
94b9d2e9-e779-533b-8087-770f35e8bd54,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000088097,referentienummer,False,,,,,,,,,,,,
94b9d2e9-e779-533b-8087-770f35e8bd54,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:93878,brocade id,False,,,,,,,,,,,,
94b9d2e9-e779-533b-8087-770f35e8bd54,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:93878/N,brocade url,False,,,,,,,,,,,,
94b9d2e9-e779-533b-8087-770f35e8bd54,tg:lhbr:93878,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""744b2878-d044-5387-baf1-bd55c44d89a0"", ""ontologyProperty"": """", ""resourceXresourceId"": ""eb6f3432-bc1f-4c20-a5b6-011847e37b59"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
