ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
6f5c9dfe-f467-5e34-8efb-bf786def8507,tg:lhbr:270346,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:270346,https://data.letterenhuis.be/ark:/24970/6f5c9dfe-f467-5e34-8efb-bf786def8507,Brieven,,,,,
6f5c9dfe-f467-5e34-8efb-bf786def8507,tg:lhbr:270346,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1977.0,2092,In Copyright
6f5c9dfe-f467-5e34-8efb-bf786def8507,tg:lhbr:270346,e73_CreationActors,,,au::53363,,,,lhbr,e6e62df9-ead1-5b14-b0b7-e42a590edf67,bs,,au::53363:1,au::53363g:1,,,,,lhbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/5709841"",""au::53363"",""au::53363:1"",""ark:/83110/x0/e6e62df9-ead1-5b14-b0b7-e42a590edf67"",""Eric Rinckhout""],""name"":""Eric Rinckhout"",""ark"":""ark:/83110/x0/e6e62df9-ead1-5b14-b0b7-e42a590edf67"",""uri"":""/agents/people/5709841"",""id"":""au::53363:1"",""isCapacity"":false}",ark:/83110/x0/e6e62df9-ead1-5b14-b0b7-e42a590edf67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6f5c9dfe-f467-5e34-8efb-bf786def8507,tg:lhbr:270346,e73_CreationActors,,,au::16219,,,,lhbr,6f3f9989-14d3-555c-9ff0-2fcf5a89e1cb,co,,au::16219:1,au::16219g:1,,,,,lhbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/people/1735433"",""au::16219"",""au::16219:1"",""ark:/83110/x0/6f3f9989-14d3-555c-9ff0-2fcf5a89e1cb"",""Ward Ruyslinck""],""name"":""Ward Ruyslinck"",""ark"":""ark:/83110/x0/6f3f9989-14d3-555c-9ff0-2fcf5a89e1cb"",""uri"":""/agents/people/1735433"",""id"":""au::16219:1"",""isCapacity"":false}",ark:/83110/x0/6f3f9989-14d3-555c-9ff0-2fcf5a89e1cb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6f5c9dfe-f467-5e34-8efb-bf786def8507,tg:lhbr:270346,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19771030,,,,,,,,,,,,,,,,,,,,,,,,,,
6f5c9dfe-f467-5e34-8efb-bf786def8507,tg:lhbr:270346,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1977-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6f5c9dfe-f467-5e34-8efb-bf786def8507,tg:lhbr:270346,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,
6f5c9dfe-f467-5e34-8efb-bf786def8507,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000259036,referentienummer,False,,,,,,,,,,,,
6f5c9dfe-f467-5e34-8efb-bf786def8507,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:270346,brocade id,False,,,,,,,,,,,,
6f5c9dfe-f467-5e34-8efb-bf786def8507,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:270346/N,brocade url,False,,,,,,,,,,,,
6f5c9dfe-f467-5e34-8efb-bf786def8507,tg:lhbr:270346,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""b06bfef7-c569-51d2-8092-6b3b0bc15b7b"", ""ontologyProperty"": """", ""resourceXresourceId"": ""247a01db-74a4-4740-ba37-ceb4526aaaaa"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
