ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Identifier,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type
bafbd2ed-84e9-51d8-a03a-b99f4a4542d1,tg:lhbr:262578,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:262578,https://data.letterenhuis.be/ark:/24970/bafbd2ed-84e9-51d8-a03a-b99f4a4542d1,Brieven,,,,,
bafbd2ed-84e9-51d8-a03a-b99f4a4542d1,tg:lhbr:262578,e73_AnnotationsImmaterial,1,note.lhalg,"<p>Met een kladversie van Burssens gedicht 'Terzinen 1' uit <em>French en andere Cancan</em></p>
","<p>Met een kladversie van Burssens gedicht 'Terzinen 1' uit <em>French en andere Cancan</em></p>
",Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bafbd2ed-84e9-51d8-a03a-b99f4a4542d1,tg:lhbr:262578,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1931.0,2046,In Copyright
bafbd2ed-84e9-51d8-a03a-b99f4a4542d1,tg:lhbr:262578,e73_CreationActors,,,au::14652,,,,lhbr,6726ddd1-e505-57f8-b876-90cb6bef21b9,bs,,au::14652:1,au::14652g:1,,,,,lhbr,Brief,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/1567764"",""au::14652"",""au::14652:1"",""ark:/83110/x0/6726ddd1-e505-57f8-b876-90cb6bef21b9"",""Edgar du Perron""],""name"":""Edgar du Perron"",""ark"":""ark:/83110/x0/6726ddd1-e505-57f8-b876-90cb6bef21b9"",""uri"":""/agents/people/1567764"",""id"":""au::14652:1"",""isCapacity"":false}",ark:/83110/x0/6726ddd1-e505-57f8-b876-90cb6bef21b9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bafbd2ed-84e9-51d8-a03a-b99f4a4542d1,tg:lhbr:262578,e73_CreationActors,,,au::3253,,,,lhbr,e84be24c-d075-511b-8f34-84c90fcb05de,co,,au::3253:1,au::3253g:1,,,,,lhbr,Brief,recipients (people),,"dlod={""suggest"":[""/agents/people/348071"",""au::3253"",""au::3253:1"",""ark:/83110/x0/e84be24c-d075-511b-8f34-84c90fcb05de"",""Gaston Burssens""],""name"":""Gaston Burssens"",""ark"":""ark:/83110/x0/e84be24c-d075-511b-8f34-84c90fcb05de"",""uri"":""/agents/people/348071"",""id"":""au::3253:1"",""isCapacity"":false}",ark:/83110/x0/e84be24c-d075-511b-8f34-84c90fcb05de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bafbd2ed-84e9-51d8-a03a-b99f4a4542d1,tg:lhbr:262578,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19310714,,,,,,,,,,,,,,,,,,,,,,,,,,
bafbd2ed-84e9-51d8-a03a-b99f4a4542d1,tg:lhbr:262578,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1931-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bafbd2ed-84e9-51d8-a03a-b99f4a4542d1,tg:lhbr:262578,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,
bafbd2ed-84e9-51d8-a03a-b99f4a4542d1,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000251340,referentienummer,False,,,,,,,,,,,,
bafbd2ed-84e9-51d8-a03a-b99f4a4542d1,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:262578,brocade id,False,,,,,,,,,,,,
bafbd2ed-84e9-51d8-a03a-b99f4a4542d1,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:262578/N,brocade url,False,,,,,,,,,,,,
bafbd2ed-84e9-51d8-a03a-b99f4a4542d1,tg:lhbr:262578,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""a453a835-3000-59c7-9268-4e3e5163f6ed"", ""ontologyProperty"": """", ""resourceXresourceId"": ""f422da31-6fa7-4794-a1c7-dd418e865eb4"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
