ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,carrier_colour_source_field,Carrier Colour,Condition State Note,Condition State Notes Language,Condition State Notes Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.acquiredVia,adm.id_mat,mpm_place_holder,adm.isadPartOf,Plaatsingsnummer,adm.uuid_mat,Warehouse Location (begin),Volgnummer,Warehouse Location (end),Source Note Type,Source Note Language,Mark Note,Mark Type,Mark Language,mat_source_field,Material,col_source_field,Material Colour,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Production Technique Note,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
a285a4d8-1f7e-531a-a0ba-2df83c614198,tg:lhtk:8827_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhtk:8827_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/a285a4d8-1f7e-531a-a0ba-2df83c614198,object identifier,,,,,,,,,,,
a285a4d8-1f7e-531a-a0ba-2df83c614198,tg:lhtk:8827_#1,e22_AcquisitionNumbers,1,,,,197408/42,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a285a4d8-1f7e-531a-a0ba-2df83c614198,tg:lhtk:8827_#1,e22_Acquisitions,1,tr:lh:7497,"dlod={""name"":""Archiefstukken van Lode Sebregts"",""ark"":""ark:/24970/x0/bb580e27-07d6-5982-9d13-4e2835cbf5e2"",""uri"":""/repositories/11/accessions/802182"",""id"":""tr:lh:7497"",""date"":""2000-08-02"",""granter"":""Lode Sebregts"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/bb580e27-07d6-5982-9d13-4e2835cbf5e2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a285a4d8-1f7e-531a-a0ba-2df83c614198,tg:lhtk:8827_#1,e22_Archives,1,,,,,,,,,,,isad:lh:96923,"dlod={""name"":""Tekeningen door Lode Sebregts"",""ark"":""ark:/24970/x0/1ce94a79-72b4-53c1-baa6-04ab4d3e10f9"",""uri"":""/repositories/11/archival_objects/10370764"",""id"":""isad:lh:96923"",""nameWithContext"":[""Werkstukken"",""Kunstwerken""],""resourceName"":""Archief van Lode Sebregts"",""resourceArk"":""ark:/24970/x0/e9bd6ce0-c72d-56b5-aea7-4ad7c396a615"",""resourceURI"":""/repositories/11/resources/7496316"",""resourceID"":""isad:lh:70059"",""capacity"":""Tekeningen door Lode Sebregts"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/1ce94a79-72b4-53c1-baa6-04ab4d3e10f9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a285a4d8-1f7e-531a-a0ba-2df83c614198,tg:lhtk:8827_#1,e22_Carrier,1,,,,,,,,,,,,,,kenmerken/lhdragerico.lhdragertypeico,paper (fiber product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a285a4d8-1f7e-531a-a0ba-2df83c614198,tg:lhtk:8827_#1,e22_Conditions,3,,,,,,note.lhconditie,"<p>Het papier is licht verkleurd.</p>
",,,,,,,,,,,"<p>Het papier is licht verkleurd.</p>
",Nederlands,condition/examination description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a285a4d8-1f7e-531a-a0ba-2df83c614198,tg:lhtk:8827_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformatic.lhformatwerkic,"36 x 27,5",,,,,,,,,,,,,,,,,"36 x 27,5 - height, width, kenmerken/lhformatic.lhformatwerkic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a285a4d8-1f7e-531a-a0ba-2df83c614198,tg:lhtk:8827_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,360,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a285a4d8-1f7e-531a-a0ba-2df83c614198,tg:lhtk:8827_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,275,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a285a4d8-1f7e-531a-a0ba-2df83c614198,tg:lhtk:8827_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,,,,,,lhtk,tr:lh:7497,tg:lhtk:8827_#1,197408/42,isad:lh:96923,S 5621 / I (Doos 2),a285a4d8-1f7e-531a-a0ba-2df83c614198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a285a4d8-1f7e-531a-a0ba-2df83c614198,tg:lhtk:8827_#1,e22_Marks,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Rechtsboven met potlood: <strong>3e visvrouw</strong></p>
",inscriptions,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a285a4d8-1f7e-531a-a0ba-2df83c614198,tg:lhtk:8827_#1,e22_MaterialColour,,,,,,,,,,,,,,,,,,,,,,,,,,lhtk,,,,,,,,,,,,,,,kenmerken/lhtechbasistk.lhtechtk,pencils (drawing and writing equipment),,,,,,,,,,,,,,,,,,,,,,,,,,
a285a4d8-1f7e-531a-a0ba-2df83c614198,tg:lhtk:8827_#1,e22_ObjectTypes,1,,,,,,default_object_type,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,drawings (visual works),,,,,,,,,,
