ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,carrier_colour_source_field,Carrier Colour,Condition State Note,Condition State Notes Language,Condition State Notes Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.acquiredVia,adm.id_mat,mpm_place_holder,adm.isadPartOf,Plaatsingsnummer,adm.uuid_mat,Warehouse Location (begin),Volgnummer,Warehouse Location (end),Source Note Type,Source Note Language,Mark Note,Mark Type,Mark Language,mat_source_field,Material,col_source_field,Material Colour,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Production Technique Note,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
8da0fdb1-581d-56df-ac87-ed5b36e8ecde,tg:lhpa:373_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhpa:373_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/8da0fdb1-581d-56df-ac87-ed5b36e8ecde,object identifier,,,,,,,,,,,
8da0fdb1-581d-56df-ac87-ed5b36e8ecde,tg:lhpa:373_#1,e22_AcquisitionNumbers,1,,,,111616,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8da0fdb1-581d-56df-ac87-ed5b36e8ecde,tg:lhpa:373_#1,e22_Carrier,1,,,,,,,,,,,,,,kenmerken/lhdragerico.lhdragertypeico,canvas (textile material),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8da0fdb1-581d-56df-ac87-ed5b36e8ecde,tg:lhpa:373_#1,e22_Conditions,2,,,,,,note.lhconditie,"<p>oppervlaktevuil; onvoldoende opgespannen; verzakkingen;</p>
<p>Gerestaureerd in HACOM- project, 2000.</p>
",,,,,,,,,,,"<p>oppervlaktevuil; onvoldoende opgespannen; verzakkingen;</p>
<p>Gerestaureerd in HACOM- project, 2000.</p>
",Nederlands,condition/examination description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8da0fdb1-581d-56df-ac87-ed5b36e8ecde,tg:lhpa:373_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformatic.lhformatkaderic,"99,7 x 117,8 x 5,7",,,,,,,,,,,,,,,,,"99,7 x 117,8 x 5,7 - height, width, depth, kenmerken/lhformatic.lhformatkaderic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8da0fdb1-581d-56df-ac87-ed5b36e8ecde,tg:lhpa:373_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformatic.lhformatwerkic,82 x 103,,,,,,,,,,,,,,,,,"82 x 103 - height, width, kenmerken/lhformatic.lhformatwerkic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8da0fdb1-581d-56df-ac87-ed5b36e8ecde,tg:lhpa:373_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatkaderic,,,,,,,,,,,,,,,400,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8da0fdb1-581d-56df-ac87-ed5b36e8ecde,tg:lhpa:373_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatkaderic,,,,,,,,,,,,,,,300,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8da0fdb1-581d-56df-ac87-ed5b36e8ecde,tg:lhpa:373_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,820,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8da0fdb1-581d-56df-ac87-ed5b36e8ecde,tg:lhpa:373_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,1030,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
