ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,carrier_colour_source_field,Carrier Colour,Condition State Note,Condition State Notes Language,Condition State Notes Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.acquiredVia,adm.id_mat,mpm_place_holder,adm.isadPartOf,Plaatsingsnummer,adm.uuid_mat,Warehouse Location (begin),Volgnummer,Warehouse Location (end),Source Note Type,Source Note Language,Mark Note,Mark Type,Mark Language,mat_source_field,Material,col_source_field,Material Colour,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Production Technique Note,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
bac9a79f-496b-5864-90e9-37fce24feee7,tg:lhtk:7097_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhtk:7097_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/bac9a79f-496b-5864-90e9-37fce24feee7,object identifier,,,,,,,,,,,
bac9a79f-496b-5864-90e9-37fce24feee7,tg:lhtk:7097_#1,e22_AcquisitionNumbers,1,,,,106054/1,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bac9a79f-496b-5864-90e9-37fce24feee7,tg:lhtk:7097_#1,e22_Acquisitions,1,tr:lh:4841,"dlod={""name"":""Oningeschreven gevonden in 1978"",""ark"":""ark:/24970/x0/aa3e2eb5-3ce5-5714-9f37-f68b2e932b83"",""uri"":""/repositories/11/accessions/517990"",""id"":""tr:lh:4841"",""date"":""1978-10-20"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/aa3e2eb5-3ce5-5714-9f37-f68b2e932b83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bac9a79f-496b-5864-90e9-37fce24feee7,tg:lhtk:7097_#1,e22_AnnotationsMaterial,1,,,,,,adm.note,"**Opvoering:** KNS van Antwerpen, 94ste speeljaar, april 1947

**Regie:** Maurits Balfoort","**Opvoering:** KNS van Antwerpen, 94ste speeljaar, april 1947

**Regie:** Maurits Balfoort",Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bac9a79f-496b-5864-90e9-37fce24feee7,tg:lhtk:7097_#1,e22_Carrier,1,,,,,,,,,,,,,,kenmerken/lhdragerico.lhdragertypeico,paper (fiber product),kenmerken/lhdragerico.lhkleur,black (color),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bac9a79f-496b-5864-90e9-37fce24feee7,tg:lhtk:7097_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformatic.lhformatwerkic,19 x 27,,,,,,,,,,,,,,,,,"19 x 27 - height, width, kenmerken/lhformatic.lhformatwerkic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bac9a79f-496b-5864-90e9-37fce24feee7,tg:lhtk:7097_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformatic.lhformatrandic,"23,5 x 33",,,,,,,,,,,,,,,,,"23,5 x 33 - height, width, kenmerken/lhformatic.lhformatrandic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bac9a79f-496b-5864-90e9-37fce24feee7,tg:lhtk:7097_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,190,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bac9a79f-496b-5864-90e9-37fce24feee7,tg:lhtk:7097_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,270,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bac9a79f-496b-5864-90e9-37fce24feee7,tg:lhtk:7097_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatrandic,,,,,,,,,,,,,,,235,hoogte met rand,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
