ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,carrier_colour_source_field,Carrier Colour,Condition State Note,Condition State Notes Language,Condition State Notes Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.acquiredVia,adm.id_mat,mpm_place_holder,adm.isadPartOf,Plaatsingsnummer,adm.uuid_mat,Warehouse Location (begin),Volgnummer,Warehouse Location (end),Source Note Type,Source Note Language,Mark Note,Mark Type,Mark Language,mat_source_field,Material,col_source_field,Material Colour,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Production Technique Note,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
8cf951d4-f29d-5c3c-b7be-7084a5129343,tg:lhtk:10959_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhtk:10959_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/8cf951d4-f29d-5c3c-b7be-7084a5129343,object identifier,,,,,,,,,,,
8cf951d4-f29d-5c3c-b7be-7084a5129343,tg:lhtk:10959_#1,e22_AcquisitionNumbers,1,,,,195152/5,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8cf951d4-f29d-5c3c-b7be-7084a5129343,tg:lhtk:10959_#1,e22_Acquisitions,1,tr:lh:7337,"dlod={""name"":""Archief van Alfred Ost"",""ark"":""ark:/24970/x0/6d9c989f-0025-5ee1-b106-d37b73c356b9"",""uri"":""/repositories/11/accessions/785062"",""id"":""tr:lh:7337"",""date"":""1995-02-14"",""granter"":""Frans Mertens"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/6d9c989f-0025-5ee1-b106-d37b73c356b9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8cf951d4-f29d-5c3c-b7be-7084a5129343,tg:lhtk:10959_#1,e22_Archives,1,,,,,,,,,,,isad:lh:127110,"dlod={""name"":""Doos 8"",""ark"":""ark:/24970/x0/4a737673-d26d-5e2b-b5d4-9f524ee548a3"",""uri"":""/repositories/11/archival_objects/13600773"",""id"":""isad:lh:127110"",""nameWithContext"":[""Werkstukken"",""Kunstwerken"",""Tekeningen, schilderijen, aquarellen en prenten in dozen""],""resourceName"":""Archief van Alfred Ost"",""resourceArk"":""ark:/24970/x0/5195d56d-c712-5e48-80db-273f1c6d875b"",""resourceURI"":""/repositories/11/resources/9876531"",""resourceID"":""isad:lh:92304"",""capacity"":""Doos 8"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/4a737673-d26d-5e2b-b5d4-9f524ee548a3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8cf951d4-f29d-5c3c-b7be-7084a5129343,tg:lhtk:10959_#1,e22_Carrier,1,,,,,,,,,,,,,,kenmerken/lhdragerico.lhdragertypeico,paper (fiber product),kenmerken/lhdragerico.lhkleur,ivory (color),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8cf951d4-f29d-5c3c-b7be-7084a5129343,tg:lhtk:10959_#1,e22_Conditions,3,,,,,,note.lhconditie,"<p>Aan de rechterzijde 7 perforatieringetjes</p>
",,,,,,,,,,,"<p>Aan de rechterzijde 7 perforatieringetjes</p>
",Nederlands,condition/examination description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8cf951d4-f29d-5c3c-b7be-7084a5129343,tg:lhtk:10959_#1,e22_Conditions,4,,,,,,note.lhconditie,"<p>Deze tekening werd bevestigd op een donkergrijs karton.</p>
",,,,,,,,,,,"<p>Deze tekening werd bevestigd op een donkergrijs karton.</p>
",Nederlands,condition/examination description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8cf951d4-f29d-5c3c-b7be-7084a5129343,tg:lhtk:10959_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformatic.lhformatwerkic,"36,2 x 28",,,,,,,,,,,,,,,,,"36,2 x 28 - height, width, kenmerken/lhformatic.lhformatwerkic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8cf951d4-f29d-5c3c-b7be-7084a5129343,tg:lhtk:10959_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,362,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8cf951d4-f29d-5c3c-b7be-7084a5129343,tg:lhtk:10959_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,280,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8cf951d4-f29d-5c3c-b7be-7084a5129343,tg:lhtk:10959_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,,,,,,lhtk,tr:lh:7337,tg:lhtk:10959_#1,195152/5,isad:lh:127110,O 393 / Doos 8,8cf951d4-f29d-5c3c-b7be-7084a5129343,V1 B 75 C6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8cf951d4-f29d-5c3c-b7be-7084a5129343,tg:lhtk:10959_#1,e22_MaterialColour,,,,,,,,,,,,,,,,,,,,,,,,,,lhtk,,,,,,,,,,,,,,,kenmerken/lhtechbasistk.lhtechtk,India ink (ink),,,,,,,,,,,,,,,,,,,,,,,,,,
8cf951d4-f29d-5c3c-b7be-7084a5129343,tg:lhtk:10959_#1,e22_ObjectTypes,1,,,,,,default_object_type,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,drawings (visual works),,,,,,,,,,
8cf951d4-f29d-5c3c-b7be-7084a5129343,tg:lhtk:10959_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1936.0,permission required,,,,,,,,
8cf951d4-f29d-5c3c-b7be-7084a5129343,tg:lhtk:10959_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C1hNkZONVWyMSKqubeDCoIla,lhtk,https://dams.antwerpen.be/iiif/C1hNkZONVWyMSKqubeDCoIla/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/C1hNkZONVWyMSKqubeDCoIla,DAMS Image,lh,Iconografie
