ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,carrier_colour_source_field,Carrier Colour,Condition State Note,Condition State Notes Language,Condition State Notes Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.acquiredVia,adm.id_mat,mpm_place_holder,adm.isadPartOf,Plaatsingsnummer,adm.uuid_mat,Warehouse Location (begin),Volgnummer,Warehouse Location (end),Source Note Type,Source Note Language,Mark Note,Mark Type,Mark Language,mat_source_field,Material,col_source_field,Material Colour,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Production Technique Note,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
ce8166c5-0bbc-5a18-a65a-8a52b7da6fb9,tg:lhtk:5113_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhtk:5113_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/ce8166c5-0bbc-5a18-a65a-8a52b7da6fb9,object identifier,,,,,,,,,,,
ce8166c5-0bbc-5a18-a65a-8a52b7da6fb9,tg:lhtk:5113_#1,e22_AcquisitionNumbers,1,,,,129056/5,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ce8166c5-0bbc-5a18-a65a-8a52b7da6fb9,tg:lhtk:5113_#1,e22_Acquisitions,1,tr:lh:5826,"dlod={""name"":""Oningeschreven gevonden in 1982"",""ark"":""ark:/24970/x0/42abbdd0-3850-567b-bbcf-9216cfb4f6ff"",""uri"":""/repositories/11/accessions/623385"",""id"":""tr:lh:5826"",""date"":""1982-01-29"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/42abbdd0-3850-567b-bbcf-9216cfb4f6ff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ce8166c5-0bbc-5a18-a65a-8a52b7da6fb9,tg:lhtk:5113_#1,e22_AnnotationsMaterial,1,,,,,,adm.note,"**Publikatie:** Bergmann, Anton (Tony), _Ernest Staas advokaat. Schetsen en
beelden_. Antwerpen: De Vries-Brouwers, 1954, 200 p., p. 17.","**Publikatie:** Bergmann, Anton (Tony), _Ernest Staas advokaat. Schetsen en
beelden_. Antwerpen: De Vries-Brouwers, 1954, 200 p., p. 17.",Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ce8166c5-0bbc-5a18-a65a-8a52b7da6fb9,tg:lhtk:5113_#1,e22_Carrier,1,,,,,,,,,,,,,,kenmerken/lhdragerico.lhdragertypeico,paper (fiber product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ce8166c5-0bbc-5a18-a65a-8a52b7da6fb9,tg:lhtk:5113_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformatic.lhformatwerkic,"18,4 x 14,2",,,,,,,,,,,,,,,,,"18,4 x 14,2 - height, width, kenmerken/lhformatic.lhformatwerkic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ce8166c5-0bbc-5a18-a65a-8a52b7da6fb9,tg:lhtk:5113_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,184,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ce8166c5-0bbc-5a18-a65a-8a52b7da6fb9,tg:lhtk:5113_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,142,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ce8166c5-0bbc-5a18-a65a-8a52b7da6fb9,tg:lhtk:5113_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,,,,,,lhtk,tr:lh:5826,tg:lhtk:5113_#1,129056/5,,H 538 / I (Doos I),ce8166c5-0bbc-5a18-a65a-8a52b7da6fb9,,,,remarks,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ce8166c5-0bbc-5a18-a65a-8a52b7da6fb9,tg:lhtk:5113_#1,e22_Marks,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Onder de tekening met potlood: <em>Juffrouw Monnier</em></p>
",inscriptions,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ce8166c5-0bbc-5a18-a65a-8a52b7da6fb9,tg:lhtk:5113_#1,e22_MaterialColour,,,,,,,,,,,,,,,,,,,,,,,,,,lhtk,,,,,,,,,,,,,,,kenmerken/lhtechbasistk.lhtechtk,India ink (ink),,,,,,,,,,,,,,,,,,,,,,,,,,
ce8166c5-0bbc-5a18-a65a-8a52b7da6fb9,tg:lhtk:5113_#1,e22_ObjectTypes,1,,,,,,default_object_type,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,drawings (visual works),,,,,,,,,,
