ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,carrier_colour_source_field,Carrier Colour,Condition State Note,Condition State Notes Language,Condition State Notes Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.acquiredVia,adm.id_mat,mpm_place_holder,adm.isadPartOf,Plaatsingsnummer,adm.uuid_mat,Warehouse Location (begin),Volgnummer,Warehouse Location (end),Source Note Type,Source Note Language,Mark Note,Mark Type,Mark Language,mat_source_field,Material,col_source_field,Material Colour,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Production Technique Note,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
e6dd95b8-12a1-5576-bac1-22ca76ad49e5,tg:lhpr:10901_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhpr:10901_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/e6dd95b8-12a1-5576-bac1-22ca76ad49e5,object identifier,,,,,,,,,,,
e6dd95b8-12a1-5576-bac1-22ca76ad49e5,tg:lhpr:10901_#1,e22_Archives,1,,,,,,,,,,,isad:lh:182511,"dlod={""name"":""Kunstwerken uit archief Kunstkring 't Getij"",""ark"":""ark:/24970/x0/d8b70333-5b57-5df3-8cb0-cc6575ff6e81"",""uri"":""/repositories/11/archival_objects/19528680"",""id"":""isad:lh:182511"",""resourceName"":""Archief van 't Getij [Kunstkring]"",""resourceArk"":""ark:/24970/x0/bf6ceb05-7641-58ae-b6f1-850437cc4392"",""resourceURI"":""/repositories/11/resources/10444487"",""resourceID"":""isad:lh:97612"",""capacity"":""Kunstwerken uit archief Kunstkring 't Getij"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/d8b70333-5b57-5df3-8cb0-cc6575ff6e81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e6dd95b8-12a1-5576-bac1-22ca76ad49e5,tg:lhpr:10901_#1,e22_Carrier,1,,,,,,,,,,,,,,kenmerken/lhdragerico.lhdragertypeico,paper (fiber product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e6dd95b8-12a1-5576-bac1-22ca76ad49e5,tg:lhpr:10901_#1,e22_Conditions,3,,,,,,note.lhconditie,"<p>Op de achterzijde van het tekenblad jaarvermelding : <em>1985</em></p>
",,,,,,,,,,,"<p>Op de achterzijde van het tekenblad jaarvermelding : <em>1985</em></p>
",Nederlands,condition/examination description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e6dd95b8-12a1-5576-bac1-22ca76ad49e5,tg:lhpr:10901_#1,e22_Conditions,4,,,,,,note.lhconditie,"<p>De bladranden zijn gekarteld.</p>
",,,,,,,,,,,"<p>De bladranden zijn gekarteld.</p>
",Nederlands,condition/examination description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e6dd95b8-12a1-5576-bac1-22ca76ad49e5,tg:lhpr:10901_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformatic.lhformatwerkic,"19,5 x 29",,,,,,,,,,,,,,,,,"19,5 x 29 - height, width, kenmerken/lhformatic.lhformatwerkic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e6dd95b8-12a1-5576-bac1-22ca76ad49e5,tg:lhpr:10901_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformatic.lhformatrandic,"26,5 x 39,5",,,,,,,,,,,,,,,,,"26,5 x 39,5 - height, width, kenmerken/lhformatic.lhformatrandic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e6dd95b8-12a1-5576-bac1-22ca76ad49e5,tg:lhpr:10901_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,195,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e6dd95b8-12a1-5576-bac1-22ca76ad49e5,tg:lhpr:10901_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,290,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e6dd95b8-12a1-5576-bac1-22ca76ad49e5,tg:lhpr:10901_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatrandic,,,,,,,,,,,,,,,265,hoogte met rand,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
