ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,carrier_colour_source_field,Carrier Colour,Condition State Note,Condition State Notes Language,Condition State Notes Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.acquiredVia,adm.id_mat,mpm_place_holder,adm.isadPartOf,Plaatsingsnummer,adm.uuid_mat,Warehouse Location (begin),Volgnummer,Warehouse Location (end),Source Note Type,Source Note Language,Mark Note,Mark Type,Mark Language,mat_source_field,Material,col_source_field,Material Colour,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Production Technique Note,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
187b0bbf-d31b-52ef-bbaa-63e8053f91a4,tg:lhaq:5463_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhaq:5463_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/187b0bbf-d31b-52ef-bbaa-63e8053f91a4,object identifier,,,,,,,,,,,
187b0bbf-d31b-52ef-bbaa-63e8053f91a4,tg:lhaq:5463_#1,e22_AcquisitionNumbers,1,,,,99191/3,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187b0bbf-d31b-52ef-bbaa-63e8053f91a4,tg:lhaq:5463_#1,e22_Acquisitions,1,tr:lh:5006,"dlod={""name"":""Archiefstukken van Jef Alpaerts"",""ark"":""ark:/24970/x0/e60773b4-0fa1-5ea9-84a1-3f8eba5befd9"",""uri"":""/repositories/11/accessions/535645"",""id"":""tr:lh:5006"",""date"":""1974-12-16"",""granter"":""Diane Alpaerts"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/e60773b4-0fa1-5ea9-84a1-3f8eba5befd9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187b0bbf-d31b-52ef-bbaa-63e8053f91a4,tg:lhaq:5463_#1,e22_Archives,1,,,,,,,,,,,isad:lh:95916,"dlod={""name"":""Aquarellen"",""ark"":""ark:/24970/x0/57161a3c-2f0c-5969-a9ab-e97491f8cb4c"",""uri"":""/repositories/11/archival_objects/10263015"",""id"":""isad:lh:95916"",""nameWithContext"":[""Verzamelingen"",""Kunstwerken""],""resourceName"":""Archief van Jef Alpaerts"",""resourceArk"":""ark:/24970/x0/ac566345-54ad-5ea8-9eba-71e7bf2ec5f2"",""resourceURI"":""/repositories/11/resources/166495"",""resourceID"":""isad:lh:1556"",""capacity"":""Aquarellen"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/57161a3c-2f0c-5969-a9ab-e97491f8cb4c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187b0bbf-d31b-52ef-bbaa-63e8053f91a4,tg:lhaq:5463_#1,e22_Carrier,1,,,,,,,,,,,,,,kenmerken/lhdragerico.lhdragertypeico,paper (fiber product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187b0bbf-d31b-52ef-bbaa-63e8053f91a4,tg:lhaq:5463_#1,e22_Conditions,3,,,,,,note.lhconditie,"<p>Matig</p>
",,,,,,,,,,,"<p>Matig</p>
",Nederlands,condition/examination description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187b0bbf-d31b-52ef-bbaa-63e8053f91a4,tg:lhaq:5463_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformatic.lhformatwerkic,"13,7 x 9,2",,,,,,,,,,,,,,,,,"13,7 x 9,2 - height, width, kenmerken/lhformatic.lhformatwerkic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187b0bbf-d31b-52ef-bbaa-63e8053f91a4,tg:lhaq:5463_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,137,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187b0bbf-d31b-52ef-bbaa-63e8053f91a4,tg:lhaq:5463_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,92,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187b0bbf-d31b-52ef-bbaa-63e8053f91a4,tg:lhaq:5463_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,,,,,,lhaq,tr:lh:5006,tg:lhaq:5463_#1,99191/3,isad:lh:95916,W 655 / I,187b0bbf-d31b-52ef-bbaa-63e8053f91a4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187b0bbf-d31b-52ef-bbaa-63e8053f91a4,tg:lhaq:5463_#1,e22_Marks,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Links onder-<em>&quot;EW&quot;</em></p>
",inscriptions,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187b0bbf-d31b-52ef-bbaa-63e8053f91a4,tg:lhaq:5463_#1,e22_MaterialColour,,,,,,,,,,,,,,,,,,,,,,,,,,lhaq,,,,,,,,,,,,,,,kenmerken/lhtechaanvtk.lhtechtaddtk,ink,,,,,,,,,,,,,,,,,,,,,,,,,,
187b0bbf-d31b-52ef-bbaa-63e8053f91a4,tg:lhaq:5463_#1,e22_MaterialColour,,,,,,,,,,,,,,,,,,,,,,,,,,lhaq,,,,,,,,,,,,,,,kenmerken/lhtechbasisaq.lhtechaq,gouache (paint),,,,,,,,,,,,,,,,,,,,,,,,,,
187b0bbf-d31b-52ef-bbaa-63e8053f91a4,tg:lhaq:5463_#1,e22_ObjectTypes,1,,,,,,default_object_type,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,drawings (visual works),,,,,,,,,,
187b0bbf-d31b-52ef-bbaa-63e8053f91a4,tg:lhaq:5463_#1,e22_UsageRestrictions,,,,,,,default_restriction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,permission required,,,,,,,,
187b0bbf-d31b-52ef-bbaa-63e8053f91a4,tg:lhaq:5463_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e18bPalOqMJgF5flNdy2U4KI,lhaq,https://dams.antwerpen.be/iiif/e18bPalOqMJgF5flNdy2U4KI/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/e18bPalOqMJgF5flNdy2U4KI,DAMS Image,lh,Iconografie
