ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,carrier_colour_source_field,Carrier Colour,Condition State Note,Condition State Notes Language,Condition State Notes Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.acquiredVia,adm.id_mat,mpm_place_holder,adm.isadPartOf,Plaatsingsnummer,adm.uuid_mat,Warehouse Location (begin),Volgnummer,Warehouse Location (end),Source Note Type,Source Note Language,Mark Note,Mark Type,Mark Language,mat_source_field,Material,col_source_field,Material Colour,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Production Technique Note,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
1a70638a-a562-55fa-8bcf-ec662b1c21bd,tg:lhtk:8584_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhtk:8584_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/1a70638a-a562-55fa-8bcf-ec662b1c21bd,object identifier,,,,,,,,,,,
1a70638a-a562-55fa-8bcf-ec662b1c21bd,tg:lhtk:8584_#1,e22_AcquisitionNumbers,1,,,,215880/32B,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1a70638a-a562-55fa-8bcf-ec662b1c21bd,tg:lhtk:8584_#1,e22_Carrier,1,,,,,,,,,,,,,,kenmerken/lhdragerico.lhdragertypeico,tracing paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1a70638a-a562-55fa-8bcf-ec662b1c21bd,tg:lhtk:8584_#1,e22_Conditions,1,,,,,,note.lhconditie,"<p>Het papier heeft gaatjes in de linker bovenkant.</p>
",,,,,,,,,,,"<p>Het papier heeft gaatjes in de linker bovenkant.</p>
",Nederlands,condition/examination description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1a70638a-a562-55fa-8bcf-ec662b1c21bd,tg:lhtk:8584_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformatic.lhformatwerkic,"25,5 x 20,5",,,,,,,,,,,,,,,,,"25,5 x 20,5 - height, width, kenmerken/lhformatic.lhformatwerkic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1a70638a-a562-55fa-8bcf-ec662b1c21bd,tg:lhtk:8584_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,255,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1a70638a-a562-55fa-8bcf-ec662b1c21bd,tg:lhtk:8584_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,205,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1a70638a-a562-55fa-8bcf-ec662b1c21bd,tg:lhtk:8584_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,,,,,,lhtk,,tg:lhtk:8584_#1,215880/32B,,Planex GT / T 159,1a70638a-a562-55fa-8bcf-ec662b1c21bd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1a70638a-a562-55fa-8bcf-ec662b1c21bd,tg:lhtk:8584_#1,e22_MaterialColour,,,,,,,,,,,,,,,,,,,,,,,,,,lhtk,,,,,,,,,,,,,,,kenmerken/lhtechbasistk.lhtechtk,pencils (drawing and writing equipment),,,,,,,,,,,,,,,,,,,,,,,,,,
1a70638a-a562-55fa-8bcf-ec662b1c21bd,tg:lhtk:8584_#1,e22_ObjectTypes,1,,,,,,default_object_type,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,drawings (visual works),,,,,,,,,,
1a70638a-a562-55fa-8bcf-ec662b1c21bd,tg:lhtk:8584_#1,e22_UsageRestrictions,,,,,,,default_restriction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,permission required,,,,,,,,
1a70638a-a562-55fa-8bcf-ec662b1c21bd,tg:lhtk:8584_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o2dmfXLuIJeVicBWsR0WMkQA,lhtk,https://dams.antwerpen.be/iiif/o2dmfXLuIJeVicBWsR0WMkQA/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/o2dmfXLuIJeVicBWsR0WMkQA,DAMS Image,lh,Iconografie
