ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,carrier_colour_source_field,Carrier Colour,Condition State Note,Condition State Notes Language,Condition State Notes Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.acquiredVia,adm.id_mat,mpm_place_holder,adm.isadPartOf,Plaatsingsnummer,adm.uuid_mat,Warehouse Location (begin),Volgnummer,Warehouse Location (end),Source Note Type,Source Note Language,Mark Note,Mark Type,Mark Language,mat_source_field,Material,col_source_field,Material Colour,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Production Technique Note,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
eda6e053-80c3-5c58-8734-eb4ed712b605,tg:lhpr:2439_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhpr:2439_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/eda6e053-80c3-5c58-8734-eb4ed712b605,object identifier,,,,,,,,,,,
eda6e053-80c3-5c58-8734-eb4ed712b605,tg:lhpr:2439_#1,e22_AcquisitionNumbers,1,,,,173830,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eda6e053-80c3-5c58-8734-eb4ed712b605,tg:lhpr:2439_#1,e22_Acquisitions,1,tr:lh:6960,"dlod={""name"":""Schenking van Stadsbibliotheek"",""ark"":""ark:/24970/x0/590fb449-84f1-5acf-9b0c-6187f962cfb5"",""uri"":""/repositories/11/accessions/744723"",""id"":""tr:lh:6960"",""date"":""1991-01-25"",""granter"":""Stadsbibliotheek [Antwerpen]"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/590fb449-84f1-5acf-9b0c-6187f962cfb5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eda6e053-80c3-5c58-8734-eb4ed712b605,tg:lhpr:2439_#1,e22_Carrier,1,,,,,,,,,,,,,,kenmerken/lhdragerico.lhdragertypeico,paper (fiber product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eda6e053-80c3-5c58-8734-eb4ed712b605,tg:lhpr:2439_#1,e22_Conditions,2,,,,,,note.lhconditie,"<p>Gekleefd op karton.</p>
",,,,,,,,,,,"<p>Gekleefd op karton.</p>
",Nederlands,condition/examination description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eda6e053-80c3-5c58-8734-eb4ed712b605,tg:lhpr:2439_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformatic.lhformatwerkic,"33 x 25,5",,,,,,,,,,,,,,,,,"33 x 25,5 - height, width, kenmerken/lhformatic.lhformatwerkic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eda6e053-80c3-5c58-8734-eb4ed712b605,tg:lhpr:2439_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,330,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eda6e053-80c3-5c58-8734-eb4ed712b605,tg:lhpr:2439_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,255,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eda6e053-80c3-5c58-8734-eb4ed712b605,tg:lhpr:2439_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,,,,,,lhpr,tr:lh:6960,tg:lhpr:2439_#1,173830,,"Planex GP / IX, 1",eda6e053-80c3-5c58-8734-eb4ed712b605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eda6e053-80c3-5c58-8734-eb4ed712b605,tg:lhpr:2439_#1,e22_Marks,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>l.o.: <em>Bourse d´Anvers</em></p>
",inscriptions,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
