ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,carrier_colour_source_field,Carrier Colour,Condition State Note,Condition State Notes Language,Condition State Notes Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.acquiredVia,adm.id_mat,mpm_place_holder,adm.isadPartOf,Plaatsingsnummer,adm.uuid_mat,Warehouse Location (begin),Volgnummer,Warehouse Location (end),Source Note Type,Source Note Language,Mark Note,Mark Type,Mark Language,mat_source_field,Material,col_source_field,Material Colour,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Production Technique Note,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
b5ff44aa-75c6-5fd9-beba-0029bdc26aef,tg:lhaq:8320_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhaq:8320_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/b5ff44aa-75c6-5fd9-beba-0029bdc26aef,object identifier,,,,,,,,,,,
b5ff44aa-75c6-5fd9-beba-0029bdc26aef,tg:lhaq:8320_#1,e22_AcquisitionNumbers,1,,,,37028/17,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b5ff44aa-75c6-5fd9-beba-0029bdc26aef,tg:lhaq:8320_#1,e22_Acquisitions,1,tr:lh:1987,"dlod={""name"":""Archief van Renaat Verheyen"",""ark"":""ark:/24970/x0/df188d20-b51b-5294-ae96-9d7bc1306dfd"",""uri"":""/repositories/11/accessions/212612"",""id"":""tr:lh:1987"",""date"":""1948-10-08"",""granter"":""Frans de Bois"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/df188d20-b51b-5294-ae96-9d7bc1306dfd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b5ff44aa-75c6-5fd9-beba-0029bdc26aef,tg:lhaq:8320_#1,e22_Archives,1,,,,,,,,,,,isad:lh:95994,"dlod={""name"":""Aquarellen door Renaat Verheyen"",""ark"":""ark:/24970/x0/bebcf9e8-2d69-5e94-876e-7e891475f2fa"",""uri"":""/repositories/11/archival_objects/10271361"",""id"":""isad:lh:95994"",""nameWithContext"":[""Werkstukken"",""Kunstwerken""],""resourceName"":""Archief van Renaat Verheyen"",""resourceArk"":""ark:/24970/x0/42de7629-a846-5d85-af13-f01f1e540dde"",""resourceURI"":""/repositories/11/resources/2730429"",""resourceID"":""isad:lh:25518"",""capacity"":""Aquarellen door Renaat Verheyen"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/bebcf9e8-2d69-5e94-876e-7e891475f2fa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b5ff44aa-75c6-5fd9-beba-0029bdc26aef,tg:lhaq:8320_#1,e22_Carrier,1,,,,,,,,,,,,,,kenmerken/lhdragerico.lhdragertypeico,paper (fiber product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b5ff44aa-75c6-5fd9-beba-0029bdc26aef,tg:lhaq:8320_#1,e22_Conditions,2,,,,,,note.lhconditie,"<p>Gescheurd aan de rechter kant</p>
",,,,,,,,,,,"<p>Gescheurd aan de rechter kant</p>
",Nederlands,condition/examination description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b5ff44aa-75c6-5fd9-beba-0029bdc26aef,tg:lhaq:8320_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformatic.lhformatrandic,"22,3 x 14,8",,,,,,,,,,,,,,,,,"22,3 x 14,8 - height, width, kenmerken/lhformatic.lhformatrandic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b5ff44aa-75c6-5fd9-beba-0029bdc26aef,tg:lhaq:8320_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatrandic,,,,,,,,,,,,,,,223,hoogte met rand,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b5ff44aa-75c6-5fd9-beba-0029bdc26aef,tg:lhaq:8320_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatrandic,,,,,,,,,,,,,,,148,breedte met rand,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b5ff44aa-75c6-5fd9-beba-0029bdc26aef,tg:lhaq:8320_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,,,,,,lhaq,tr:lh:1987,tg:lhaq:8320_#1,37028/17,isad:lh:95994,Planex GT / V 3965,b5ff44aa-75c6-5fd9-beba-0029bdc26aef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
