ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,carrier_colour_source_field,Carrier Colour,Condition State Note,Condition State Notes Language,Condition State Notes Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.acquiredVia,adm.id_mat,mpm_place_holder,adm.isadPartOf,Plaatsingsnummer,adm.uuid_mat,Warehouse Location (begin),Volgnummer,Warehouse Location (end),Source Note Type,Source Note Language,Mark Note,Mark Type,Mark Language,mat_source_field,Material,col_source_field,Material Colour,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Production Technique Note,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
45aa18aa-1b9e-59b8-8af7-1dde26f059ea,tg:lhtk:8177_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhtk:8177_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/45aa18aa-1b9e-59b8-8af7-1dde26f059ea,object identifier,,,,,,,,,,,
45aa18aa-1b9e-59b8-8af7-1dde26f059ea,tg:lhtk:8177_#1,e22_AcquisitionNumbers,1,,,,68839/1,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45aa18aa-1b9e-59b8-8af7-1dde26f059ea,tg:lhtk:8177_#1,e22_Acquisitions,1,tr:lh:3490,"dlod={""name"":""Archief van Jozef Peeters"",""ark"":""ark:/24970/x0/747a5cd4-f57f-579c-adef-76a04b555209"",""uri"":""/repositories/11/accessions/373433"",""id"":""tr:lh:3490"",""date"":""1962-09-19"",""granter"":""Godelieve Peeters"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/747a5cd4-f57f-579c-adef-76a04b555209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45aa18aa-1b9e-59b8-8af7-1dde26f059ea,tg:lhtk:8177_#1,e22_Archives,1,,,,,,,,,,,isad:lh:96917,"dlod={""name"":""Tekeningen"",""ark"":""ark:/24970/x0/295815d2-b719-5e89-b0cb-04793a65a19b"",""uri"":""/repositories/11/archival_objects/10370122"",""id"":""isad:lh:96917"",""nameWithContext"":[""Verzamelingen"",""Kunstwerken""],""resourceName"":""Archief van Jozef Peeters"",""resourceArk"":""ark:/24970/x0/f8de5b5d-7e66-522b-afa8-af33862bc521"",""resourceURI"":""/repositories/11/resources/527513"",""resourceID"":""isad:lh:4930"",""capacity"":""Tekeningen"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/295815d2-b719-5e89-b0cb-04793a65a19b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45aa18aa-1b9e-59b8-8af7-1dde26f059ea,tg:lhtk:8177_#1,e22_Carrier,1,,,,,,,,,,,,,,kenmerken/lhdragerico.lhdragertypeico,tracing paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45aa18aa-1b9e-59b8-8af7-1dde26f059ea,tg:lhtk:8177_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformatic.lhformatwerkic,"13,1 x 9,8",,,,,,,,,,,,,,,,,"13,1 x 9,8 - height, width, kenmerken/lhformatic.lhformatwerkic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45aa18aa-1b9e-59b8-8af7-1dde26f059ea,tg:lhtk:8177_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,131,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45aa18aa-1b9e-59b8-8af7-1dde26f059ea,tg:lhtk:8177_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,98,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45aa18aa-1b9e-59b8-8af7-1dde26f059ea,tg:lhtk:8177_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,,,,,,lhtk,tr:lh:3490,tg:lhtk:8177_#1,68839/1,isad:lh:96917,Planex GT / P 272639 (doos 3),45aa18aa-1b9e-59b8-8af7-1dde26f059ea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45aa18aa-1b9e-59b8-8af7-1dde26f059ea,tg:lhtk:8177_#1,e22_Marks,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Links midden in de tekening met inkt: <em>PANNAGGI/22</em>;</p>
<p>links onder de tekening met inkt: <em>Ivo Pannaggi</em>;</p>
<p>rechts onder de tekening met inkt: <em>Femme Lisant</em></p>
",inscriptions,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45aa18aa-1b9e-59b8-8af7-1dde26f059ea,tg:lhtk:8177_#1,e22_MaterialColour,,,,,,,,,,,,,,,,,,,,,,,,,,lhtk,,,,,,,,,,,,,,,kenmerken/lhtechbasistk.lhtechtk,ink,,,,,,,,,,,,,,,,,,,,,,,,,,
45aa18aa-1b9e-59b8-8af7-1dde26f059ea,tg:lhtk:8177_#1,e22_MaterialColour,,,,,,,,,,,,,,,,,,,,,,,,,,lhtk,,,,,,,,,,,,,,,kenmerken/lhtechaanvtk.lhtechtaddtk,ink,,,,,,,,,,,,,,,,,,,,,,,,,,
45aa18aa-1b9e-59b8-8af7-1dde26f059ea,tg:lhtk:8177_#1,e22_ObjectTypes,1,,,,,,default_object_type,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,drawings (visual works),,,,,,,,,,
45aa18aa-1b9e-59b8-8af7-1dde26f059ea,tg:lhtk:8177_#1,e22_ProductionTechniques,1,,,,,,kenmerken/lhtechbasistk.lhtechtk,tpe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pens (drawing and writing implements),,,,,,,,,,,,,,,,
45aa18aa-1b9e-59b8-8af7-1dde26f059ea,tg:lhtk:8177_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1922.0,permission required,,,,,,,,
45aa18aa-1b9e-59b8-8af7-1dde26f059ea,tg:lhtk:8177_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chRbQHgDaki8fQdLd6cnY3IC,lhtk,https://dams.antwerpen.be/iiif/chRbQHgDaki8fQdLd6cnY3IC/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/chRbQHgDaki8fQdLd6cnY3IC,DAMS Image,lh,Iconografie
