ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,carrier_colour_source_field,Carrier Colour,Condition State Note,Condition State Notes Language,Condition State Notes Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.acquiredVia,adm.id_mat,mpm_place_holder,adm.isadPartOf,Plaatsingsnummer,adm.uuid_mat,Warehouse Location (begin),Volgnummer,Warehouse Location (end),Source Note Type,Source Note Language,Mark Note,Mark Type,Mark Language,mat_source_field,Material,col_source_field,Material Colour,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Production Technique Note,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
433ea582-4e92-5388-b293-00ad70b284a3,tg:lhpr:2650_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhpr:2650_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/433ea582-4e92-5388-b293-00ad70b284a3,object identifier,,,,,,,,,,,
433ea582-4e92-5388-b293-00ad70b284a3,tg:lhpr:2650_#1,e22_AcquisitionNumbers,1,,,,9676,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433ea582-4e92-5388-b293-00ad70b284a3,tg:lhpr:2650_#1,e22_Acquisitions,1,tr:lh:503,"dlod={""name"":""Schenking van Frans van Laer"",""ark"":""ark:/24970/x0/c650d18f-50ae-5d6b-830d-522159508093"",""uri"":""/repositories/11/accessions/53824"",""id"":""tr:lh:503"",""date"":""1936-04-16"",""granter"":""Frans van Laer"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/c650d18f-50ae-5d6b-830d-522159508093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433ea582-4e92-5388-b293-00ad70b284a3,tg:lhpr:2650_#1,e22_Carrier,1,,,,,,,,,,,,,,kenmerken/lhdragerico.lhdragertypeico,paper (fiber product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433ea582-4e92-5388-b293-00ad70b284a3,tg:lhpr:2650_#1,e22_Conditions,2,,,,,,note.lhconditie,"<p>(1)De prent is erg vergeeld door lichtinval en vertoont vele vlekjes.</p>
",,,,,,,,,,,"<p>(1)De prent is erg vergeeld door lichtinval en vertoont vele vlekjes.</p>
",Nederlands,condition/examination description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433ea582-4e92-5388-b293-00ad70b284a3,tg:lhpr:2650_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformatic.lhformatwerkic,"15,4 x 12",,,,,,,,,,,,,,,,,"15,4 x 12 - height, width, kenmerken/lhformatic.lhformatwerkic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433ea582-4e92-5388-b293-00ad70b284a3,tg:lhpr:2650_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformatic.lhformatrandic,"31,3 x 22,4",,,,,,,,,,,,,,,,,"31,3 x 22,4 - height, width, kenmerken/lhformatic.lhformatrandic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433ea582-4e92-5388-b293-00ad70b284a3,tg:lhpr:2650_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,154,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433ea582-4e92-5388-b293-00ad70b284a3,tg:lhpr:2650_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,120,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433ea582-4e92-5388-b293-00ad70b284a3,tg:lhpr:2650_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatrandic,,,,,,,,,,,,,,,313,hoogte met rand,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
