ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,carrier_colour_source_field,Carrier Colour,Condition State Note,Condition State Notes Language,Condition State Notes Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.acquiredVia,adm.id_mat,mpm_place_holder,adm.isadPartOf,Plaatsingsnummer,adm.uuid_mat,Warehouse Location (begin),Volgnummer,Warehouse Location (end),Source Note Type,Source Note Language,Mark Note,Mark Type,Mark Language,mat_source_field,Material,col_source_field,Material Colour,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Production Technique Note,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
c3b44022-0e2d-5c07-a97c-8e6b52974f8f,tg:lhtk:4320_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhtk:4320_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/c3b44022-0e2d-5c07-a97c-8e6b52974f8f,object identifier,,,,,,,,,,,
c3b44022-0e2d-5c07-a97c-8e6b52974f8f,tg:lhtk:4320_#1,e22_AcquisitionNumbers,1,,,,46828/6,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3b44022-0e2d-5c07-a97c-8e6b52974f8f,tg:lhtk:4320_#1,e22_Acquisitions,1,tr:lh:2413,"dlod={""name"":""Familiearchief van Jan van Rijswijck"",""ark"":""ark:/24970/x0/8bafa02a-11c1-50e2-bb52-ee1cf58c1f2d"",""uri"":""/repositories/11/accessions/258194"",""id"":""tr:lh:2413"",""date"":""1953-02-11"",""granter"":""Elsa Buschmann-Van Rijswijck"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/8bafa02a-11c1-50e2-bb52-ee1cf58c1f2d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3b44022-0e2d-5c07-a97c-8e6b52974f8f,tg:lhtk:4320_#1,e22_Archives,1,,,,,,,,,,,isad:lh:96959,"dlod={""name"":""Tekeningen"",""ark"":""ark:/24970/x0/9e554ecf-676c-5d25-91dc-47da31725f37"",""uri"":""/repositories/11/archival_objects/10374616"",""id"":""isad:lh:96959"",""nameWithContext"":[""Verzamelingen"",""Kunstwerken""],""resourceName"":""Archief van Jan van Rijswijck"",""resourceArk"":""ark:/24970/x0/1ae26a14-2b05-5351-8b07-0fffaba0c48c"",""resourceURI"":""/repositories/11/resources/70088"",""resourceID"":""isad:lh:655"",""capacity"":""Tekeningen"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/9e554ecf-676c-5d25-91dc-47da31725f37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3b44022-0e2d-5c07-a97c-8e6b52974f8f,tg:lhtk:4320_#1,e22_Carrier,1,,,,,,,,,,,,,,kenmerken/lhdragerico.lhdragertypeico,paper (fiber product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3b44022-0e2d-5c07-a97c-8e6b52974f8f,tg:lhtk:4320_#1,e22_Conditions,1,,,,,,note.lhconditie,"<p>slecht - matig</p>
",,,,,,,,,,,"<p>slecht - matig</p>
",Nederlands,condition/examination description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3b44022-0e2d-5c07-a97c-8e6b52974f8f,tg:lhtk:4320_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformatic.lhformatwerkic,26.5 x 21,,,,,,,,,,,,,,,,,"26.5 x 21 - height, width, kenmerken/lhformatic.lhformatwerkic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3b44022-0e2d-5c07-a97c-8e6b52974f8f,tg:lhtk:4320_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,265,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3b44022-0e2d-5c07-a97c-8e6b52974f8f,tg:lhtk:4320_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,210,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3b44022-0e2d-5c07-a97c-8e6b52974f8f,tg:lhtk:4320_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,,,,,,lhtk,tr:lh:2413,tg:lhtk:4320_#1,46828/6,isad:lh:96959,R 9856 / I,c3b44022-0e2d-5c07-a97c-8e6b52974f8f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
