ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,carrier_colour_source_field,Carrier Colour,Condition State Note,Condition State Notes Language,Condition State Notes Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.acquiredVia,adm.id_mat,mpm_place_holder,adm.isadPartOf,Plaatsingsnummer,adm.uuid_mat,Warehouse Location (begin),Volgnummer,Warehouse Location (end),Source Note Type,Source Note Language,Mark Note,Mark Type,Mark Language,mat_source_field,Material,col_source_field,Material Colour,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Production Technique Note,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
7fb5a0ae-1902-5a01-8418-133a8ce81a10,tg:lhtk:8018_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhtk:8018_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/7fb5a0ae-1902-5a01-8418-133a8ce81a10,object identifier,,,,,,,,,,,
7fb5a0ae-1902-5a01-8418-133a8ce81a10,tg:lhtk:8018_#1,e22_AcquisitionNumbers,1,,,,59373,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7fb5a0ae-1902-5a01-8418-133a8ce81a10,tg:lhtk:8018_#1,e22_Acquisitions,1,tr:lh:2939,"dlod={""name"":""Archief van Leonard Willems"",""ark"":""ark:/24970/x0/e4f69504-c4de-5d8d-a010-bc5260960111"",""uri"":""/repositories/11/accessions/314476"",""id"":""tr:lh:2939"",""date"":""1958-05-19"",""granter"":""Winifred Willems-Hallet"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/e4f69504-c4de-5d8d-a010-bc5260960111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7fb5a0ae-1902-5a01-8418-133a8ce81a10,tg:lhtk:8018_#1,e22_Archives,1,,,,,,,,,,,isad:lh:96946,"dlod={""name"":""Tekeningen"",""ark"":""ark:/24970/x0/39da9af9-1f38-5a9e-b548-6e9174b11242"",""uri"":""/repositories/11/archival_objects/10373225"",""id"":""isad:lh:96946"",""nameWithContext"":[""Verzamelingen"",""Kunstwerken""],""resourceName"":""Archief van Leonard Willems"",""resourceArk"":""ark:/24970/x0/74869562-172d-59dd-a528-5bde2e7d755b"",""resourceURI"":""/repositories/11/resources/18514"",""resourceID"":""isad:lh:173"",""capacity"":""Tekeningen"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/39da9af9-1f38-5a9e-b548-6e9174b11242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7fb5a0ae-1902-5a01-8418-133a8ce81a10,tg:lhtk:8018_#1,e22_Carrier,1,,,,,,,,,,,,,,kenmerken/lhdragerico.lhdragertypeico,paper (fiber product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7fb5a0ae-1902-5a01-8418-133a8ce81a10,tg:lhtk:8018_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformatic.lhformatwerkic,"10,8 x 8,5",,,,,,,,,,,,,,,,,"10,8 x 8,5 - height, width, kenmerken/lhformatic.lhformatwerkic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7fb5a0ae-1902-5a01-8418-133a8ce81a10,tg:lhtk:8018_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,108,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7fb5a0ae-1902-5a01-8418-133a8ce81a10,tg:lhtk:8018_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,85,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7fb5a0ae-1902-5a01-8418-133a8ce81a10,tg:lhtk:8018_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,,,,,,lhtk,tr:lh:2939,tg:lhtk:8018_#1,59373,isad:lh:96946,Planex GT / T 3465,7fb5a0ae-1902-5a01-8418-133a8ce81a10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7fb5a0ae-1902-5a01-8418-133a8ce81a10,tg:lhtk:8018_#1,e22_Marks,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p><strong>Recto:</strong></p>
<p>Links onder in de tekening met potlood: <em>REYNAERT-WILLEMS</em>;</p>
<p>rechts onder in de tekening met potlood: <em>FT</em></p>
<p><strong>Verso:</strong></p>
<p>Bovenaan met potlood: <em>Namiddag zitting / Vlaamsche academie / october 1937 /<br />
Portret geteekend / door Timmermans / (Pallieter)</em></p>
",inscriptions,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7fb5a0ae-1902-5a01-8418-133a8ce81a10,tg:lhtk:8018_#1,e22_MaterialColour,,,,,,,,,,,,,,,,,,,,,,,,,,lhtk,,,,,,,,,,,,,,,kenmerken/lhtechbasistk.lhtechtk,pencils (drawing and writing equipment),,,,,,,,,,,,,,,,,,,,,,,,,,
7fb5a0ae-1902-5a01-8418-133a8ce81a10,tg:lhtk:8018_#1,e22_ObjectTypes,1,,,,,,default_object_type,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,drawings (visual works),,,,,,,,,,
7fb5a0ae-1902-5a01-8418-133a8ce81a10,tg:lhtk:8018_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1937.0,permission required,,,,,,,,
7fb5a0ae-1902-5a01-8418-133a8ce81a10,tg:lhtk:8018_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dXPpVRLha9vSURbQDS1IKpTY,lhtk,https://dams.antwerpen.be/iiif/dXPpVRLha9vSURbQDS1IKpTY/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/dXPpVRLha9vSURbQDS1IKpTY,DAMS Image,lh,Iconografie
