ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,carrier_colour_source_field,Carrier Colour,Condition State Note,Condition State Notes Language,Condition State Notes Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.acquiredVia,adm.id_mat,mpm_place_holder,adm.isadPartOf,Plaatsingsnummer,adm.uuid_mat,Warehouse Location (begin),Volgnummer,Warehouse Location (end),Source Note Type,Source Note Language,Mark Note,Mark Type,Mark Language,mat_source_field,Material,col_source_field,Material Colour,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Production Technique Note,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
ae9e64df-a21b-54fc-ad30-1600cb775cf6,tg:lhtk:5742_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhtk:5742_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/ae9e64df-a21b-54fc-ad30-1600cb775cf6,object identifier,,,,,,,,,,,
ae9e64df-a21b-54fc-ad30-1600cb775cf6,tg:lhtk:5742_#1,e22_AcquisitionNumbers,1,,,,44628/3,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ae9e64df-a21b-54fc-ad30-1600cb775cf6,tg:lhtk:5742_#1,e22_Acquisitions,1,tr:lh:2348,"dlod={""name"":""Oningeschreven gevonden in 1952"",""ark"":""ark:/24970/x0/adca449e-fe65-5f15-b8a2-5b8af78cf1c0"",""uri"":""/repositories/11/accessions/251239"",""id"":""tr:lh:2348"",""date"":""1952-03-19"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/adca449e-fe65-5f15-b8a2-5b8af78cf1c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ae9e64df-a21b-54fc-ad30-1600cb775cf6,tg:lhtk:5742_#1,e22_Carrier,1,,,,,,,,,,,,,,kenmerken/lhdragerico.lhdragertypeico,paper (fiber product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ae9e64df-a21b-54fc-ad30-1600cb775cf6,tg:lhtk:5742_#1,e22_Conditions,2,,,,,,note.lhconditie,"<p>Scheurtjes aan de hoeken</p>
",,,,,,,,,,,"<p>Scheurtjes aan de hoeken</p>
",Nederlands,condition/examination description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ae9e64df-a21b-54fc-ad30-1600cb775cf6,tg:lhtk:5742_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformatic.lhformatwerkic,"24,8 x 19,1",,,,,,,,,,,,,,,,,"24,8 x 19,1 - height, width, kenmerken/lhformatic.lhformatwerkic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ae9e64df-a21b-54fc-ad30-1600cb775cf6,tg:lhtk:5742_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,248,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ae9e64df-a21b-54fc-ad30-1600cb775cf6,tg:lhtk:5742_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,191,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ae9e64df-a21b-54fc-ad30-1600cb775cf6,tg:lhtk:5742_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,,,,,,lhtk,tr:lh:2348,tg:lhtk:5742_#1,44628/3,,S 9978 / I (Doos 1),ae9e64df-a21b-54fc-ad30-1600cb775cf6,V1 B 75 A7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ae9e64df-a21b-54fc-ad30-1600cb775cf6,tg:lhtk:5742_#1,e22_Marks,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Rechts onder in de tekening met inkt: <em>Joz</em></p>
",inscriptions,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
