ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,carrier_colour_source_field,Carrier Colour,Condition State Note,Condition State Notes Language,Condition State Notes Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.acquiredVia,adm.id_mat,mpm_place_holder,adm.isadPartOf,Plaatsingsnummer,adm.uuid_mat,Warehouse Location (begin),Volgnummer,Warehouse Location (end),Source Note Type,Source Note Language,Mark Note,Mark Type,Mark Language,mat_source_field,Material,col_source_field,Material Colour,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Production Technique Note,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
b3831e64-a93b-5ab4-ae66-68fa0adb459f,tg:lhtk:13810_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhtk:13810_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/b3831e64-a93b-5ab4-ae66-68fa0adb459f,object identifier,,,,,,,,,,,
b3831e64-a93b-5ab4-ae66-68fa0adb459f,tg:lhtk:13810_#1,e22_Acquisitions,1,tr:lh:140125,"dlod={""name"":""Schrijversportretten getekend door Luc de Decker"",""ark"":""ark:/24970/x0/de79f75f-7f55-5ff9-a953-5b32ef18659d"",""uri"":""/repositories/11/accessions/14993378"",""id"":""tr:lh:140125"",""date"":""2019-01-31"",""granter"":""Jacques de Decker"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/de79f75f-7f55-5ff9-a953-5b32ef18659d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3831e64-a93b-5ab4-ae66-68fa0adb459f,tg:lhtk:13810_#1,e22_Carrier,1,,,,,,,,,,,,,,kenmerken/lhdragerico.lhdragertypeico,paper (fiber product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3831e64-a93b-5ab4-ae66-68fa0adb459f,tg:lhtk:13810_#1,e22_Conditions,2,,,,,,note.lhconditie,"<p>De bladranden zijn heel licht gerafeld.</p>
",,,,,,,,,,,"<p>De bladranden zijn heel licht gerafeld.</p>
",Nederlands,condition/examination description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3831e64-a93b-5ab4-ae66-68fa0adb459f,tg:lhtk:13810_#1,e22_Conditions,3,,,,,,note.lhconditie,"<p>Vier prikgaatjes in de hoeken.</p>
",,,,,,,,,,,"<p>Vier prikgaatjes in de hoeken.</p>
",Nederlands,condition/examination description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3831e64-a93b-5ab4-ae66-68fa0adb459f,tg:lhtk:13810_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformatic.lhformatwerkic,63 x 48,,,,,,,,,,,,,,,,,"63 x 48 - height, width, kenmerken/lhformatic.lhformatwerkic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3831e64-a93b-5ab4-ae66-68fa0adb459f,tg:lhtk:13810_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,630,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3831e64-a93b-5ab4-ae66-68fa0adb459f,tg:lhtk:13810_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,480,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3831e64-a93b-5ab4-ae66-68fa0adb459f,tg:lhtk:13810_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,,,,,,lhtk,tr:lh:140125,tg:lhtk:13810_#1,,,"Planex GT / VI,3",b3831e64-a93b-5ab4-ae66-68fa0adb459f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3831e64-a93b-5ab4-ae66-68fa0adb459f,tg:lhtk:13810_#1,e22_Marks,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Links onderaan beginletters kunstenaar : <em>L.D.D.</em></p>
",inscriptions,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
