ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,carrier_colour_source_field,Carrier Colour,Condition State Note,Condition State Notes Language,Condition State Notes Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.acquiredVia,adm.id_mat,mpm_place_holder,adm.isadPartOf,Plaatsingsnummer,adm.uuid_mat,Warehouse Location (begin),Volgnummer,Warehouse Location (end),Source Note Type,Source Note Language,Mark Note,Mark Type,Mark Language,mat_source_field,Material,col_source_field,Material Colour,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Production Technique Note,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
ab7e8c62-c17b-579f-89ed-49d8c1bd33b7,tg:lhtk:2900_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhtk:2900_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/ab7e8c62-c17b-579f-89ed-49d8c1bd33b7,object identifier,,,,,,,,,,,
ab7e8c62-c17b-579f-89ed-49d8c1bd33b7,tg:lhtk:2900_#1,e22_AcquisitionNumbers,1,,,,60829/32,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ab7e8c62-c17b-579f-89ed-49d8c1bd33b7,tg:lhtk:2900_#1,e22_Acquisitions,1,tr:lh:3054,"dlod={""name"":""Schenking van Jan F. de Braey"",""ark"":""ark:/24970/x0/2410920b-07a6-5b69-a2ee-348e6b7b46ec"",""uri"":""/repositories/11/accessions/326781"",""id"":""tr:lh:3054"",""date"":""1959-04-16"",""granter"":""Jan F. de Braey"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/2410920b-07a6-5b69-a2ee-348e6b7b46ec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ab7e8c62-c17b-579f-89ed-49d8c1bd33b7,tg:lhtk:2900_#1,e22_Archives,1,,,,,,,,,,,isad:lh:97185,"dlod={""name"":""Tekeningen"",""ark"":""ark:/24970/x0/4ab47fc8-b55c-53fd-9d24-6cb222b8f66f"",""uri"":""/repositories/11/archival_objects/10398798"",""id"":""isad:lh:97185"",""nameWithContext"":[""Werkstukken"",""Kunstwerken""],""resourceName"":""Archief van Jan van Beers"",""resourceArk"":""ark:/24970/x0/6298fb46-ce9a-5507-9dfd-8c62306f150a"",""resourceURI"":""/repositories/11/resources/10265476"",""resourceID"":""isad:lh:95939"",""capacity"":""Tekeningen"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/4ab47fc8-b55c-53fd-9d24-6cb222b8f66f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ab7e8c62-c17b-579f-89ed-49d8c1bd33b7,tg:lhtk:2900_#1,e22_Carrier,1,,,,,,,,,,,,,,kenmerken/lhdragerico.lhdragertypeico,paper (fiber product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ab7e8c62-c17b-579f-89ed-49d8c1bd33b7,tg:lhtk:2900_#1,e22_Conditions,1,,,,,,note.lhconditie,"<p>matig</p>
",,,,,,,,,,,"<p>matig</p>
",Nederlands,condition/examination description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ab7e8c62-c17b-579f-89ed-49d8c1bd33b7,tg:lhtk:2900_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformatic.lhformatwerkic,15 x 14.3,,,,,,,,,,,,,,,,,"15 x 14.3 - height, width, kenmerken/lhformatic.lhformatwerkic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ab7e8c62-c17b-579f-89ed-49d8c1bd33b7,tg:lhtk:2900_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,150,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ab7e8c62-c17b-579f-89ed-49d8c1bd33b7,tg:lhtk:2900_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,143,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ab7e8c62-c17b-579f-89ed-49d8c1bd33b7,tg:lhtk:2900_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,,,,,,lhtk,tr:lh:3054,tg:lhtk:2900_#1,60829/32,isad:lh:97185,,ab7e8c62-c17b-579f-89ed-49d8c1bd33b7,K1 C 54 D2,ICO-004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
