ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,carrier_colour_source_field,Carrier Colour,Condition State Note,Condition State Notes Language,Condition State Notes Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.acquiredVia,adm.id_mat,mpm_place_holder,adm.isadPartOf,Plaatsingsnummer,adm.uuid_mat,Warehouse Location (begin),Volgnummer,Warehouse Location (end),Source Note Type,Source Note Language,Mark Note,Mark Type,Mark Language,mat_source_field,Material,col_source_field,Material Colour,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Production Technique Note,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
2fe5323e-0fd8-5f55-b971-d2b9e4b5f99b,tg:lhpa:7369_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhpa:7369_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/2fe5323e-0fd8-5f55-b971-d2b9e4b5f99b,object identifier,,,,,,,,,,,
2fe5323e-0fd8-5f55-b971-d2b9e4b5f99b,tg:lhpa:7369_#1,e22_AcquisitionNumbers,1,,,,104435/1,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2fe5323e-0fd8-5f55-b971-d2b9e4b5f99b,tg:lhpa:7369_#1,e22_Acquisitions,1,tr:lh:5300,"dlod={""name"":""Archief van Karel Verlat"",""ark"":""ark:/24970/x0/2f065b5f-bad0-58d6-9540-281ea3250231"",""uri"":""/repositories/11/accessions/567103"",""id"":""tr:lh:5300"",""date"":""1977-08-25"",""granter"":""Koninklijke Maatschappij voor Dierkunde van Antwerpen"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/2f065b5f-bad0-58d6-9540-281ea3250231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2fe5323e-0fd8-5f55-b971-d2b9e4b5f99b,tg:lhpa:7369_#1,e22_Archives,1,,,,,,,,,,,isad:lh:96222,"dlod={""name"":""Schilderijen door Karel Verlat"",""ark"":""ark:/24970/x0/a4a771f2-3ff2-56e1-9239-c87530499c7f"",""uri"":""/repositories/11/archival_objects/10295757"",""id"":""isad:lh:96222"",""nameWithContext"":[""Werkstukken"",""Kunstwerken""],""resourceName"":""Archief van Karel Verlat"",""resourceArk"":""ark:/24970/x0/ba65b197-ef15-5594-94a5-0de503f4b01c"",""resourceURI"":""/repositories/11/resources/9791145"",""resourceID"":""isad:lh:91506"",""capacity"":""Schilderijen door Karel Verlat"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/a4a771f2-3ff2-56e1-9239-c87530499c7f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2fe5323e-0fd8-5f55-b971-d2b9e4b5f99b,tg:lhpa:7369_#1,e22_Carrier,1,,,,,,,,,,,,,,kenmerken/lhdragerico.lhdragertypeico,paper (fiber product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2fe5323e-0fd8-5f55-b971-d2b9e4b5f99b,tg:lhpa:7369_#1,e22_Conditions,1,,,,,,note.lhconditie,"<p>Beschadigd, meerdere stukken van de rand ontbreken.</p>
",,,,,,,,,,,"<p>Beschadigd, meerdere stukken van de rand ontbreken.</p>
",Nederlands,condition/examination description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2fe5323e-0fd8-5f55-b971-d2b9e4b5f99b,tg:lhpa:7369_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformatic.lhformatwerkic,"26,5 x 36,2",,,,,,,,,,,,,,,,,"26,5 x 36,2 - height, width, kenmerken/lhformatic.lhformatwerkic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2fe5323e-0fd8-5f55-b971-d2b9e4b5f99b,tg:lhpa:7369_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,265,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2fe5323e-0fd8-5f55-b971-d2b9e4b5f99b,tg:lhpa:7369_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,362,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2fe5323e-0fd8-5f55-b971-d2b9e4b5f99b,tg:lhpa:7369_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,,,,,,lhpa,tr:lh:5300,tg:lhpa:7369_#1,104435/1,isad:lh:96222,V 444 / I,2fe5323e-0fd8-5f55-b971-d2b9e4b5f99b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
