ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,carrier_colour_source_field,Carrier Colour,Condition State Note,Condition State Notes Language,Condition State Notes Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.acquiredVia,adm.id_mat,mpm_place_holder,adm.isadPartOf,Plaatsingsnummer,adm.uuid_mat,Warehouse Location (begin),Volgnummer,Warehouse Location (end),Source Note Type,Source Note Language,Mark Note,Mark Type,Mark Language,mat_source_field,Material,col_source_field,Material Colour,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Production Technique Note,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
808a06f2-5fa1-5bf5-9748-43b2b061fb6c,tg:lhtk:13728_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhtk:13728_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/808a06f2-5fa1-5bf5-9748-43b2b061fb6c,object identifier,,,,,,,,,,,
808a06f2-5fa1-5bf5-9748-43b2b061fb6c,tg:lhtk:13728_#1,e22_Archives,1,,,,,,,,,,,isad:lh:144350,"dlod={""name"":""Varia-tekeningen"",""ark"":""ark:/24970/x0/457aef53-b990-508c-97f7-ddf730c791e4"",""uri"":""/repositories/11/archival_objects/15445453"",""id"":""isad:lh:144350"",""nameWithContext"":[""Tekeningen.""],""resourceName"":""Archief van Dan van Severen"",""resourceArk"":""ark:/24970/x0/86ba4ba7-f786-590b-bac5-ee0636abfe87"",""resourceURI"":""/repositories/11/resources/10437318"",""resourceID"":""isad:lh:97545"",""capacity"":""Varia-tekeningen"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/457aef53-b990-508c-97f7-ddf730c791e4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
808a06f2-5fa1-5bf5-9748-43b2b061fb6c,tg:lhtk:13728_#1,e22_Carrier,1,,,,,,,,,,,,,,kenmerken/lhdragerico.lhdragertypeico,paper (fiber product),kenmerken/lhdragerico.lhkleur,cream (color),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
808a06f2-5fa1-5bf5-9748-43b2b061fb6c,tg:lhtk:13728_#1,e22_Conditions,1,,,,,,note.lhconditie,"<p>Onderaan is het blad gekarteld.</p>
",,,,,,,,,,,"<p>Onderaan is het blad gekarteld.</p>
",Nederlands,condition/examination description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
808a06f2-5fa1-5bf5-9748-43b2b061fb6c,tg:lhtk:13728_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformatic.lhformatwerkic,"7 x 5,5",,,,,,,,,,,,,,,,,"7 x 5,5 - height, width, kenmerken/lhformatic.lhformatwerkic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
808a06f2-5fa1-5bf5-9748-43b2b061fb6c,tg:lhtk:13728_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,70,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
808a06f2-5fa1-5bf5-9748-43b2b061fb6c,tg:lhtk:13728_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,55,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
808a06f2-5fa1-5bf5-9748-43b2b061fb6c,tg:lhtk:13728_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,,,,,,lhtk,,tg:lhtk:13728_#1,,isad:lh:144350,S 594 / I,808a06f2-5fa1-5bf5-9748-43b2b061fb6c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
808a06f2-5fa1-5bf5-9748-43b2b061fb6c,tg:lhtk:13728_#1,e22_MaterialColour,,,,,,,,,,,,,,,,,,,,,,,,,,lhtk,,,,,,,,,,,,,,,kenmerken/lhtechbasistk.lhtechtk,India ink (ink),,,,,,,,,,,,,,,,,,,,,,,,,,
808a06f2-5fa1-5bf5-9748-43b2b061fb6c,tg:lhtk:13728_#1,e22_ObjectTypes,1,,,,,,default_object_type,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,drawings (visual works),,,,,,,,,,
808a06f2-5fa1-5bf5-9748-43b2b061fb6c,tg:lhtk:13728_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1938.0,permission required,,,,,,,,
808a06f2-5fa1-5bf5-9748-43b2b061fb6c,tg:lhtk:13728_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o1NdWpRaYWRGPeiYIZgDWebB,lhtk,https://dams.antwerpen.be/iiif/o1NdWpRaYWRGPeiYIZgDWebB/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/o1NdWpRaYWRGPeiYIZgDWebB,DAMS Image,lh,Iconografie
