ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,carrier_colour_source_field,Carrier Colour,Condition State Note,Condition State Notes Language,Condition State Notes Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.acquiredVia,adm.id_mat,mpm_place_holder,adm.isadPartOf,Plaatsingsnummer,adm.uuid_mat,Warehouse Location (begin),Volgnummer,Warehouse Location (end),Source Note Type,Source Note Language,Mark Note,Mark Type,Mark Language,mat_source_field,Material,col_source_field,Material Colour,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Production Technique Note,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
300380c3-8e04-5fe1-a14e-d08b8284d1d5,tg:lhpa:63_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhpa:63_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/300380c3-8e04-5fe1-a14e-d08b8284d1d5,object identifier,,,,,,,,,,,
300380c3-8e04-5fe1-a14e-d08b8284d1d5,tg:lhpa:63_#1,e22_AcquisitionNumbers,1,,,,74013,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300380c3-8e04-5fe1-a14e-d08b8284d1d5,tg:lhpa:63_#1,e22_Acquisitions,1,tr:lh:3816,"dlod={""name"":""Nalatenschap van Prosper de Troyer"",""ark"":""ark:/24970/x0/3bd8c438-ffab-5bfb-bffd-61999950340b"",""uri"":""/repositories/11/accessions/408315"",""id"":""tr:lh:3816"",""date"":""1965-12-10"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/3bd8c438-ffab-5bfb-bffd-61999950340b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300380c3-8e04-5fe1-a14e-d08b8284d1d5,tg:lhpa:63_#1,e22_AnnotationsMaterial,1,,,,,,adm.note,"In een brief aan Fred Bogaerts (26.4.1928) schrijft De Troyer: ""Liever had ik U een of anderen dag een kop te schilderen als u er belang in stelt en als u soms een dag vrijhebt.""","In een brief aan Fred Bogaerts (26.4.1928) schrijft De Troyer: ""Liever had ik U een of anderen dag een kop te schilderen als u er belang in stelt en als u soms een dag vrijhebt.""",Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300380c3-8e04-5fe1-a14e-d08b8284d1d5,tg:lhpa:63_#1,e22_Archives,1,,,,,,,,,,,isad:lh:98229,"dlod={""name"":""Schilderijen door Prosper de Troyer"",""ark"":""ark:/24970/x0/6a37cc61-dc53-53f2-9950-1c8950635e19"",""uri"":""/repositories/11/archival_objects/10510506"",""id"":""isad:lh:98229"",""nameWithContext"":[""Werkstukken"",""Kunstwerken""],""resourceName"":""Archief van Prosper de Troyer"",""resourceArk"":""ark:/24970/x0/f90356b9-e2ff-567e-ab78-856cc5721717"",""resourceURI"":""/repositories/11/resources/3748855"",""resourceID"":""isad:lh:35036"",""capacity"":""Schilderijen door Prosper de Troyer"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/6a37cc61-dc53-53f2-9950-1c8950635e19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300380c3-8e04-5fe1-a14e-d08b8284d1d5,tg:lhpa:63_#1,e22_Carrier,1,,,,,,,,,,,,,,kenmerken/lhdragerico.lhdragertypeico,hardboard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300380c3-8e04-5fe1-a14e-d08b8284d1d5,tg:lhpa:63_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformatic.lhformatkaderic,"64,8 x 54,7 x 2",,,,,,,,,,,,,,,,,"64,8 x 54,7 x 2 - height, width, depth, kenmerken/lhformatic.lhformatkaderic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300380c3-8e04-5fe1-a14e-d08b8284d1d5,tg:lhpa:63_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformatic.lhformatwerkic,60 x 50,,,,,,,,,,,,,,,,,"60 x 50 - height, width, kenmerken/lhformatic.lhformatwerkic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300380c3-8e04-5fe1-a14e-d08b8284d1d5,tg:lhpa:63_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatkaderic,,,,,,,,,,,,,,,700,hoogte met rand,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300380c3-8e04-5fe1-a14e-d08b8284d1d5,tg:lhpa:63_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatkaderic,,,,,,,,,,,,,,,700,breedte met rand,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300380c3-8e04-5fe1-a14e-d08b8284d1d5,tg:lhpa:63_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,600,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
