ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,carrier_colour_source_field,Carrier Colour,Condition State Note,Condition State Notes Language,Condition State Notes Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.acquiredVia,adm.id_mat,mpm_place_holder,adm.isadPartOf,Plaatsingsnummer,adm.uuid_mat,Warehouse Location (begin),Volgnummer,Warehouse Location (end),Source Note Type,Source Note Language,Mark Note,Mark Type,Mark Language,mat_source_field,Material,col_source_field,Material Colour,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Production Technique Note,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
c09834c4-5712-5516-bf39-b319bf674822,tg:lhtk:11874_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhtk:11874_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/c09834c4-5712-5516-bf39-b319bf674822,object identifier,,,,,,,,,,,
c09834c4-5712-5516-bf39-b319bf674822,tg:lhtk:11874_#1,e22_AcquisitionNumbers,1,,,,195174/20,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c09834c4-5712-5516-bf39-b319bf674822,tg:lhtk:11874_#1,e22_Acquisitions,1,tr:lh:7337,"dlod={""name"":""Archief van Alfred Ost"",""ark"":""ark:/24970/x0/6d9c989f-0025-5ee1-b106-d37b73c356b9"",""uri"":""/repositories/11/accessions/785062"",""id"":""tr:lh:7337"",""date"":""1995-02-14"",""granter"":""Frans Mertens"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/6d9c989f-0025-5ee1-b106-d37b73c356b9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c09834c4-5712-5516-bf39-b319bf674822,tg:lhtk:11874_#1,e22_Archives,1,,,,,,,,,,,isad:lh:127935,"dlod={""name"":""Doos 11"",""ark"":""ark:/24970/x0/4c01dfe2-5ca3-51a9-982d-233d748dd7f3"",""uri"":""/repositories/11/archival_objects/13689048"",""id"":""isad:lh:127935"",""nameWithContext"":[""Werkstukken"",""Kunstwerken"",""Tekeningen, schilderijen, aquarellen en prenten in dozen""],""resourceName"":""Archief van Alfred Ost"",""resourceArk"":""ark:/24970/x0/5195d56d-c712-5e48-80db-273f1c6d875b"",""resourceURI"":""/repositories/11/resources/9876531"",""resourceID"":""isad:lh:92304"",""capacity"":""Doos 11"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/4c01dfe2-5ca3-51a9-982d-233d748dd7f3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c09834c4-5712-5516-bf39-b319bf674822,tg:lhtk:11874_#1,e22_Carrier,1,,,,,,,,,,,,,,kenmerken/lhdragerico.lhdragertypeico,paper (fiber product),kenmerken/lhdragerico.lhkleur,beige (color),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c09834c4-5712-5516-bf39-b319bf674822,tg:lhtk:11874_#1,e22_Conditions,1,,,,,,note.lhconditie,"<p>Enkele kleine bruine vochtvlekjes op het papier</p>
",,,,,,,,,,,"<p>Enkele kleine bruine vochtvlekjes op het papier</p>
",Nederlands,condition/examination description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c09834c4-5712-5516-bf39-b319bf674822,tg:lhtk:11874_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformatic.lhformatwerkic,"23,4 x 35,7",,,,,,,,,,,,,,,,,"23,4 x 35,7 - height, width, kenmerken/lhformatic.lhformatwerkic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c09834c4-5712-5516-bf39-b319bf674822,tg:lhtk:11874_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,234,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c09834c4-5712-5516-bf39-b319bf674822,tg:lhtk:11874_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,357,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c09834c4-5712-5516-bf39-b319bf674822,tg:lhtk:11874_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,,,,,,lhtk,tr:lh:7337,tg:lhtk:11874_#1,195174/20,isad:lh:127935,O 393 / Doos 11,c09834c4-5712-5516-bf39-b319bf674822,V1 B 75 C6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c09834c4-5712-5516-bf39-b319bf674822,tg:lhtk:11874_#1,e22_MaterialColour,,,,,,,,,,,,,,,,,,,,,,,,,,lhtk,,,,,,,,,,,,,,,kenmerken/lhtechbasistk.lhtechtk,pencils (drawing and writing equipment),,,,,,,,,,,,,,,,,,,,,,,,,,
c09834c4-5712-5516-bf39-b319bf674822,tg:lhtk:11874_#1,e22_ObjectTypes,1,,,,,,default_object_type,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,drawings (visual works),,,,,,,,,,
c09834c4-5712-5516-bf39-b319bf674822,tg:lhtk:11874_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1934.0,permission required,,,,,,,,
c09834c4-5712-5516-bf39-b319bf674822,tg:lhtk:11874_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uVgalkVWpT9hKW9OSjIev4Em,lhtk,https://dams.antwerpen.be/iiif/uVgalkVWpT9hKW9OSjIev4Em/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/uVgalkVWpT9hKW9OSjIev4Em,DAMS Image,lh,Iconografie
