ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,carrier_colour_source_field,Carrier Colour,Condition State Note,Condition State Notes Language,Condition State Notes Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.acquiredVia,adm.id_mat,mpm_place_holder,adm.isadPartOf,Plaatsingsnummer,adm.uuid_mat,Warehouse Location (begin),Volgnummer,Warehouse Location (end),Source Note Type,Source Note Language,Mark Note,Mark Type,Mark Language,mat_source_field,Material,col_source_field,Material Colour,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Production Technique Note,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
54808a9d-eefe-52a6-a21b-8fd31be035cf,tg:lhpr:1660_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhpr:1660_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/54808a9d-eefe-52a6-a21b-8fd31be035cf,object identifier,,,,,,,,,,,
54808a9d-eefe-52a6-a21b-8fd31be035cf,tg:lhpr:1660_#1,e22_AcquisitionNumbers,1,,,,27381/850a,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54808a9d-eefe-52a6-a21b-8fd31be035cf,tg:lhpr:1660_#1,e22_AnnotationsMaterial,1,,,,,,adm.note,Artiest: Hector Louis Goffint,Artiest: Hector Louis Goffint,Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54808a9d-eefe-52a6-a21b-8fd31be035cf,tg:lhpr:1660_#1,e22_Carrier,1,,,,,,,,,,,,,,kenmerken/lhdragerico.lhdragertypeico,paper (fiber product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54808a9d-eefe-52a6-a21b-8fd31be035cf,tg:lhpr:1660_#1,e22_Conditions,2,,,,,,note.lhconditie,"<p>Afdruk is gekleeft op karton</p>
",,,,,,,,,,,"<p>Afdruk is gekleeft op karton</p>
",Nederlands,condition/examination description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54808a9d-eefe-52a6-a21b-8fd31be035cf,tg:lhpr:1660_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformatic.lhformatwerkic,"14,1 x 10,3",,,,,,,,,,,,,,,,,"14,1 x 10,3 - height, width, kenmerken/lhformatic.lhformatwerkic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54808a9d-eefe-52a6-a21b-8fd31be035cf,tg:lhpr:1660_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,141,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54808a9d-eefe-52a6-a21b-8fd31be035cf,tg:lhpr:1660_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,103,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54808a9d-eefe-52a6-a21b-8fd31be035cf,tg:lhpr:1660_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,,,,,,lhpr,,tg:lhpr:1660_#1,27381/850a,,,54808a9d-eefe-52a6-a21b-8fd31be035cf,K1 C 54 D2,ICO-008,,remarks,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54808a9d-eefe-52a6-a21b-8fd31be035cf,tg:lhpr:1660_#1,e22_Marks,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>m.o.: <em>Buls</em> / r.o.: <em>H.L. Goffint</em></p>
",inscriptions,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
